"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP225/2024-2025/159409-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Strengthening of the Road from the Main Road to Satitikara Approach Road in Village Maini, Village Panchayat Bagicha, District Jaspur, Chhattisgarh.","17-Dec-2024","999778","06-Jan-2025"
"2","Normal/Others","WS/MP225/2024-2025/142863-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction / development of road  from Suikona to Kudagada in Samarbar  village of Bagicha tehsil, district  Jashpur, Chhattisgarh","23-Sep-2024","1499544","01-Oct-2024"
"3","Normal/Others","WS/MP225/2025-2026/204790-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of road from Main Road to Sarana Approach Road, Village Panchayat Maini, Subdivision Bagicha, District Jashpur.","31-May-2025","1499677","20-Jun-2025"
"4","Normal/Others","WS/MP225/2025-2026/204791-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of road from Main Road to Ten Ghat, Village Panchayat Maini,Bagicha, Jashpur.","31-May-2025","1499836","20-Jun-2025"
"5","Normal/Others","WS/MP225/2025-2026/207305-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Road work from the main road to Machari Dumarpani Basti in Gram Panchayat Butanga Sub District Bagicha District Jashpur Chhattisgarh","09-Jun-2025","1449626","29-Sep-2025"
"6","Normal/Others","WS/MP225/2026-2027/278135-Construction of footpaths and pedestrian ways","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of a culvert on the main road to Sarna School access road.","24-Apr-2026","1499843","20-May-2026"
"7","Normal/Others","WS/MP225/2025-2026/250308-Construction of culverts and bridges","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","RCC Pulia Culvert Construction at Sarna Crusher Road Janpad Panchayat Bagicha Gram Panchayat Maini District Jashpur Chhattisgarh","28-Nov-2025","1500000","24-Mar-2026"
"8","Normal/Others","WS/MP225/2025-2026/268688-Construction of culverts and bridges","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of RCC culvert on Sarna approach road, Village Maini, Sub-District Bagicha, District Jashpur.","16-Feb-2026","1300000","24-Feb-2026"
"9","Normal/Others","WS/MP225/2026-2027/278133-Construction of culverts and bridges","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of a culvert on the main road to the Aarakona access road.","24-Apr-2026","1499843","20-May-2026"
"10","Normal/Others","WS/MP225/2026-2027/278134-Construction of culverts and bridges","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of a culvert on the main road to the Sardih Dam access road.","24-Apr-2026","1499843","20-May-2026"
"11","Normal/Others","WS/MP224/2026-2027/284685-Construction of culverts and bridges","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","Gram maini me RCC puliya nirman karya sarna road ke pas","30-May-2026","2000000","06-Jul-2026"
"12","Normal/Others","WS/MP224/2026-2027/284686-Development of playfields and sports grounds","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","Gram maini me Khel maidan nirman karya, kanya ashram ke pas","30-May-2026","2000000","06-Jul-2026"
"13","Normal/Others","WS/MP224/2026-2027/284687-Development of playfields and sports grounds","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Phulo Devi Netam (2026-32) (2026-2032)","Elected MP","Gram Sardih me khel maidan nirman karya, sukhbasu para me","30-May-2026","2000000","06-Jul-2026"
"14","Normal/Others","WS/MP225/2024-2025/142886-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","installation of high mask light","23-Sep-2024","496458","10-Jan-2025"
"15","Normal/Others","WS/MP225/2024-2025/142887-Lighting of public spaces","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","installation of high mask light","23-Sep-2024","496458","10-Jan-2025"
