"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Chhattisgarh","Construction of public libraries and reading rooms","WS/MP176/2024-2025/149419","Uttar Bastar Kanker(DISTRICT COLLECTOR KANKER_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","20-Dec-2024","Samriddhi Enterprises","Payment Success","7500000"
"2","Chhattisgarh","Construction of public libraries and reading rooms","WS/MP176/2024-2025/149419","Uttar Bastar Kanker(DISTRICT COLLECTOR KANKER_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","28-Feb-2025","Samriddhi Enterprises","Payment Success","5000000"
"3","Chhattisgarh","Construction of public libraries and reading rooms","WS/MP176/2024-2025/149419","Uttar Bastar Kanker(DISTRICT COLLECTOR KANKER_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","28-Feb-2025","Samriddhi Enterprises","Payment Success","5000000"
"4","Chhattisgarh","Construction of public libraries and reading rooms","WS/MP176/2024-2025/149419","Uttar Bastar Kanker(DISTRICT COLLECTOR KANKER_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","28-Mar-2025","Samriddhi Enterprises","Payment Success","12500000"
"5","Chhattisgarh","Construction of boundary walls of existing public and community buildings","WS/MP176/2025-2026/243139","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","24-Dec-2025","SARPANCH GRAM PANCHYAT JAMRAW","Payment Success","250000"
"6","Chhattisgarh","Construction of boundary walls of existing public and community buildings","WS/MP176/2025-2026/243139","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","11-Jun-2026","SARPANCH GRAM PANCHYAT JAMRAW","Payment Success","250000"
"7","Chhattisgarh","Construction of boundary walls of existing public and community buildings","WS/MP176/2025-2026/243140","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","05-Jan-2026","SARPANCH GRAM PANCHYAT PAHANDA A","Payment Success","500000"
"8","Chhattisgarh","Construction of community centers and community halls","WS/MP176/2025-2026/243141","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","12-Jan-2026","SARPANCH GRAM PANCHAYAT MOTIPUR","Payment Success","350000"
"9","Chhattisgarh","Construction of community centers and community halls","WS/MP176/2025-2026/243264","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","24-Dec-2025","SARPANCH GRAM PANCHAYAT KHARRA","Payment Success","350000"
"10","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP176/2025-2026/243267","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","27-Jan-2026","SARPANCH GRAM PANCHYAT BATREL","Payment Success","260000"
