"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP176/2024-2025/149419-Construction of public libraries and reading rooms","Chhattisgarh","Uttar Bastar Kanker(DISTRICT COLLECTOR KANKER_IDA)","I propose the construction of a state-ofthe-art public (digital) library in Kanker, with a planned seating capacity of 250-300 individuals at ward no. 09, Aklavya Hostal Bhanupratappur Kanker","Shri Rajeev Shukla (2022-28) (NaN-NaN)","Elected MP","Images","10-Dec-2025","30000000"
"2","Normal/Others","WS/MP176/2025-2026/243285-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","DURG(DISTRICT COLLECTOR DURG_IDA)","Construction of C.C. Road at Ward No. 06 (from the residence of Kuleshwar Thakur  to the residence of Parmanand Thakur)","Shri Rajeev Shukla (2022-28) (NaN-NaN)","Elected MP","Images","19-Mar-2026","520000"
"3","Normal/Others","WS/MP176/2025-2026/243281-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","DURG(DISTRICT COLLECTOR DURG_IDA)","Construction of C.C. Road at Village Rakhi, Gram Panchayat-Rakhi (from the residence of Nilesh Banchore till Bada Taalab)","Shri Rajeev Shukla (2022-28) (NaN-NaN)","Elected MP","Images","19-Mar-2026","520000"
"4","Normal/Others","WS/MP176/2025-2026/243140-Construction of boundary walls of existing public and community buildings","Chhattisgarh","DURG(DISTRICT COLLECTOR DURG_IDA)","Construction of boundary wall and Shed for Community Kitchen at Community Centre at Kurmipara","Shri Rajeev Shukla (2022-28) (NaN-NaN)","Elected MP","Images","12-Feb-2026","500000"
"5","Normal/Others","WS/MP225/2023-2024/75727-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Construction of CC Road from main Road towards Mukti Dham at Mudpar (B) Village of Palmgarh Block of Jahanjir Champa District.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Jun-2025","1000000"
"6","Normal/Others","WS/MP225/2023-2024/75724-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Construction of CC Road from the house of Hulas Diwakar to Silly Approach Road.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Jun-2025","1000000"
"7","Normal/Others","WS/MP225/2024-2025/140115-Construction of public toilets and bathrooms","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","Construction of ramp and bathing place on Bgan Nala situated at Kikari village of Malkharauda Block of Sakti District","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","18-Jun-2025","999797"
"8","Normal/Others","WS/MP225/2024-2025/142863-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JASHPUR(DISTRICT COLLECTOR JASHPUR_IDA)","Construction / development of road  from Suikona to Kudagada in Samarbar  village of Bagicha tehsil, district  Jashpur, Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","16-Jan-2026","1499544"
"9","Normal/Others","WS/MP225/2024-2025/144158-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","DURG(DISTRICT COLLECTOR DURG_IDA)","Construction of C.C. road and drainage system from Ram Awrtar Shaw to Toshan Shahu in the village of Jeora, located in the Durg tehsil of Durg District.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","19-Dec-2025","1499961"
"10","Normal/Others","WS/MP225/2024-2025/144157-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","DURG(DISTRICT COLLECTOR DURG_IDA)","Construction of a C.C. road and drainage system from Pala Chowk to Nahar Par in the village of Jeora, situated in the Durg tehsil of Durg District.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","19-Dec-2025","1000000"
"11","Normal/Others","WS/MP225/2024-2025/140365-Installation of multi-gym equipment","Chhattisgarh","BALOD(Collector Balod_IDA)","Construction of an Open gym in Gorkapar (Gandhi) village of Gunderdehi in Balod District of Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","25-Nov-2025","1000000"
"12","Normal/Others","WS/MP225/2024-2025/140368-Construction of common work sheds/ common covered sitting area","Chhattisgarh","BALOD(Collector Balod_IDA)","Construction of a public waiting shed in Bhendi (SU) village of Marri Bangla (Deori), Balod district, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","26-Nov-2025","500000"
"13","Normal/Others","WS/MP225/2024-2025/140366-Construction of common work sheds/ common covered sitting area","Chhattisgarh","BALOD(Collector Balod_IDA)","Construction of a public waiting shed in Parsadih (SU) village of Marri Bangla (Deori), Balod district, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","26-Nov-2025","500000"
"14","Normal/Others","WS/MP225/2024-2025/140364-Installation of multi-gym equipment","Chhattisgarh","BALOD(Collector Balod_IDA)","Construction of an Open gym in Rewagahan village of Marri Bangla (Deori) in Balod District of Chhattisgarh","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","26-Nov-2025","1000000"
"15","Normal/Others","WS/MP225/2024-2025/140112-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","Construction of Embarkment cum ramp on the bank of Borai River situated at Jaijapur Block area Sakti District","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","16-Jan-2025","1000000"
"16","Normal/Others","WS/MP225/2024-2025/140123-Construction of community centers and community halls","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Construction of community center for Sahu Samaj in Deradih village of Tundra Tehsil District Balodabazar(Bhatapara) Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","N/A","31-Oct-2025","1999000"
