"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Delhi","Lighting of public spaces","WS/MP878/2024-2025/184466","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","25-Jul-2025","S N Enterprises","Payment Success","797663"
"2","Delhi","Lighting of public spaces","WS/MP878/2024-2025/184473","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","01-Jan-2026","Nangal Electric Company","Payment Success","1690420"
"3","Delhi","Lighting of public spaces","WS/MP878/2025-2026/201569","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","21-Jan-2026","Seth Constructions","Payment Success","719024"
"4","Delhi","Lighting of public spaces","WS/MP878/2025-2026/201569","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","23-Jan-2026","Delight Trading Company","Payment Success","748916"
"5","Delhi","Lighting of public spaces","WS/MP878/2025-2026/201569","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","16-May-2026","Delight Trading Company","Payment Success","723414"
"6","Delhi","Lighting of public spaces","WS/MP878/2025-2026/209492","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","07-Mar-2026","D K ASSOCIATES","Payment Success","732362"
"7","Delhi","Improvement of electricity distribution infrastructure","WS/MP878/2025-2026/209864","Siddharthnagar(DISTRICT MAGISTRATE SIDDHARTH NAGAR_IDA)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","09-Jan-2026","EDD Dumariyaganj","Payment Success","382035"
"8","Delhi","Lighting of public spaces","WS/MP878/2025-2026/213658","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","03-Mar-2026","SANDEEP SHARMA","Payment Success","732602"
"9","Delhi","Street lights","WS/MP878/2025-2026/213675","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","23-Jan-2026","Delight Trading Company","Payment Success","701100"
"10","Delhi","Lighting of public spaces","WS/MP878/2025-2026/213676","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","10-Mar-2026","Seth Constructions","Payment Success","1267350"
"11","Delhi","Lighting of public spaces","WS/MP878/2025-2026/214239","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","14-Aug-2026","KHANNA SALES CORPORATION","Payment Success","2260135"
"12","Delhi","Lighting of public spaces","WS/MP878/2025-2026/228267","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","30-Mar-2026","LIMRA ENGINEERING WORKS","Payment Success","355941"
"13","Delhi","Lighting of public spaces","WS/MP878/2025-2026/228268","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","10-Jul-2026","AJ ENTERPRISES","Payment Success","710048"
"14","Delhi","Lighting of public spaces","WS/MP878/2025-2026/228269","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","08-May-2026","NEOTECH ENTERPRISES","Payment Success","630954"
"15","Delhi","Lighting of public spaces","WS/MP878/2025-2026/228270","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","30-Mar-2026","LIMRA ENGINEERING WORKS","Payment Success","370414"
"16","Delhi","Lighting of public spaces","WS/MP878/2025-2026/228274","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","01-Jan-2026","S N Enterprises","Payment Success","234251"
"17","Delhi","Lighting of public spaces","WS/MP878/2025-2026/228275","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","12-Feb-2026","S N Enterprises","Payment Success","358926"
"18","Delhi","Installing community drinking water plants","WS/MP878/2025-2026/228276","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","07-Aug-2026","Nikhil Gera","Payment Success","845756"
"19","Delhi","Lighting of public spaces","WS/MP878/2025-2026/243240","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","12-Jun-2026","GARIMA SALES CORPORATION","Payment Success","919373"
"20","Delhi","Street lights","WS/MP878/2025-2026/243241","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","27-May-2026","Prince Enterprises","Payment Success","606936"
"21","Delhi","Development of playfields and sports grounds","WS/MP878/2025-2026/243293","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","16-Jul-2026","KHALSA EXPORTS PRIVATE LIMITED","Payment Success","449770"
"22","Delhi","Development of playfields and sports grounds","WS/MP878/2025-2026/243307","WEST(COMMISSIONER MCD WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","16-Jul-2026","KHALSA EXPORTS PRIVATE LIMITED","Payment Success","449770"
"23","Delhi","Development of public parks","WS/MP879/2025-2026/189862","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","21-May-2026","Swing Craft","Payment Success","159922"
