"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP878/2026-2027/266841-Construction of public toilets and bathrooms","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Recommendation for construction of Toilet Block at (Tibetan Market Wala) Park in Ward No. 75 Jama Masjid City-SP Zone","06-Feb-2026","04-Aug-2026","2801564","Sanction"
"2","Normal/Others","WS/MP878/2026-2027/269259-Construction of roads, link roads, pathways or any other road with or without drainage system","Delhi","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","construction of road from Kharja Jalal Ahmad Member Sahibs Rice Mill to Rafeek Raja Rice Mill in Nagar Panchayat Kemri Rampur Implementing Agency IA is Nagar Panchayat Kemri","18-Feb-2026","20-Apr-2026","996700","Sanction"
"3","Normal/Others","WS/MP878/2026-2027/282370-Construction of roads, link roads, pathways or any other road with or without drainage system","Delhi","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Execution of the work for improvement of Road and Drain from G 89 to G 119 in Harkesh Nagar  Ward No 177 Central Zone Tughlakabad Assembly Constituency","20-May-2026","11-Aug-2026","996296","Sanction"
"4","Normal/Others","WS/MP879/2026-2027/295078-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipment at Parks Ch. Harvansh Park Ranjeet Nagar Ward No.87, Karol Bagh Zone.","15-Jul-2026","10-Aug-2026","298045","Sanction"
"5","Normal/Others","WS/MP879/2026-2027/295079-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipment at Parks Talwar Wala Park  7/1 South Patel Nagar, Ward No.87, Karol Bagh Zone.","15-Jul-2026","10-Aug-2026","298045","Sanction"
"6","Normal/Others","WS/MP879/2026-2027/295080-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipment at Parks Deepchand Park  7/30 South Patel Nagar, Ward No.87, Karol Bagh Zone.","15-Jul-2026","10-Aug-2026","298045","Sanction"
"7","Normal/Others","WS/MP879/2026-2027/295233-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipment at Parks Neeldhara West Patel Nagar, Ward No.87, Karol Bagh Zone.","15-Jul-2026","10-Aug-2026","298045","Sanction"
"8","Normal/Others","WS/MP879/2026-2027/295235-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipment at Parks Sawan Bhadho Park, H-65, West Patel Nagar, Ward No.87, Karol Bagh Zone.","15-Jul-2026","11-Aug-2026","298045","Sanction"
"9","Normal/Others","WS/MP879/2026-2027/295236-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipme at Parks F-Block Park West Patel Nagar, Ward No.87, Karol Bagh Zone.","15-Jul-2026","11-Aug-2026","298045","Sanction"
"10","Normal/Others","WS/MP879/2026-2027/295237-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipment at Parks L-Block ABU Phadi, West Patel Nagar Balraj Khanna Park, Ward No.87, Karol Bagh, Zone.","15-Jul-2026","11-Aug-2026","298045","Sanction"
"11","Normal/Others","WS/MP879/2026-2027/295238-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipment at Parks 8/30 South Patel Nagar MCD School Ward No.87, Karol Bagh Zone.","15-Jul-2026","11-Aug-2026","298045","Sanction"
"12","Normal/Others","WS/MP879/2026-2027/295240-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipment at Parks DDA Flats H.No- 429 Ward No.87, Karol Bagh Zone.","15-Jul-2026","10-Aug-2026","298045","Sanction"
"13","Normal/Others","WS/MP879/2026-2027/295257-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipment at Parks D-Block Park West Patel Nagar Ranjeet Nagar Ward No.87, Karol Bagh Zone.","15-Jul-2026","10-Aug-2026","298045","Sanction"
"14","Normal/Others","WS/MP879/2026-2027/295258-Installation of multi-gym equipment","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply & Installation of Open Gym Equipment at Parks C-Block Ranjeet Nagar Ward No.87, Karol Bagh Zone.","15-Jul-2026","10-Aug-2026","298045","Sanction"
"15","Repair and Renovation","WS/MP879/2025-2026/189862-Development of public parks","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply and Installation of 3 Sets of Arch Swing Childrens Play Equipment in Old MIG East Patel Nagar","07-Apr-2025","19-May-2025","159922","Physical Inspection"
"16","Repair and Renovation","WS/MP879/2025-2026/199206-Development of public parks","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply and Installation of 3 Sets of Arch Swing Childrens Play Equipment in LIG East Patel Nagar","13-May-2025","19-May-2025","159922","Physical Inspection"
"17","Repair and Renovation","WS/MP879/2025-2026/199207-Development of public parks","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply and Installation of 3 Sets of Arch Swing Childrens Play Equipment in New MIG East Patel Nagar","13-May-2025","19-May-2025","159922","Physical Inspection"
"18","Normal/Others","WS/MP879/2025-2026/237111-Development of public parks","Delhi","SOUTH(COMMISSIONER SOUTH)","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Supply and Installation of open zym equipment in Lado Sarai ward 154 south zone","24-Sep-2025","06-Jan-2026","269300","Sanction"
"19","Normal/Others","WS/MP879/2025-2026/237117-Development of public parks","Delhi","SOUTH(COMMISSIONER SOUTH)","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Providing and Installation of Children play equipment in park","24-Sep-2025","06-Jan-2026","592149","Physical Inspection"
"20","Normal/Others","WS/MP879/2025-2026/237124-Development of public parks","Delhi","SOUTH(COMMISSIONER SOUTH)","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Providing and laying of synthetic tracks.","24-Sep-2025","06-Jan-2026","2618256","Sanction"
"21","Normal/Others","WS/MP878/2025-2026/243242-Development of public parks","Delhi","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Recommendation for construction Hexagonal Gazebo in Gumbad Wala Park Katwaria Sarai Lado SaraiWard No 154","21-Oct-2025","17-Dec-2025","762192","Sanction"
"22","Normal/Others","WS/MP878/2025-2026/243243-Development of public parks","Delhi","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Recommendation for construction Hexagonal Gazebo in Central Park DDA Janta Flats Phase 2 Katwaria Sarai Lado Sarai Ward No154","21-Oct-2025","17-Dec-2025","763752","Sanction"
"23","Normal/Others","WS/MP878/2025-2026/243294-Development of public parks","Delhi","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Recommendation for Fixing of Victorian benches at different locations in Lado Sarai Ward No154","22-Oct-2025","14-Jan-2026","824472","Sanction"
"24","Normal/Others","WS/MP878/2025-2026/243304-Development of public parks","Delhi","WEST(COMMISSIONER MCD WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Recommendation for Construction of Artistic Gazebo Hexagonal at H No D 108 D Block Park Nawada Housing Complex Mohan Garden Ward No 113","22-Oct-2025","09-Dec-2025","762192","Sanction"
"25","Normal/Others","WS/MP878/2026-2027/255984-Development of public parks","Delhi","SOUTH(COMMISSIONER SOUTH)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Recommendation for Fixing of Stainless Steel and Victorian Benches at different locations in Munirka Ward No.151 SZ","29-Dec-2025","08-Jul-2026","945061","Sanction"
