"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP889/2024-2025/133669-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Work of CC Road from Dharamsala to Rawalvas in Desaivas at Nandotra village (2023-24)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","05-Aug-2025","500000"
"2","Normal/Others","WS/MP889/2024-2025/133670-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Work of flood protection wall to prevent erosion from Dharamshala to Rawalvas in Desaivas at Nandotra village (2023-24)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","06-Aug-2025","250000"
"3","Normal/Others","WS/MP889/2024-2025/154659-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Nandotra Ta.Vadgam :  Work of paver block from Rameshbhai Desai's house to Govindbhai Desai's wall in Shakitnagarpara Desaiwas.(2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","07-Aug-2025","400000"
"4","Normal/Others","WS/MP889/2024-2025/154657-Construction of boundary walls of existing public and community buildings","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Nandotra Ta.Vadgam :  Flood protection wall work at Shakitnagarpara Desai Rameshbhai, Vishnubhai Desaivas(2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","07-Aug-2025","200000"
"5","Normal/Others","WS/MP889/2024-2025/154667-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Khimana  Ta.Kankrej : Work of CC road from Ishwarbhai Jethabhai's House to Goga Maharaj temple (2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","01-Feb-2025","500000"
"6","Normal/Others","WS/MP889/2024-2025/154655-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Kuwarwa  Ta.Kankrej : Paver block work in Chora Near to Goga Maharaj Temple.(2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","01-Feb-2025","500000"
"7","Normal/Others","WS/MP889/2024-2025/154661-Providing supply pipelines for drinking water","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Manpura (Un) Ta.Kankrej :  Work of water pipe line.(2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","01-Feb-2025","500000"
"8","Normal/Others","WS/MP889/2024-2025/154664-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Manpura (Un)Ta.Kankrej :  Work of paver block in Desaiwas.(2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","18-Feb-2025","500000"
"9","Normal/Others","WS/MP889/2024-2025/162262-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bhalana: Ta. Harij: Paver block work in Rabari Vas and Thakor Vas(2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","13-Feb-2025","499957"
"10","Normal/Others","WS/MP889/2024-2025/162263-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Nana:Ta. Harij: Work on Chaudhary Vas and  the village in  khutata paver block (2024-25","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","13-Feb-2025","499907"
