"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2023-2024/13332","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","27-Feb-2024","BDO MASHOBRA RAJYA SABHA","Payment Success","1000000"
"2","Himachal Pradesh","Street lights","WS/MP078/2023-2024/13375","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","26-Dec-2023","PO HIMURJA Hamirpur","Payment Success","35386"
"3","Himachal Pradesh","Construction of community centers and community halls","WS/MP078/2023-2024/13390","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","10-Jan-2024","BDO Hamirpur RS","Payment Success","300000"
"4","Himachal Pradesh","Street lights","WS/MP078/2023-2024/13408","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","19-Aug-2024","Block Development Office Narkanda Rajya Sabha","Payment Success","250000"
"5","Himachal Pradesh","Construction of community centers and community halls","WS/MP078/2023-2024/13410","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","14-Feb-2024","Block Development Officer Nadaun Rajya Sabha","Payment Success","500000"
"6","Himachal Pradesh","Street lights","WS/MP078/2023-2024/13416","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","26-Dec-2023","PO HIMURJA Hamirpur","Payment Success","88465"
"7","Himachal Pradesh","Construction of community centers and community halls","WS/MP078/2023-2024/13417","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","19-May-2025","GP BALH KHALSA","Payment Success","400000"
"8","Himachal Pradesh","Construction of community centers and community halls","WS/MP078/2023-2024/13425","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Feb-2024","BDO Pragpur","Payment Success","500000"
"9","Himachal Pradesh","Street lights","WS/MP078/2023-2024/13426","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","18-Mar-2024","PROJECT OFFICER HIMURJA KANGRA AT DHARAMSHALA","Payment Success","74025"
"10","Himachal Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP078/2023-2024/13427","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","26-Dec-2023","Universal Press","Payment Success","2998950"
