"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP078/2023-2024/13581-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","C/o shamshan Ghat Shed at vill. Naadsi, G. P. Naadsi, Dev. Block Bamson Distt. Hamirpur (HP)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","15-Oct-2025","100000"
"2","Normal/Others","WS/MP078/2023-2024/13590-Installation of multi-gym equipment","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Installation of Open Gym at Village Matasa G.P. Nakradi Dev. Block Jubbal Distt. Shimla (HP)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2025","500000"
"3","Normal/Others","WS/MP078/2023-2024/13596-Construction of public toilets and bathrooms","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","C/o Public toilets at Rangas Bazar Vill. Kheri G.P. Nounghi, Dev. Block Nadaun District Hamirpur (HP)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","09-Feb-2026","200000"
"4","Normal/Others","WS/MP078/2023-2024/13589-Installation of multi-gym equipment","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Installation of Open Gym at Village Thana (Koti) G.P. Thana Dev. Block Jubbal Kot Khai Distt. Shimla (HP)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2025","500000"
"5","Normal/Others","WS/MP078/2023-2024/13375-Street lights","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Providing and Fixing of 02 Nos of Solar Light near the house of Gaffur Mohammad Vill. Beha, GP Pansai, Dev. Block Nadaun Distt. Hamirpur (HP) as per recomendation of Gaffur Mohammad","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","20-Dec-2024","35386"
"6","Normal/Others","WS/MP078/2023-2024/13416-Street lights","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","installation & Fixing of 05 Nos solar Lights at village Budhwana (Miyan Di Bal) P. O. & Sub Tehsil Kangoo Distt. Hamirpur HP as per Recommendation by Sh. Vijay Katoch","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","20-Dec-2024","88465"
"7","Normal/Others","WS/MP078/2023-2024/25352-Street lights","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Installation and Fixing of 17 Nos of Solar Light At G.P. Batran, Dev. Block Nadaun, Distt. Hamirpur H.P. as per recommendation of Panchayat Up-Pradhan Sh. Susheel Kumar (Executing Agency, Him Urja)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","20-Dec-2024","214183"
"8","Normal/Others","WS/MP078/2023-2024/25403-Street lights","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Installation and Fixing of 11 i.e. 10 Nos Solar Lights Vill. Thana, P.O. Thana Bajuri(Harijan Basti), G. P. Drogan Patti Kot, Teh. Tauni Devi, Dev. Block Hamirpur (H.P.) as per recommendation of Sh. Sushil Kumar and 01 Solar light Infront of the house of Sh. Kishor Chand S/o Sh. Diwan Chand, Vill Darkoti, P.O. Tauni Devi G. P. Tapre Distt. Hamirpur (H.P.)  (Executing Agency, Him Urja)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","20-Dec-2024","194623"
"9","Normal/Others","WS/MP078/2023-2024/25522-Development of playfields and sports grounds","Himachal Pradesh","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","C/o Kushti Maidan at VPO Srahan Khurd, Dev. Block Pachhad, Distt. Sirmour (H.P.) as per recommendation of Sh. Baldev Bhandari (Executing agency, BDO Pachhad)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","09-Jul-2024","300000"
"10","Normal/Others","WS/MP078/2023-2024/13578-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","C/o L/R from main road to vill. Bakniyar, G.P. Bhated Dev. Block Bamson  Distt. Hamirpur (HP)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","15-Oct-2025","103203"
