"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP078/2023-2024/13390-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Hall/Centre at Village Dohag Patiyahu P.O.& Vill. Nalti, Dev. Block Hamirpur, Distt. Hamirpur(HP)","26-Aug-2023","300000","07-Oct-2023"
"2","Normal/Others","WS/MP078/2023-2024/13410-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Centre at Vill. Budana (Miyan Di Bal) PO & Sub Tehsil Kangoo, Dev. Block Nadaun Distt. Hamirpur","26-Aug-2023","500000","24-Jan-2024"
"3","Normal/Others","WS/MP078/2023-2024/25427-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Centre Ravi Nagar, (SC Basti) Vill. & G.P. Batran, Dev. Block Nadaun, Distt. Hamirpur (H.P.) (Executing agency, BDO Nadaun)","23-Sep-2023","200000","16-Dec-2023"
"4","Normal/Others","WS/MP078/2024-2025/156678-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o community centre at Village Rakrial, G.P. Jhaniara, Dev. Block Hamirpur, District Hamirpur (H.P.). As per recommendation of Sh. N.P. Singh(Enc) Executing agency: XEN HPPWD Toni Devi District Hamirpur.","03-Dec-2024","479750","10-Feb-2025"
"5","Normal/Others","WS/MP18304/2025-2026/172612-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Mahila mandal Bhawan at vill  Sai Brahmna GP Dhalot","04-Feb-2025","200000","03-Jun-2025"
"6","Normal/Others","WS/MP078/2026-2027/287338-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Community Building with Hall and stage Rooms with Washrooms Toilets Kitchan Library at Village Dhagoh SC Basti Gram Panchayat Badhera Development Block Nadaun District Hamirpur Phase 1 Executing Agency Assistant Engineer Jila Parishad Sub-Division Bijhar District Hamirpur","19-Jun-2026","600000","20-Jul-2026"
"7","Normal/Others","NA-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of multipurpose hall at village amned executive agency ae zila parishad hamirpur","24-Jul-2026","250000","NA"
"8","Normal/Others","NA-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of yuvak mandal bhawan at village kirwi executive agency ae zila parishad hamirpur","24-Jul-2026","150000","NA"
"9","Normal/Others","NA-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Construction of janj ghar at village Mair ward No 04 executive agency ae zila parishad hamirpur","24-Jul-2026","250000","NA"
"10","Normal/Others","NA-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction work of community centre at Village Jhareri Gram Panchayat Badhera Development Block Nadaun District Hamirpur Executing Agency BDO Nadaun","03-Aug-2026","200000","NA"
"11","Repair and Renovation","NA-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","Repair and renovation/Upgradation of Mahila Mandal Bhawan at village BanalExecutive Agency AE Zila Parisad Hamirpur","14-Aug-2026","100000","NA"
"12","Normal/Others","NA-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Community Building with Hall and stage Rooms with Washrooms Toilets Kitchan Library at Village Dhagoh SC Basti Gram Panchayat Badhera Development Block Nadaun District Hamirpur Phase 2 Executing Agency Assistant Engineer Jila Parishad Sub-Division Bijhari District Hamirpur","25-Aug-2026","600000","NA"
"13","Normal/Others","WS/MP078/2024-2025/149008-Purchase of books for public libraries/ digitization of library books","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Purchase of Books for School and Public Library at Hamirpur, District Hamirpur through Dy. Director Higher Education, Hamirpur, District Hamirpur (HP)","22-Oct-2024","397452","21-Nov-2024"
"14","Normal/Others","WS/MP078/2023-2024/13581-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o shamshan Ghat Shed at vill. Naadsi, G. P. Naadsi, Dev. Block Bamson Distt. Hamirpur (HP)","27-Aug-2023","100000","18-Sep-2023"
