"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Karnataka","Construction of community centers and community halls","WS/MP086/2026-2027/209969","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","11-Aug-2026","G B BAIRAVA","Payment In-Progress","497263"
"2","Karnataka","Street lights","WS/MP086/2026-2027/169459","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","23-Jul-2026","CHOWDESHA U R","Payment In-Progress","199245"
"3","Karnataka","Street lights","WS/MP086/2026-2027/169460","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","23-Jul-2026","RAGHANJANEYA ENTERPRISES","Payment In-Progress","299410"
"4","Karnataka","Street lights","WS/MP086/2025-2026/171330","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","30-Aug-2025","N G GANESH BABU","Payment Success","499403"
"5","Karnataka","Street lights","WS/MP086/2025-2026/171364","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","30-Aug-2025","EESHANNA B","Payment Success","499403"
"6","Karnataka","Street lights","WS/MP086/2025-2026/171371","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","30-Aug-2025","N G GANESH BABU","Payment Success","499403"
"7","Karnataka","Street lights","WS/MP086/2025-2026/230200","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","23-Mar-2026","ABHISHEK CONSTRUCTIONS","Payment Success","497323"
"8","Karnataka","Street lights","WS/MP086/2025-2026/227461","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Mar-2026","N G GANESH BABU","Payment Success","497323"
"9","Karnataka","Street lights","WS/MP086/2025-2026/227476","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","25-Mar-2026","N G GANESH BABU","Payment Success","497323"
"10","Karnataka","Security gates in streets/public place for safety purpose","WS/MP086/2025-2026/170914","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","24-Jun-2025","B K KESHAVAMURTHY","Payment Success","499567"
