"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP086/2024-2025/152809-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Continued work of construction of library room VGS Elite International School at Bangalore North Taluk, Nagaruru Village, Dasanpura Hobli, Madnayakanahalli post","16-Nov-2024","07-Jan-2025","1000000","Physical Inspection"
"2","Normal/Others","WS/MP086/2025-2026/209983-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of compound wall at ward no.148, 20th cross, government school, Bangalore urban, BTM constituency","18-Jun-2025","20-Dec-2025","499402","Physical Inspection"
"3","Normal/Others","WS/MP086/2026-2027/278894-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Development of college at Bangalore BTM layout, jakkasandra ward no 173, Government Higher primary school and work to be undertaken by Executive Engineer-3, KRIDL","23-Apr-2026","14-Jul-2026","4500000","Work partially Completed"
"4","Repair and Renovation","WS/MP086/2026-2027/278895-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Development of Essentials at Bangalore District, BTM layout constituency, Rajendranagar GOvernment Junior Primary School","23-Apr-2026","19-Aug-2026","500000","Sanction"
"5","Normal/Others","WS/MP086/2026-2027/278896-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Developmental work in Bangalore District, BTM layout Constituency, Rajendranagar government Lower primary school","23-Apr-2026","01-Aug-2026","500000","Sanction"
"6","Normal/Others","WS/MP086/2025-2026/209971-Purchase of smart boards, visual display units and projectors","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","construction of Smart TV for government higher primary school, at ward no.148, ejipura, Bangalore BTM vidhanasabha constituency","18-Jun-2025","16-Dec-2025","498999","Physical Inspection"
"7","Normal/Others","WS/MP086/2025-2026/209975-Purchase of smart boards, visual display units and projectors","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of smart TV at ward No. 145, Bangalore chikkapete vidhansabha constituency","18-Jun-2025","19-Dec-2025","498999","Physical Inspection"
"8","Normal/Others","WS/MP086/2025-2026/209978-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","installation of borewell and pipe line for ward no.147 Bangalore Urban, BTM assembly constituency, GHI Police quartres","18-Jun-2025","19-Dec-2025","499239","Physical Inspection"
"9","Normal/Others","WS/MP086/2025-2026/188706-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New Bore Drilling Work Near Doddabasti Village Under Sulikere Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","800000","Work partially Completed"
"10","Normal/Others","WS/MP086/2025-2026/188707-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Work of drilling a new bore on the main road of Chikkabasti village under Sulikere Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","21-Jun-2025","400000","Work partially Completed"
"11","Normal/Others","WS/MP086/2025-2026/188710-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Re-installation of bore well near Chikkabasti village under Sulikere Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","21-Jun-2025","265000","Work partially Completed"
"12","Normal/Others","WS/MP086/2025-2026/188713-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Work of drilling a new bore inside Challaghatta village under Ramohalli Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","21-Jun-2025","410000","Work partially Completed"
"13","Normal/Others","WS/MP086/2025-2026/188719-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Work of drilling a new bore near Ramayyana Lake in Kodipalya Village under Ramohalli Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","21-Jun-2025","405000","Work partially Completed"
"14","Normal/Others","WS/MP086/2025-2026/188721-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Re-installation of Bore Well near Royal Bike Showroom Kaggalipur-1 in Kaggalipur Village under Kaggalipur Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","260000","Work partially Completed"
"15","Normal/Others","WS/MP086/2025-2026/188722-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Re-installation of Bore Well near Kaggalipur-2, Kaggalipur Village under Kaggalipur Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","260000","Work partially Completed"
"16","Normal/Others","WS/MP086/2025-2026/188724-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Installation of pump motor near Hombamma barangay of Tataguni village under Agar Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","500000","Work partially Completed"
