"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP096/2024-2025/132535-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Panakkad Palli canteen road /pathway, Ward No.37, Malappuram Municipality","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","19-Jun-2024","971608"
"2","Normal/Others","WS/MP096/2024-2025/117361-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Marthoma M S Colony - Parekkandam Link road/Pathway, Ward No.11, Edavetty Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","06-Dec-2024","464853"
"3","Normal/Others","WS/MP096/2024-2025/132555-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Poozhipatta town - Karinilam /pathway, Ward No. 11, Moorkkanad Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","N/A","06-Jul-2024","396289"
"4","Normal/Others","WS/MP096/2024-2025/132372-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Chirakkal - Kootayi Alavipadi road/pathway, ward no.03, Ponmundam Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","12-Jul-2024","367434"
"5","Normal/Others","WS/MP096/2024-2025/132534-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Paarangadi SC Colony road /pathway, ward No. 07, Othukkungal Panchayat (SC)","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","15-Jul-2024","127296"
"6","Normal/Others","WS/MP096/2024-2025/132533-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Chekkath - Kaipatta Naduvil road /pathway, Ward No. 01, Othukkungal Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","15-Jul-2024","356297"
"7","Normal/Others","WS/MP096/2024-2025/132560-Lighting of public spaces","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Setting up of low mast light at Kopprakkalli, Ward Mp.17, Kadalundi Panchayath","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","24-Jul-2024","136886"
"8","Normal/Others","WS/MP096/2024-2025/132561-Lighting of public spaces","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Setting up of low mast light at Marakkattil - Srambya road Junction, Ward No.17, Kadalundi Panchayath.","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","22-Aug-2024","136886"
"9","Normal/Others","WS/MP096/2024-2025/132958-Construction of rooms and halls in school and colleges","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Setting up of High-tech theatre classroom at PTMVHSS, Maruthoorkonam, Ward no.14, Kottukal Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","04-Sep-2024","1499700"
"10","Normal/Others","WS/MP096/2024-2025/133668-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Palad -Kalamkunnu Road /pathway, Ward No. 17, Vazhikkadavu Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","06-Sep-2024","487095"
"11","Normal/Others","WS/MP096/2024-2025/137098-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Chathamangalam - Viripadam road /pathway, Ward No. 11, Vazhayoor Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","06-Sep-2024","379009"
"12","Normal/Others","WS/MP096/2024-2025/137100-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Pallipadi - Palisserikuth road /pathway, Ward No. 14, Pulpatta Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","07-Sep-2024","335536"
"13","Normal/Others","WS/MP096/2024-2025/137102-Purchase of vans and buses for educational institutions","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Purchasing of School Bus for GLPS Vendekkumpotty, Ward No.04, Vazhikadavu Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","24-Sep-2024","1873200"
"14","Normal/Others","WS/MP096/2024-2025/132532-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of PWD Mundappalam  Edayangad road or pathway ward No 08 Kondotty Municipality","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","11-Sep-2024","228870"
"15","Normal/Others","WS/MP096/2024-2025/137099-Purchase of IT systems, including hardware and software for educational purposes","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","1.	Purchasing of Computers and accessories for GVHSS, Kalpakanchery, Ward No. 12, Kalpakanchery Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","29-Jan-2026","500000"
"16","Normal/Others","WS/MP096/2024-2025/137101-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Eranjikode – Peediyekkal road/pathway, Ward No. 13, Pulpatta Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","23-Sep-2024","267873"
