"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Kerala","Purchase of furniture and fixtures for educational purposes","WS/MP096/2026-2027/145613","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-Aug-2026","Manager","Payment In-Progress","48212"
"2","Kerala","Purchase of furniture and fixtures for educational purposes","WS/MP096/2025-2026/145615","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-May-2025","Edutex Enterprises","Payment Success","30000"
"3","Kerala","Purchase of furniture and fixtures for educational purposes","WS/MP096/2024-2025/145595","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","21-Mar-2026","Sidhikul Akbar Pathari","Payment Success","112580"
"4","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","20-Dec-2025","Mahindra And Mahindra Limited","Payment Success","1530567"
"5","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-Jan-2026","Manager","Payment Success","67926"
"6","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-Jan-2026","ASK FOR IT SOLUTION","Payment Success","60790"
"7","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-Jan-2026","QUBEC BIOSOLUTIONS PRIVATE LIMITED","Payment Success","49000"
"8","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-Jan-2026","QUBEC BIOSOLUTIONS PRIVATE LIMITED","Payment Success","23300"
"9","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-Jan-2026","QUBEC BIOSOLUTIONS PRIVATE LIMITED","Payment Success","28000"
"10","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP096/2025-2026/243720","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","24-Jan-2026","Tricare Service Solution","Payment Success","460000"
