"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Setting up of cremator at Ragavan Nagar crematory, Chirakkal Panchayat","19-Feb-2026","1000000","NA"
"2","Normal/Others","WS/MP096/2025-2026/178440-Construction of public libraries and reading rooms","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Public Library at CHMKSGS School, Ward No. 13, Mattul Panchayat","01-Mar-2025","1000000","14-Jan-2026"
"3","Normal/Others","NA-Construction of toilet blocks","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Bathroom at MMILPS, Kallayi, Vengad Panchayath","19-Feb-2026","1000000","NA"
"4","Repair and Renovation","WS/MP096/2026-2027/224564-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Repair and Renovation of Kallushap Kottali road or pathway, Ward no 13, Kolachery Panchayat","03-Aug-2025","1000000","07-Aug-2026"
"5","Normal/Others","WS/MP096/2025-2026/224566-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Muzhakunnu - Vilakkode Shihab Thangal road or pathway, Muzhakkunnu Panchayat","03-Aug-2025","1500000","11-Nov-2025"
"6","Normal/Others","WS/MP096/2025-2026/224568-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Mahathma Gandhi Aniyaram gas house canal road or pathway, Ward no 34, Panoor Municipality","03-Aug-2025","1000000","23-Jan-2026"
"7","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Ponnecheri - Vayad boat kadavu road or pathway, Pariyaram Panchayat","03-Aug-2025","500000","NA"
"8","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Kooloth Kanicheri Juma Masjid road or pathway, Munderi Panchayat","03-Aug-2025","1000000","NA"
"9","Normal/Others","WS/MP096/2026-2027/269619-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Illipuram - Mundayatt Kottam Nagar road OR pathway, Ward No.20, Pappinissery Panchayat","19-Feb-2026","1500000","19-Aug-2026"
"10","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Nalini veedu - Babu veedu road or pathway at Pullooppi Lakshamveed SC Nagar, Ward no.13, Kannur Corporation","19-Feb-2026","500000","NA"
