"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP18226/2024-2025/168967-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of Bhagauti Mata Temple in village Raipur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"2","Normal/Others","WS/MP18226/2024-2025/170172-Construction of culverts and bridges","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Construction of rapata on drain on Padukhia-Trikoliya connecting road in village Padukhia of Gram Panchayat Gauriya","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","6798710"
"3","Normal/Others","WS/MP18226/2024-2025/169243-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gardaha Masjid intersection in village Gardaha.","UTKARSH VERMA MADHUR","KHERI","Images","23-Apr-2026","166033"
"4","Normal/Others","WS/MP18226/2024-2025/168969-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of Gurudwara in village Banika.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"5","Normal/Others","WS/MP18226/2024-2025/169244-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Rasoolpur Masjid intersection in village Rasoolpur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"6","Normal/Others","WS/MP18226/2024-2025/169245-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Chhaturi Masjid intersection in village Chhaturi.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"7","Normal/Others","WS/MP18226/2024-2025/169246-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Amirnagar Bazaar wali Masjid intersection in village Amirnagar.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"8","Normal/Others","WS/MP18226/2024-2025/169247-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Deoria Masjid intersection in village Deoria.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"9","Normal/Others","WS/MP18226/2024-2025/169248-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mathana Masjid intersection in village Mathana.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"10","Normal/Others","WS/MP18226/2024-2025/169249-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection of Takiya Gaurav Raj house in village Takiya.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"11","Normal/Others","WS/MP18226/2024-2025/169059-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Devraha Dev Sthan intersection in Gram Panchayat Parsehra Bujurg.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"12","Normal/Others","WS/MP18226/2024-2025/169250-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Mamri Bazar intersection in village Mamri.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"13","Normal/Others","WS/MP18226/2024-2025/169251-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Awadhesh Verma Medical intersection in village Ajan.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"14","Normal/Others","WS/MP18226/2024-2025/169060-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Uttam Bhaiya Saraswati Vigha Mandir intersection in Gram Panchayat Kotri.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"15","Normal/Others","WS/MP18226/2024-2025/169278-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Ganeshpur Masjid intersection in village Ganeshpur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"16","Normal/Others","WS/MP18226/2024-2025/169275-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Dhiravan Nuruddin Ansari Masjid intersection in village Dhiravan.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"17","Normal/Others","WS/MP18226/2024-2025/169062-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in village Gopalapur of Gram Panchayat Bhaduri.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"18","Normal/Others","WS/MP18226/2024-2025/169276-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Hanuman Mandir intersection in village Dhiravan.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"19","Normal/Others","WS/MP18226/2024-2025/169061-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6way near Lord Buddha Temple intersection in Gram Panchayat Bhaduri.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"20","Normal/Others","WS/MP18226/2024-2025/169277-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the masjid intersection in village Nayagaon.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"21","Normal/Others","WS/MP18226/2024-2025/169279-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near hospital intersection of Gendan Lal Verma in village Belhari.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"22","Normal/Others","WS/MP18226/2024-2025/168968-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the temple intersection in village Banika.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"23","Normal/Others","WS/MP18226/2024-2025/169280-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Rehman Ali house intersection in village Secanderabad.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"24","Normal/Others","WS/MP18226/2024-2025/169063-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near the intersection in Bhadura Bazaar of Gram Panchayat Shankarpur.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"25","Normal/Others","WS/MP18226/2024-2025/169281-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Gurudwara intersection in village Harinagar.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
"26","Normal/Others","WS/MP18226/2024-2025/169072-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Installation work of a semi high mast light 6 way near Anup Verma house Tirahe in village Lakshman Nagar of Gram Panchayat Siyathu.","UTKARSH VERMA MADHUR","KHERI","N/A","21-Jan-2026","166033"
