"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Installing community drinking water plants","WS/MP18226/2025-2026/217170","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","09-Dec-2025","RAMA KANT","Payment Success","331034"
"2","Uttar Pradesh","Installing community drinking water plants","WS/MP18226/2025-2026/217170","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","06-Jul-2026","RAMA KANT","Payment Success","14542"
"3","Uttar Pradesh","Installing community drinking water plants","WS/MP18226/2025-2026/217170","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","06-Jul-2026","RAMA KANT","Payment Success","132887"
"4","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18226/2025-2026/222402","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","09-Dec-2025","Shiv kumar thekedar","Payment Success","1332742"
"5","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18226/2025-2026/222402","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","29-Jan-2026","Shiv kumar thekedar","Payment Success","448863"
"6","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18226/2025-2026/259879","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","02-Jul-2026","Shiv kumar thekedar","Payment Success","1176897"
"7","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18226/2025-2026/259879","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Aug-2026","Shiv kumar thekedar","Payment Success","401543"
"8","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18226/2025-2026/259880","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","02-Jul-2026","Shiv kumar thekedar","Payment Success","828900"
"9","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18226/2025-2026/259880","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","12-Aug-2026","Shiv kumar thekedar","Payment Success","263788"
"10","Uttar Pradesh","Construction of culverts and bridges","WS/MP18226/2024-2025/170172","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","27-May-2025","Ranjeet Kumar Verma Contractor","Payment Success","4354605"
"11","Uttar Pradesh","Construction of culverts and bridges","WS/MP18226/2024-2025/170172","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","28-Jun-2025","Ranjeet Kumar Verma Contractor","Payment Success","2444105"
"12","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222403","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"13","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222403","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"14","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222414","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"15","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222414","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"16","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222415","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"17","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222415","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"18","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222416","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"19","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222416","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"20","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222417","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"21","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222417","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"22","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222418","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"23","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222418","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"24","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222419","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"25","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222419","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"26","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222420","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"27","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222420","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"28","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222421","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"29","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222421","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"30","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222422","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"31","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222422","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"32","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222571","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"33","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222571","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"34","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222572","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"35","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222572","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"36","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222573","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"37","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222573","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"38","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222574","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"39","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222574","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"40","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222575","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"41","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222575","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"42","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222576","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","130358"
"43","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222576","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"44","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222577","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"45","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222577","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"46","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222578","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"47","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222578","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"48","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222579","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"49","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222579","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"50","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222580","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","111570"
"51","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222580","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"52","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222588","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"53","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222588","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"54","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222589","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"55","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222589","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"56","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222590","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"57","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222590","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"58","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222591","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"59","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222591","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"60","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222592","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"61","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222592","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"62","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222593","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"63","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222593","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"64","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222594","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"65","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222594","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"66","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222595","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","20-Dec-2025","Shiv kumar thekedar","Payment Success","107562"
"67","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/222595","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","26-Feb-2026","Shiv kumar thekedar","Payment Success","49397"
"68","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233192","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"69","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233192","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49402"
"70","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233193","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
"71","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233193","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","22-Apr-2026","Shiv kumar thekedar","Payment Success","49402"
"72","Uttar Pradesh","Lighting of public spaces","WS/MP18226/2025-2026/233194","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","07-Feb-2026","Shiv kumar thekedar","Payment Success","107572"
