"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP672/2024-2025/136731-Lighting of public spaces","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur","Nitin Jairam Gadkari","NAGPUR","Images","23-Aug-2024","963514"
"2","Normal/Others","WS/MP672/2024-2025/144105-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Construction of Cement Concerete Road from house of Durga Vikas Dharange to house of Sunita Hedaoo at Galli No.24, Vinoba Bhave Nagar.","Nitin Jairam Gadkari","NAGPUR","Images","30-Sep-2024","458593"
"3","Normal/Others","WS/MP672/2024-2025/144104-Purchase of hospital equipment","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Purchasing of Speech and Language disorder assesment and intervention software for speech and hearing disabilities.","Nitin Jairam Gadkari","NAGPUR","Images","30-Sep-2024","670000"
"4","Normal/Others","WS/MP672/2024-2025/144103-Purchase of hospital equipment","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Purchasing of Solar (Battery Operated) tricycle at CRC, Nagpur.","Nitin Jairam Gadkari","NAGPUR","Images","01-Oct-2024","555000"
"5","Normal/Others","WS/MP672/2024-2025/144101-Purchase of hospital equipment","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Upgrading of Prosthetic & Orthotics unit at CRC, Nagpur.","Nitin Jairam Gadkari","NAGPUR","Images","04-Oct-2024","152300"
"6","Normal/Others","WS/MP672/2024-2025/172547-Construction of footpaths and pedestrian ways","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Installation of I-Block near Rehamania Masjid, Ramai Nagar, Nagpur.","Nitin Jairam Gadkari","NAGPUR","Images","17-Feb-2025","955761"
"7","Normal/Others","WS/MP672/2024-2025/185160-Development of playfields and sports grounds","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Installation of Li-Ning Matin at Badminton Court of NMC Badminton Hall at Vivekanand Nagar, Nagpur","Nitin Jairam Gadkari","NAGPUR","Images","25-Mar-2025","992000"
"8","Normal/Others","WS/MP672/2024-2025/185152-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Purchase of 6 Computers along with 3 Printers","Nitin Jairam Gadkari","NAGPUR","Images","30-Mar-2025","435000"
"9","Normal/Others","WS/MP672/2024-2025/181677-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Providing 30 Computer Sets to Mahila Mahavidyalaya, Nandanvan, Nagpur.","Nitin Jairam Gadkari","NAGPUR","Images","08-May-2025","1949760"
"10","Normal/Others","WS/MP672/2024-2025/157636-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Installation of Paver Blocks (I Block) in Arvind Nagar from House of Viju Dahake to Ramjan Ul Haq.","Nitin Jairam Gadkari","NAGPUR","Images","04-Aug-2025","956902"
"11","Repair and Renovation","WS/MP672/2024-2025/157560-Construction of additional rooms and halls in the existing public and community building","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Repair and renovation to Mira Datar Samaj Bhavan at Arvind Nagar.","Nitin Jairam Gadkari","NAGPUR","Images","19-Sep-2025","959212"
"12","Normal/Others","WS/MP672/2025-2026/181697-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Construction of 4 Wheeler and 2 Wheeler Parking at Rashtra Sant Tukdoji Maharaj Cancer Hospital and Research Centre, Tukdoji Square, Nagpur for convenience of patients","Nitin Jairam Gadkari","NAGPUR","Images","14-Nov-2025","966539"
"13","Normal/Others","WS/MP672/2025-2026/181702-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Construction of Community Hall on Plot No.134 (Land of NIT) at Mahalgi Nagar.","Nitin Jairam Gadkari","NAGPUR","Images","27-Nov-2025","2232096"
"14","Normal/Others","WS/MP672/2025-2026/198594-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Construction of road at Mouza - Zingabai Takli, Khasra No.110, Nasheman Society, Nagpur.","Nitin Jairam Gadkari","NAGPUR","Images","26-Feb-2026","943737"
"15","Normal/Others","WS/MP672/2025-2026/276662-Development of public parks","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Development of open space beside NMC Vyayam Shala locates at Tuslhibag, Mahal (Prabhag - 18) with construction of toilets, Covered Shed and laying of I-Blocks on ground.","Nitin Jairam Gadkari","NAGPUR","Images","30-Mar-2026","1583723"
"16","Normal/Others","WS/MP672/2025-2026/226219-Purchase of furniture and fixtures for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Setting up of E-Library at Dr.Babasaheb Ambedkar Law College, Nagpur.","Nitin Jairam Gadkari","NAGPUR","N/A","06-Apr-2026","9998850"
"17","Normal/Others","WS/MP672/2026-2027/276663-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Purchase of 6 Computers, 4 Printers (With Scanner) and Drinking Water Machine (With RO and Cooling Machine) at Saraswati Mandir, Tulshibag Road, Reshimbag, Nagpur.","Nitin Jairam Gadkari","NAGPUR","N/A","06-May-2026","729476"
"18","Normal/Others","WS/MP672/2026-2027/247099-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Construction of Community Hall at Jagdish Nagar, Nagpur.","Nitin Jairam Gadkari","NAGPUR","Images","14-May-2026","1965693"
"19","Normal/Others","WS/MP672/2026-2027/215081-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Construction of Cement Concrete Road at Malik Mouza Society Arya Nagar Prabhag No.1","Nitin Jairam Gadkari","NAGPUR","Images","14-May-2026","1203802"
"Grand Total"," "," "," "," "," "," "," "," "," ","2,86,71,958"
