"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Maharashtra","Purchase of IT systems, including hardware and software for educational purposes","WS/MP672/2025-2026/252718","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","31-Jul-2026","Spectrum Services","Payment In-Progress","150000"
"2","Maharashtra","Providing drains and gutters for public drainage","WS/MP672/2026-2027/272113","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","24-Aug-2026","Vstone Infrastructure","Payment In-Progress","943153"
"3","Maharashtra","Providing drains and gutters for public drainage","WS/MP672/2026-2027/272115","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","24-Aug-2026","Vstone Infrastructure","Payment In-Progress","943418"
"4","Maharashtra","Purchase of smart boards, visual display units and projectors","WS/MP672/2025-2026/198595","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","31-Jul-2026","Highstone Technologies Private Limited","Payment In-Progress","449900"
"5","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/272114","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","21-Aug-2026","Shubham Bhure","Payment In-Progress","947858"
"6","Maharashtra","Construction of footpaths and pedestrian ways","WS/MP672/2026-2027/272117","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","24-Aug-2026","Shubham Bhure","Payment In-Progress","944440"
"7","Maharashtra","Construction of footpaths and pedestrian ways","WS/MP672/2024-2025/172547","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","17-Feb-2025","JITENDRA FOUJLAL MANE","Payment Success","955761"
"8","Maharashtra","Development of public parks","WS/MP672/2025-2026/256783","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","06-Feb-2026","KAMLESH CONSTRUCTION","Payment Success","2347190"
"9","Maharashtra","Development of public parks","WS/MP672/2025-2026/276662","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","30-Mar-2026","Bhushan Suresh Taori","Payment Success","1583723"
"10","Maharashtra","Development of playfields and sports grounds","WS/MP672/2024-2025/185160","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","21-May-2025","SPORTS ORBIT EVENTS","Payment Success","992000"
"11","Maharashtra","Lighting of public spaces","WS/MP672/2024-2025/136731","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","23-Aug-2024","Ansari Electricals","Payment Success","963514"
"12","Maharashtra","Purchase of furniture and fixtures for educational purposes","WS/MP672/2025-2026/226219","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","06-Apr-2026","Spectrum Services","Payment Success","9998850"
"13","Maharashtra","Purchase of hospital equipment","WS/MP672/2024-2025/144101","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","04-Oct-2024","Pro Ortho Perfect India Pvt Ltd","Payment Success","152300"
"14","Maharashtra","Purchase of hospital equipment","WS/MP672/2024-2025/144103","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","01-Oct-2024","Andhra Pradesh Medtech zone Ltd","Payment Success","555000"
"15","Maharashtra","Purchase of hospital equipment","WS/MP672/2024-2025/144104","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","01-Oct-2024","Voice Tech","Payment Success","670000"
"16","Maharashtra","Providing drains and gutters for public drainage","WS/MP672/2026-2027/215164","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","17-Jun-2026","Pravin W Kale","Payment Success","775097"
"17","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2025-2026/198594","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","26-Feb-2026","Shubham Ramdas Zade","Payment Success","943737"
"18","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/227307","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","16-Jun-2026","Sweety Construction","Payment Success","1888785"
"19","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/227303","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","16-Jun-2026","Pravin W Kale","Payment Success","784511"
"20","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2024-2025/144105","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","04-Oct-2024","CHITANYA CONSTRUCTION","Payment Success","458593"
"21","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2024-2025/157636","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","04-Aug-2025","Kailash Eknath Suryawanshi","Payment Success","956902"
"22","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/215081","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","14-May-2026","D M Traders","Payment Success","1203802"
"23","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/215131","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","03-Jul-2026","Jeet Enterprises","Payment Success","1374996"
"24","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/215132","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","24-Jul-2026","Jeet Enterprises","Payment Success","1374299"
"25","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/215133","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","24-Jul-2026","Jeet Enterprises","Payment Success","1368261"
"26","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/215157","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","17-Jun-2026","Pravin W Kale","Payment Success","393118"
"27","Maharashtra","Purchase of IT systems, including hardware and software for educational purposes","WS/MP672/2024-2025/181677","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","08-May-2025","Spectrum Services","Payment Success","1949760"
"28","Maharashtra","Purchase of IT systems, including hardware and software for educational purposes","WS/MP672/2026-2027/276663","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","06-May-2026","Spectrum Services","Payment Success","539676"
"29","Maharashtra","Purchase of IT systems, including hardware and software for educational purposes","WS/MP672/2026-2027/276663","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","06-May-2026","Shri Jaitai Enterprises Sharda Katore","Payment Success","189800"
"30","Maharashtra","Construction of community centers and community halls","WS/MP672/2025-2026/181702","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","27-Nov-2025","Nandkishor Namdeorao Thote","Payment Success","2232096"
"31","Maharashtra","Construction of community centers and community halls","WS/MP672/2026-2027/247099","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","14-May-2026","Patel Associates","Payment Success","1965693"
"32","Maharashtra","Construction of community centers and community halls","WS/MP672/2026-2027/291742","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","07-Jul-2026","Dhiraj Baba Virkhare","Payment Success","3201581"
"33","Maharashtra","Construction of additional rooms and halls in the existing public and community building","WS/MP672/2024-2025/157560","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","19-Sep-2025","Kailash Eknath Suryawanshi","Payment Success","959212"
"34","Maharashtra","Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","WS/MP672/2025-2026/181697","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","14-Nov-2025","Palash Premchand Musale","Payment Success","966539"
"35","Maharashtra","Purchase of IT systems, including hardware and software for educational purposes","WS/MP672/2024-2025/185152","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","30-Mar-2025","Shri Jaitai Enterprises Sharda Katore","Payment Success","435000"
"Grand Total"," "," "," "," "," "," "," "," "," ","4,65,58,565"
