"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP672/2024-2025/181699-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Community Hall at Saroj Nagar Society, Hajari Pahad, Nagpur.","13-Mar-2025","4996000","22-Mar-2025"
"2","Normal/Others","WS/MP672/2025-2026/181702-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Community Hall on Plot No.134 (Land of NIT) at Mahalgi Nagar.","13-Mar-2025","3000000","26-Nov-2025"
"3","Repair and Renovation","NA-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Repairs and Renovation to Community Hall near Hanuman Mandir, Nava Nakasha","05-Jul-2025","1000000","NA"
"4","Normal/Others","NA-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Community hall at Mouza Hajari Pahad Khasra No.89, Plot No.183, 184, nagpur","05-Jul-2025","4000000","NA"
"5","Normal/Others","WS/MP672/2026-2027/247099-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Community Hall at Jagdish Nagar, Nagpur.","09-Nov-2025","2500000","14-May-2026"
"6","Normal/Others","NA-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Sant Tukaram Maharaj community hall at Barde Nagar, Friends Colony, Nagpur.","24-Apr-2026","5000000","NA"
"7","Normal/Others","NA-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Sant Ravidas Maharaj Community hall and Statue at Mouza-Babulkheda, Khasra No. 74/1, Nagpur.","29-Jun-2026","10000000","NA"
"8","Normal/Others","WS/MP672/2026-2027/291742-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of community hall at Santaji Nagar, Dandekar Layout infront of Ganesh Mandir nagpur.","03-Jul-2026","5000000","07-Jul-2026"
"9","Normal/Others","NA-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Charmakar Samaj Bhavan at Timki.","21-Aug-2026","5999564","NA"
"10","Normal/Others","NA-Construction of public libraries and reading rooms","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Library at Mouza Indora, Khasra No. 29, 30, 31/1, 2, 3, 32/4, 33, NIT Polt No-23, 24.","29-Jun-2026","5000000","NA"
"11","Normal/Others","NA-Construction of common work sheds/ common covered sitting area","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Providing and Painting and construction of Teen Shed at Akhil Bhartiya Shivhare Vaisya Samaj Bhawan, Chandak Layout.","29-Jun-2026","1000000","NA"
"12","Normal/Others","NA-Construction of additional rooms and halls in the existing public and community building","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Development of Teli Samaj Sanskrutik Sabhagruha, Budhwar Bazar, Somwari Quarter, Nagpur.","29-Jun-2026","4400000","NA"
"13","Normal/Others","NA-Construction of additional rooms and halls in the existing public and community building","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Various development work at community hall located at Dixit Nagar Colony, Nagpur.","24-Apr-2026","1000000","NA"
"14","Repair and Renovation","WS/MP672/2024-2025/157560-Construction of additional rooms and halls in the existing public and community building","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Repair and renovation to Mira Datar Samaj Bhavan at Arvind Nagar.","09-Dec-2024","998500","11-Feb-2025"
"15","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Boundary wall to Samajbhavn located at OmSai Nagar Prabhag No-4, Nagpur","02-Mar-2026","1000000","NA"
"16","Normal/Others","NA-Construction of boundary walls of existing public and community buildings","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Boundary wall and laying of I-Block at open space at Pavan Nagar.","31-Jul-2026","1000000","NA"
"17","Normal/Others","WS/MP672/2025-2026/181697-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of 4 Wheeler and 2 Wheeler Parking at Rashtra Sant Tukdoji Maharaj Cancer Hospital and Research Centre, Tukdoji Square, Nagpur for convenience of patients","13-Mar-2025","1500000","14-Nov-2025"
"18","Normal/Others","WS/MP672/2024-2025/185152-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchase of 6 Computers along with 3 Printers","21-Mar-2025","435000","22-Mar-2025"
"19","Normal/Others","WS/MP672/2025-2026/252718-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchasing of 2 Computer Systems and 1 Printer at Sonegaon Police Station.","08-Dec-2025","150000","23-Dec-2025"
"20","Normal/Others","WS/MP672/2024-2025/181677-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Providing 30 Computer Sets to Mahila Mahavidyalaya, Nandanvan, Nagpur.","13-Mar-2025","1950000","31-Mar-2025"
"21","Normal/Others","WS/MP672/2026-2027/276663-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchase of 6 Computers, 4 Printers (With Scanner) and Drinking Water Machine (With RO and Cooling Machine) at Saraswati Mandir, Tulshibag Road, Reshimbag, Nagpur.","30-Mar-2026","836000","01-Apr-2026"
"22","Normal/Others","WS/MP672/2025-2026/198595-Purchase of smart boards, visual display units and projectors","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Upgradation of Class rooms to Smart Class Rooms at Shri Mathuradas Mohota College of Science, Nagpur","11-May-2025","500000","09-Feb-2026"
"23","Normal/Others","NA-Setting up of laboratories","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Setting up of Modular Science Laboratory at Jawahar Gurukul Vidyalaya, Nandanvan, Nagpur.","13-Mar-2025","1810000","NA"
"24","Normal/Others","WS/MP672/2025-2026/226219-Purchase of furniture and fixtures for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Setting up of E-Library at Dr.Babasaheb Ambedkar Law College, Nagpur.","10-Aug-2025","9998850","30-Mar-2026"
"25","Normal/Others","NA-Purchase of furniture and fixtures for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchasing and installation of various items required for library cum study center at Sant Tukaram Maharaj Prabodhini, Ramna Maroti branch of Bawane Kunbi Samaj Seva Mandal, Sakkardara, Nagpur.","11-May-2025","1500000","NA"
"26","Normal/Others","WS/MP672/2024-2025/144101-Purchase of hospital equipment","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Upgrading of Prosthetic & Orthotics unit at CRC, Nagpur.","27-Sep-2024","152300","30-Sep-2024"
"27","Normal/Others","WS/MP672/2024-2025/144103-Purchase of hospital equipment","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchasing of Solar (Battery Operated) tricycle at CRC, Nagpur.","27-Sep-2024","555000","30-Sep-2024"
"28","Normal/Others","WS/MP672/2024-2025/144104-Purchase of hospital equipment","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchasing of Speech and Language disorder assesment and intervention software for speech and hearing disabilities.","27-Sep-2024","670000","30-Sep-2024"
"29","Normal/Others","NA-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Sewer Line at Lashkaribagh area","05-Jul-2025","2000000","NA"
"30","Normal/Others","NA-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Sewer Line at Pahune Layout Prabhag - 3, Nagpur","16-Aug-2025","2000000","NA"
"31","Normal/Others","NA-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Sewer Line from residence of Anil Zade to Mate line, Nava Nakasha, Nagpur","05-Jul-2025","1000000","NA"
"32","Normal/Others","NA-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Strom Water Drainage line, Strom Water Drainage tank and laying of paving blocks from Stone decor to Purohit Agro, Factory road, Old Bagadganj, Nagpur","29-Jun-2026","1000000","NA"
"33","Normal/Others","WS/MP672/2026-2027/215164-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Sewer line and Drainage line at Galli No.1 and Galli No.2 behind Jetwan Buddha Vihar, New Indora","05-Jul-2025","1000000","29-May-2026"
"34","Normal/Others","WS/MP672/2026-2027/272113-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of drainage line at Santosh Nagar Prabhag No-3, Nagpur.","02-Mar-2026","1000000","25-Jun-2026"
"35","Normal/Others","WS/MP672/2026-2027/272115-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of drainage line at Nagsenvan from house of Shamkuwar to house of Bolgudewar, Prabhag No-3, Nagpur.","02-Mar-2026","1000000","25-Jun-2026"
"36","Normal/Others","NA-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Laying of drainage line from House of Sh.Rahate to House of Sh.Selokar in Pivli Nadi area.","31-Jul-2026","1000000","NA"
"37","Normal/Others","NA-Construction of public toilets and bathrooms","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of toilet blocks at Akhil Bhartiya Shivhare Vaisya Samaj Bhawan Chandak Layout, Nagpur","29-Jun-2026","1000000","NA"
"38","Normal/Others","NA-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of retaining wall to Nalla from 10 No. Puliya to Kashmiri Galli, Nava Nakasha","05-Jul-2025","1500000","NA"
"39","Normal/Others","WS/MP672/2025-2026/198594-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of road at Mouza - Zingabai Takli, Khasra No.110, Nasheman Society, Nagpur.","11-May-2025","1000000","25-Feb-2026"
"40","Normal/Others","WS/MP672/2026-2027/227307-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concrete road at Dabha from House of Shri.Milind Gode to Binjhani Shopee and Binjhani Shopee to House of Shri.Pappi Agrawal, Nagpur.","16-Aug-2025","3000000","14-May-2026"
"41","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of CC road with I-Block and drainage system from residence of Rameshlal Kruplani to residence of Rajesh Topwani, Jaripatka","05-Jul-2025","1000000","NA"
"42","Normal/Others","WS/MP672/2026-2027/227303-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concrete Road at Pivli Nadi area, Nagpur.","16-Aug-2025","1000000","29-May-2026"
"43","Normal/Others","WS/MP672/2024-2025/144105-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concerete Road from house of Durga Vikas Dharange to house of Sunita Hedaoo at Galli No.24, Vinoba Bhave Nagar.","27-Sep-2024","458593","30-Sep-2024"
"44","Normal/Others","WS/MP672/2024-2025/157636-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Installation of Paver Blocks (I Block) in Arvind Nagar from House of Viju Dahake to Ramjan Ul Haq.","09-Dec-2024","1000000","11-Feb-2025"
"45","Normal/Others","WS/MP672/2026-2027/215081-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concrete Road at Malik Mouza Society Arya Nagar Prabhag No.1","05-Jul-2025","2000000","14-May-2026"
"46","Normal/Others","WS/MP672/2026-2027/215119-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concrete Road at Sai Sevashram Society, Arya Nagar, Nagpur.","05-Jul-2025","2000000","22-Jul-2026"
"47","Normal/Others","WS/MP672/2026-2027/215131-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Cosntruction of road with drainage from Shriram Nagar Kalimata mandir Main road to Drum Karkhana to Sangeeta Gokhle residence Kalamna","05-Jul-2025","2500000","25-Jun-2026"
"48","Normal/Others","WS/MP672/2026-2027/215132-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Cosntruction of road with drainage from Gokul Nagar Main road to residence of Mr.Gaurav, Kalamna","05-Jul-2025","2500000","22-Jul-2026"
"49","Normal/Others","WS/MP672/2026-2027/215133-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Cosntruction of road with drainage from Main road to residence of Manish Sahu and Main road to residence of Harsha Paunikar, Gokul Nagar, Kalamna","05-Jul-2025","2500000","22-Jul-2026"
"50","Normal/Others","WS/MP672/2026-2027/215157-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Cosntruction of CC Flooring road from residence of Shyam Tarare to residence of Ganesh Ghodmare, Balabhaupeth, Nagpur","05-Jul-2025","500000","29-May-2026"
"51","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Cosntruction of CC Flooring road from residence of Kau Shirshikar to residence of Bhaskar Paunikar, Balabhaupeth, Nagpur","05-Jul-2025","500000","NA"
"52","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of BT road at Mehandibag Colony, Binaki Mangalwari, Nagpur.","29-Jun-2026","3200000","NA"
"53","Normal/Others","WS/MP672/2026-2027/272114-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of road at Shiv Nagar, Prabhag No-3, Nagpur.","02-Mar-2026","1000000","25-Jun-2026"
"54","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of BT road at Shirke Nagar from house of Ramesh Palu to house of Sunil Sayare Prabhag No-4, Nagpur.","02-Mar-2026","2000000","NA"
"55","Normal/Others","WS/MP672/2026-2027/272117-Construction of footpaths and pedestrian ways","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Laying of I-Block at Samaj Bhavan located at Santosh nagar, Prabhag No-3, Nagpur.","02-Mar-2026","1000000","25-Jun-2026"
"56","Normal/Others","NA-Construction of footpaths and pedestrian ways","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Fixing I-block at Akhil Bhartiya Shivhare Vaisya Samaj Bhawan, Chandak Layout, Nagpur.","29-Jun-2026","1000000","NA"
"57","Normal/Others","WS/MP672/2024-2025/172547-Construction of footpaths and pedestrian ways","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Installation of I-Block near Rehamania Masjid, Ramai Nagar, Nagpur.","04-Feb-2025","1000000","07-Feb-2025"
"58","Normal/Others","NA-Construction of buildings for sports facilities","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Gymnastic Academy at open space of The Friends Cooperative Society, Phase-2, Deendayal Nagar, Nagpur","08-Dec-2025","6000000","NA"
"59","Normal/Others","WS/MP672/2025-2026/256783-Development of public parks","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Development of Dnyanyogi Dr.Shrikant Jichkar Children Traffic Park.","02-Jan-2026","5000000","03-Feb-2026"
"60","Normal/Others","NA-Development of public parks","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Plantatio of trees, laying green grass and installation of drinking water pipeline alongwith other development works at Renuka Layout garden, Takli Sim, Prabhag No-38, Nagpur.","08-Dec-2025","1000000","NA"
"61","Normal/Others","WS/MP672/2025-2026/276662-Development of public parks","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Development of open space beside NMC Vyayam Shala locates at Tuslhibag, Mahal (Prabhag - 18) with construction of toilets, Covered Shed and laying of I-Blocks on ground.","30-Mar-2026","2500000","30-Mar-2026"
"62","Normal/Others","NA-Development of public parks","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Development of Traffic Park located at Dharampeth, Nagpur.","29-Jun-2026","5000000","NA"
"63","Normal/Others","NA-Development of playfields and sports grounds","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Development of ground located at  Nagpur University, Nagpur.","29-Jun-2026","1000000","NA"
"64","Normal/Others","NA-Development of playfields and sports grounds","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Development of Sports Ground at Mahila Mahavidyalay, Nandanvan, Nagpur.","20-Feb-2026","800000","NA"
"65","Normal/Others","WS/MP672/2024-2025/185160-Development of playfields and sports grounds","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Installation of Li-Ning Matin at Badminton Court of NMC Badminton Hall at Vivekanand Nagar, Nagpur","21-Mar-2025","1000000","22-Mar-2025"
