"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP672/2024-2025/181699-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Community Hall at Saroj Nagar Society, Hajari Pahad, Nagpur.","13-Mar-2025","22-Mar-2025","4996000","Sanction"
"2","Normal/Others","WS/MP672/2025-2026/181702-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Community Hall on Plot No.134 (Land of NIT) at Mahalgi Nagar.","13-Mar-2025","26-Nov-2025","3000000","Physical Inspection"
"3","Normal/Others","WS/MP672/2026-2027/247099-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Community Hall at Jagdish Nagar, Nagpur.","09-Nov-2025","14-May-2026","2500000","Work Completed"
"4","Normal/Others","WS/MP672/2026-2027/291742-Construction of community centers and community halls","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of community hall at Santaji Nagar, Dandekar Layout infront of Ganesh Mandir nagpur.","03-Jul-2026","07-Jul-2026","5000000","Physical Inspection"
"5","Repair and Renovation","WS/MP672/2024-2025/157560-Construction of additional rooms and halls in the existing public and community building","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Repair and renovation to Mira Datar Samaj Bhavan at Arvind Nagar.","09-Dec-2024","11-Feb-2025","998500","Physical Inspection"
"6","Normal/Others","WS/MP672/2025-2026/181697-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of 4 Wheeler and 2 Wheeler Parking at Rashtra Sant Tukdoji Maharaj Cancer Hospital and Research Centre, Tukdoji Square, Nagpur for convenience of patients","13-Mar-2025","14-Nov-2025","1500000","Physical Inspection"
"7","Normal/Others","WS/MP672/2025-2026/252718-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchasing of 2 Computer Systems and 1 Printer at Sonegaon Police Station.","08-Dec-2025","23-Dec-2025","150000","Work partially Completed"
"8","Normal/Others","WS/MP672/2026-2027/276663-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchase of 6 Computers, 4 Printers (With Scanner) and Drinking Water Machine (With RO and Cooling Machine) at Saraswati Mandir, Tulshibag Road, Reshimbag, Nagpur.","30-Mar-2026","01-Apr-2026","836000","Work Completed"
"9","Normal/Others","WS/MP672/2024-2025/181677-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Providing 30 Computer Sets to Mahila Mahavidyalaya, Nandanvan, Nagpur.","13-Mar-2025","31-Mar-2025","1950000","Work Completed"
"10","Normal/Others","WS/MP672/2024-2025/185152-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchase of 6 Computers along with 3 Printers","21-Mar-2025","22-Mar-2025","435000","Work Completed"
"11","Normal/Others","WS/MP672/2025-2026/198595-Purchase of smart boards, visual display units and projectors","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Upgradation of Class rooms to Smart Class Rooms at Shri Mathuradas Mohota College of Science, Nagpur","11-May-2025","09-Feb-2026","500000","Work partially Completed"
"12","Normal/Others","WS/MP672/2025-2026/226219-Purchase of furniture and fixtures for educational purposes","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Setting up of E-Library at Dr.Babasaheb Ambedkar Law College, Nagpur.","10-Aug-2025","30-Mar-2026","9998850","Physical Inspection"
"13","Normal/Others","WS/MP672/2024-2025/144101-Purchase of hospital equipment","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Upgrading of Prosthetic & Orthotics unit at CRC, Nagpur.","27-Sep-2024","30-Sep-2024","152300","Work Completed"
"14","Normal/Others","WS/MP672/2024-2025/144103-Purchase of hospital equipment","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchasing of Solar (Battery Operated) tricycle at CRC, Nagpur.","27-Sep-2024","30-Sep-2024","555000","Physical Inspection"
"15","Normal/Others","WS/MP672/2024-2025/144104-Purchase of hospital equipment","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Purchasing of Speech and Language disorder assesment and intervention software for speech and hearing disabilities.","27-Sep-2024","30-Sep-2024","670000","Physical Inspection"
"16","Normal/Others","WS/MP672/2026-2027/272113-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of drainage line at Santosh Nagar Prabhag No-3, Nagpur.","02-Mar-2026","25-Jun-2026","1000000","Physical Inspection"
"17","Normal/Others","WS/MP672/2026-2027/215164-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Sewer line and Drainage line at Galli No.1 and Galli No.2 behind Jetwan Buddha Vihar, New Indora","05-Jul-2025","29-May-2026","1000000","Physical Inspection"
"18","Normal/Others","WS/MP672/2026-2027/272115-Providing drains and gutters for public drainage","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of drainage line at Nagsenvan from house of Shamkuwar to house of Bolgudewar, Prabhag No-3, Nagpur.","02-Mar-2026","25-Jun-2026","1000000","Physical Inspection"
"19","Normal/Others","WS/MP672/2026-2027/272114-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of road at Shiv Nagar, Prabhag No-3, Nagpur.","02-Mar-2026","25-Jun-2026","1000000","Physical Inspection"
"20","Normal/Others","WS/MP672/2026-2027/227303-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concrete Road at Pivli Nadi area, Nagpur.","16-Aug-2025","29-May-2026","1000000","Physical Inspection"
"21","Normal/Others","WS/MP672/2026-2027/227307-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of Cement Concrete road at Dabha from House of Shri.Milind Gode to Binjhani Shopee and Binjhani Shopee to House of Shri.Pappi Agrawal, Nagpur.","16-Aug-2025","14-May-2026","3000000","Physical Inspection"
"22","Normal/Others","WS/MP672/2025-2026/198594-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","Construction of road at Mouza - Zingabai Takli, Khasra No.110, Nasheman Society, Nagpur.","11-May-2025","25-Feb-2026","1000000","Work Completed"
