"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP465/2024-2025/137493-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","??? ?? ??????? ?????? ??? ??? ???? ?????? ?? ?? ?? ???? ?? ?? ?? ???? ?????????? ?? ?? ?? ?????????? ?????","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","16-Jan-2026","1066257"
"2","Normal/Others","WS/MP465/2024-2025/137496-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","?????? ??? ?? ??????? ?????????? ??? ????????? ???? ?? ??? ??? ???? ? ?????????? ?????","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","16-Jan-2026","848185"
"3","Normal/Others","WS/MP465/2024-2025/137490-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","????? ??? ????????? ??? ????? ???? ????? ????? ????? ?? ????????? ???? ?? ?????????? ?????","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","27-Aug-2025","1169654"
"4","Normal/Others","WS/MP465/2024-2025/137489-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","????? ??? ????????? ?????? ??? ????? ?????? ??????? ???? ??? ????? ???? ?? ???????? ????? ?? ?????????? ?????","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","16-Jan-2026","2145797"
"5","Normal/Others","WS/MP465/2024-2025/137491-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","????? ??? ??????? ?? ????? ?????? ?????? ??? ??? ???? ?? ????????? ?? ?? ?? ?????????? ?????","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","27-Aug-2025","1302091"
"6","Normal/Others","WS/MP465/2024-2025/137488-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","????? ??? ????????? ??? ??? ????? ?????? ???? ????? ?? ???? ????????? ??? ???? ??? ?? ???????? ?? ?? ?? ?????????? ?????","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","27-Aug-2025","1097375"
"7","Normal/Others","WS/MP465/2024-2025/137495-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","????? ??? ?????? ?? ????? ?????? ???????? ????? ?? ???? ????? ????? ??? ????? ???? ?? ?????? ?? ???? ???? ?? ?? ?? ?????????? ?????","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","11-Aug-2025","517653"
"8","Normal/Others","WS/MP465/2024-2025/137492-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","??????? ??????? ??? ?? ????? ???? 8 ??? ????? ??????? ?? ?? ?? ???? ?? ?? ?? ?????????? ?????","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","16-Jan-2026","334804"
"9","Normal/Others","WS/MP465/2024-2025/137494-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","?????? ??? ?? ?????? ??? ??? ????? ???? 8 ???? ???? ?? ?? ?? ??????? ?? ?? ?? ?????????? ?????","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","14-Jan-2026","294822"
"10","Normal/Others","WS/MP465/2025-2026/186775-Construction of shelters for animals","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","Shri Krishnayan gaurakshashala sabal garh (Bhaguwala) Bijnor me Teen Shed nirman hetu.","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","23-Mar-2026","4997529"
"11","Normal/Others","WS/MP465/2025-2026/168654-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Covered drain construction work from Muskat Hotel to Raebareli Road in Ward No. 18 Gadankheda.","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","16-Jan-2026","602270"
"12","Normal/Others","WS/MP465/2025-2026/195987-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","gram panchayat matukari ke majra Aat me Mataji ke mandir se Parshuram ke ghar tak interlocking karya","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Images","17-Jan-2026","1495013"
"Grand Total"," "," "," "," "," "," "," "," "," ","1,58,71,450"
