"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP465/2025-2026/189652","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","03-Jul-2026","RAJESH KUMAR PAL","Payment In-Progress","22000"
"2","Uttar Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP465/2025-2026/189652","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","03-Jul-2026","RAJESH KUMAR PAL","Payment In-Progress","242000"
"3","Uttar Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP465/2025-2026/189652","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","03-Jul-2026","RAJESH KUMAR PAL","Payment In-Progress","33000"
"4","Uttar Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP465/2025-2026/189652","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","03-Jul-2026","DEEPA SURGICAL","Payment In-Progress","180000"
"5","Uttar Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP465/2025-2026/189652","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","03-Jul-2026","DEEPA SURGICAL","Payment In-Progress","360000"
"6","Uttar Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP465/2025-2026/189652","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","03-Jul-2026","DEEPA SURGICAL","Payment In-Progress","120000"
"7","Uttar Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP465/2025-2026/189652","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","03-Jul-2026","DEEPA SURGICAL","Payment In-Progress","120000"
"8","Uttar Pradesh","Installing community drinking water plants","WS/MP465/2025-2026/196759","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","13-Aug-2025","RAJESH KUMAR PAL","Payment Success","722481"
"9","Uttar Pradesh","Installing community drinking water plants","WS/MP465/2025-2026/196760","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","13-Aug-2025","RAJESH KUMAR PAL","Payment Success","722121"
"10","Uttar Pradesh","Installing community drinking water plants","WS/MP465/2025-2026/196762","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","13-Aug-2025","RAJESH KUMAR PAL","Payment Success","721913"
"11","Uttar Pradesh","Installing community drinking water plants","WS/MP465/2025-2026/174850","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","13-Aug-2025","RAJESH KUMAR PAL","Payment Success","722424"
"12","Uttar Pradesh","Installing community drinking water plants","WS/MP465/2025-2026/195910","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","24-Dec-2025","RAJESH KUMAR PAL","Payment Success","722784"
"13","Uttar Pradesh","Installing community drinking water plants","WS/MP465/2025-2026/195911","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","13-Aug-2025","RAJESH KUMAR PAL","Payment Success","722784"
"14","Uttar Pradesh","Installing community drinking water plants","WS/MP465/2025-2026/195912","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","22-Sep-2025","RAJESH KUMAR PAL","Payment Success","722784"
"15","Uttar Pradesh","Installing community drinking water plants","WS/MP465/2025-2026/195913","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","13-Aug-2025","RAJESH KUMAR PAL","Payment Success","722784"
"16","Uttar Pradesh","Installing community drinking water plants","WS/MP465/2025-2026/195914","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","13-Aug-2025","RAJESH KUMAR PAL","Payment Success","722784"
"17","Uttar Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP465/2025-2026/168654","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","22-Sep-2025","MAA ASHAMBARI CONSTRUCTION COMPANY","Payment Success","602270"
"18","Uttar Pradesh","Construction of shelters for animals","WS/MP465/2025-2026/186775","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","20-Aug-2025","RAJESH KUMAR PAL","Payment Success","3747734"
"19","Uttar Pradesh","Construction of shelters for animals","WS/MP465/2025-2026/186775","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","24-Feb-2026","RAJESH KUMAR PAL","Payment Success","1249795"
"20","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP465/2025-2026/257159","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","22-Jun-2026","RAJESH KUMAR PAL","Payment Success","3197048"
"21","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP465/2025-2026/257161","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","22-Jun-2026","RAJESH KUMAR PAL","Payment Success","1952049"
"22","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP465/2025-2026/257162","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","22-Jun-2026","RAJESH KUMAR PAL","Payment Success","1517181"
"23","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP465/2025-2026/257163","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","23-Jun-2026","RAJESH KUMAR PAL","Payment Success","2065526"
"24","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP465/2025-2026/257166","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","24-Jun-2026","RAJESH KUMAR PAL","Payment Success","995482"
"25","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP465/2025-2026/257175","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","22-Jun-2026","RAJESH KUMAR PAL","Payment Success","788246"
"26","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP465/2025-2026/195996","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","26-Sep-2025","RAJESH KUMAR PAL","Payment Success","1197955"
