"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP465/2025-2026/168656-Construction of community centers and community halls","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction work of Baraatshaala in village Harikheda Majra Katav in Block Purva.","10-Feb-2025","1843000","25-Jun-2025"
"2","Normal/Others","NA-Construction of community centers and community halls","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Hanumandas baba ashram gram Jhakhra me ek Baratshala nirman karya","02-May-2025","1782000","NA"
"3","Normal/Others","WS/MP465/2026-2027/277568-Construction of community centers and community halls","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction of a Community hall in village Sanjhamau in block Sumerpur","10-Apr-2026","1702000","19-Jun-2026"
"4","Trust and Society","WS/MP465/2025-2026/196761-Construction of rooms and halls in school and colleges","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","School me 02 Kamre Nirman karya hetu","05-May-2025","500000","13-May-2025"
"5","Normal/Others","WS/MP465/2025-2026/174851-Setting up of laboratories","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Construction work of one laboratory rooms in Pandit Dev Krishna Inter College, Sagwar, vikas khand Bighapur, Unnao.","10-Feb-2025","700000","13-Jun-2025"
"6","Normal/Others","WS/MP465/2025-2026/189652-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","UNNAO KE SAMUDAYIK SWASTHYA KENDRA NAWABGANJ SAFIPUR BANGARMAU HASANGANJ PURWA ME MNCU KE ROOP ME UCCHIKRIT KARNE HETU KARYA KARANE KE LIYE-MUKHYA CHIKITSA AADHIKARI UNNAO","07-Apr-2025","1367000","19-Dec-2025"
"7","Normal/Others","WS/MP465/2026-2027/257122-Purchase of hospital equipment","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","For a CPAP machine in the Sick Newborn Care Unit set up in the Womens Hospital in Unnao district","07-Jan-2026","164999","05-Aug-2026"
"8","Normal/Others","WS/MP465/2025-2026/196762-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Ward no., 18 Gadankheda me Amar Shaheed Gulab singh lodhi park ke pass 01 water cooler.","05-May-2025","725000","15-Jul-2025"
"9","Normal/Others","WS/MP465/2025-2026/196759-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block bichiya ke gram hussain nagar BJP Office ke pass 01 water cooler installation.","05-May-2025","725000","15-Jul-2025"
"10","Normal/Others","WS/MP465/2025-2026/196760-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Lucknow bypass par sthit Maa Annapurna dham mandir ke pass 01 water cooler.","05-May-2025","725000","15-Jul-2025"
"11","Normal/Others","WS/MP465/2026-2027/277562-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Installing of RO water cooler between Primary School and Girls Junior School in village Sagarwar Dhanikheda Marg Block Bighapur.","10-Apr-2026","725000","19-Jun-2026"
"12","Normal/Others","WS/MP465/2026-2027/277563-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Installationm of RO Water Cooler on Main Road near Baratshala on Piprasar Marg","10-Apr-2026","725000","19-Jun-2026"
"13","Normal/Others","WS/MP465/2025-2026/174850-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","01 water cooler on the road from Gangaga Setu main road to funeral place in development block Sumerpur Gram Panchayat Buxar.","10-Feb-2025","725000","13-Jun-2025"
"14","Normal/Others","WS/MP465/2025-2026/195910-Installing community drinking water plants","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Swami Sachchidanandhari Sakshi ji Maharaj","UNNAO","Block Bangarmau me nanamau ghat par Water Cooler installation.","02-May-2025","725000","15-Jul-2025"
