"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2024-2025/26819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","15-Jul-2024","GRAM PANCHAYAT TARPURA","Payment Success","1500000"
"2","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2024-2025/26819","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","12-Dec-2024","GRAM PANCHAYAT TARPURA","Payment Success","452983"
"3","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2024-2025/26820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","20-Sep-2024","GRAM PANCHAYAT DADIYA","Payment Success","1500000"
"4","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2024-2025/26820","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","17-Sep-2025","GRAM PANCHAYAT DADIYA","Payment Success","496014"
"5","Rajasthan","Installing tube-wells and borewells","WS/MP145/2024-2025/30684","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","22-Oct-2024","MINESH BORWELL ELECTRIC  CONSTRUCTION","Payment Success","449301"
"6","Rajasthan","Installing tube-wells and borewells","WS/MP145/2024-2025/30684","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","22-Oct-2024","AEN JVVNL RAJGARH","Payment Success","105080"
"7","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2024-2025/30779","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","31-Jul-2024","LAKHAN SINGH","Payment Success","445323"
"8","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2024-2025/30779","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","31-Jul-2024","LAKHAN SINGH","Payment Success","53322"
"9","Rajasthan","Installing tube-wells and borewells","WS/MP145/2024-2025/30806","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","21-Mar-2025","M K Enterprises","Payment Success","482054"
"10","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2024-2025/75209","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","15-Jul-2025","ms Babulal And Krishan Kumar Davenda","Payment Success","775138"
"11","Rajasthan","Construction of toilet blocks","WS/MP145/2024-2025/84526","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","02-Aug-2024","Bhartiya Siksha parsar samiti sikar","Payment Success","1125000"
"12","Rajasthan","Construction of toilet blocks","WS/MP145/2024-2025/84526","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","04-Mar-2026","Bhartiya Siksha parsar samiti sikar","Payment Success","373732"
"13","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP145/2023-2024/94244","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","26-Apr-2025","Nav Durga Construction Company","Payment Success","303134"
"14","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP145/2023-2024/94244","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","13-Aug-2025","Nav Durga Construction Company","Payment Success","113761"
"15","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP145/2023-2024/94245","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","26-Apr-2025","Nav Durga Construction Company","Payment Success","543400"
"16","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP145/2023-2024/94245","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","13-Aug-2025","Nav Durga Construction Company","Payment Success","106677"
"17","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP145/2024-2025/111830","Jaipur Gramin(DISTRICT COLLECTOR Jaipur Gramin_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","14-Feb-2025","BALAJI CONSTRUCTION COMPANY","Payment Success","988597"
"18","Rajasthan","Installing tube-wells and borewells","WS/MP145/2024-2025/118170","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","16-Sep-2025","Rajkumar Bhargva","Payment Success","529247"
"19","Rajasthan","Installing tube-wells and borewells","WS/MP145/2024-2025/118323","Kotputli-Behror(DISTRICT COLLECTOR Kotputli Behror_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","31-Jul-2025","AENOANDMJVVNLVIRATNAGAR","Payment Success","200000"
