"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP145/2024-2025/26819-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","CC Block Kharanja Road Development work from Jawara Ram Bhakhar's Farm to Bhawar Singh Shekhawat's House in Village Tarpura, Panchayat Samiti Piprali (Sikar)","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","12-Dec-2024","1952983"
"2","Normal/Others","WS/MP145/2024-2025/30779-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","CEMENT INTERLOCKING BRICK KHARANJA WORK IN BRAHMAN BASTI, GRAM NAGLA PARSRAM, GP FULWARA, PS SEWAR","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","31-Jul-2024","498645"
"3","Trust and Society","WS/MP145/2024-2025/84526-Construction of toilet blocks","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","6 TOILETS ON FIRST FLOOR AND 6 TOILETS ON GROUND FLOOR DEVELOPMENT WORK FOR STUDENTS IN ADARSH VIDYA MANDIR SCHOOL, SANWALI MARG SIKAR","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","24-Mar-2026","1498732"
"4","Normal/Others","WS/MP145/2024-2025/26820-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","CC Block Development work from Jhabarmal' House to Tormal Sharma's House in Village Dadiya, Panchayat Samiti Piprali (Sikar)","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","13-Feb-2026","1996014"
"5","Normal/Others","WS/MP145/2024-2025/30684-Installing tube-wells and borewells","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SINGAL PHASE BORING WITH ELECTRICITY CONNECTION WORK NEAR OMPRAKASH'S HOME, VILLAGE JIRAWALI, GP ALEI, PS-RAJGARH","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","07-Dec-2024","554381"
"6","Normal/Others","WS/MP145/2024-2025/75209-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","DAMRIKARAN, CC ROAD AND TILE WORK NEAR HOUSE OF KABOOL SINGH IN GANESH COLONY, ZONE-4, SANGANER, JAIPUR","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","10-Jan-2025","775138"
"7","Normal/Others","WS/MP145/2024-2025/111830-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Jaipur Gramin(DISTRICT COLLECTOR Jaipur Gramin_IDA)","CC ROAD DEVELOPMENT WORK FROM RAMU TOTHWAL KI DHANI TO BHANWARIYON KI DHANI, GRAM PANCHAYAT SINGOD KHURD, PANCHAYAT SAMITI GOVINDGARH","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","10-Jan-2025","988597"
"8","Trust and Society","WS/MP145/2023-2024/94245-Construction of rooms and halls in school and colleges","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","CONSTRUCTION OF BUILDING/LIBRARY IN DR. AMBEDKAR HOSTEL, RADHAKISHANPURA (SIKAR) RUN BY ZILA SIKAR SC AND ST KALYAN SMITI SIKAR","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","13-Aug-2025","650077"
"9","Trust and Society","WS/MP145/2023-2024/94244-Construction of rooms and halls in school and colleges","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","CONSTRUCTION OF BUILDING/LIBRARY IN DR. AMBEDKAR HOSTEL, RADHAKISHANPURA (SIKAR) RUN BY ZILA SIKAR SC AND ST KALYAN SMITI SIKAR","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","13-Aug-2025","416895"
"10","Normal/Others","WS/MP145/2024-2025/149165-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","CC BLOCK ROAD DEVELOPMENT WORK FROM RATAN MALI'S HOUSE TO GOVT PRIMARY SCHOOL MAHANTO KI KOTHI, REWASA","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","25-Jul-2025","1499362"
"11","Normal/Others","WS/MP145/2024-2025/149166-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","CONSTRUCTION OF CC BLOCK ROAD WORK FROM GOVT PRIMARY SCHOOL TO MAHANTO KI KOTHI, REWASA","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","25-Jul-2025","999373"
"12","Normal/Others","WS/MP145/2024-2025/133284-Installing tube-wells and borewells","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Tubewell Installation & Electricity Connection in Gram Rad Ki Dhani, Gram Panchayat Karanpura, Panchayat Samiti Dantaramgarh","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","18-Mar-2026","796129"
"13","Normal/Others","WS/MP145/2024-2025/162424-Construction of rooms and halls in school and colleges","Rajasthan","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","CC BLOCK DEVELOPMENT WORK OF PRAYER PLACE IN GOVT HIGH SCHOOL DAYALPURA","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","16-Feb-2026","1000000"
"14","Normal/Others","WS/MP145/2024-2025/166608-Construction of rooms and halls in school and colleges","Rajasthan","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","2 Classrooms Development Work in Govt Higher Secondary School, Ashavala, Panchayat Samiti Sanganer","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","22-Jan-2026","943139"
"15","Normal/Others","WS/MP145/2024-2025/149173-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Road Development work from Raghunathpura Road to Khood Mandota, Gram Panchyat Mandota, Panchayat Samiti Dhod","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","19-Nov-2025","997949"
"16","Trust and Society","WS/MP145/2024-2025/140053-Construction of veterinary hospitals and dispensaries","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","PURCHASING OF AMBULANCE VEHICLE FOR SICK ANIMALS","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","28-May-2025","994000"
"17","Normal/Others","WS/MP145/2024-2025/134579-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","SAGARMAL GURJAR KE GHAR SE PRAMESHWAR GURJAR KE GHAR KI TARF CC BLOCK KHARANJA NIRMAN KARY MAY SURAKSHA DIWAR KARY","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","N/A","18-Mar-2026","1423422"
"18","Normal/Others","WS/MP145/2024-2025/149167-Construction of common work sheds/ common covered sitting area","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","TIN SHED DEVELOPMENT WORK IN GOVT SR SECONDARY SCHOOL, SUJAWAS","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","22-Dec-2025","1739332"
"19","Normal/Others","WS/MP145/2024-2025/149164-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","CONSTRUCTION OF CC BLOCK ROAD FROM GINDAD CHOWK TO SHASTRI SCHOOL, GRAM PANCHAYAT DAULATPURA, PS PIPRALI","Shri Ghanshyam Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","30-Mar-2026","993664"
