"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Construction of community centers and community halls","Rajasthan","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","Nagar Arya Samaj Ke Haribhau Upadhyay Nagar (Vistar) sthit Parisar me Sarv Samaj Hetu Hall Nirman Karya","21-May-2026","1000000","NA"
"2","Normal/Others","NA-Setting up public non-conventional energy plants","Rajasthan","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the installation of a solar plant at Shri Jat Mandir Samiti (Shri Jat Vishram Sthali), Pushkar.","14-Jul-2026","2000000","NA"
"3","Normal/Others","WS/MP146/2023-2024/14909-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Interlocking Road construction from Damar Sadak to Government Primary School's tala, G.P. Meethra Khurd, Dhorimanna, Dist. Barmer","01-Sep-2023","1500000","06-Dec-2023"
"4","Normal/Others","WS/MP147/2024-2025/83255-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Intaraloking Sadak Nirmaan Kaarya Daamar Sadak se Vabhootonee Bhilon kee dhaanee tak, laakholaee naadi","17-Jan-2024","1000000","02-Sep-2024"
"5","Normal/Others","WS/MP147/2025-2026/222398-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Gravel road construction work from Anganwadi Centre to Ratan Singh Dhani in village Nohdiala of Gram Panchayat-Khabdala.","26-Jul-2025","1500000","01-Jan-2026"
"6","Normal/Others","NA-Construction of community centers and community halls","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the construction of a public reading room, including a boundary wall, at Padam Singh Ka Vas in Jansinh Ki Beri (under Gram Panchayat Tanu Manji).","04-Jul-2026","1500000","NA"
"7","Normal/Others","NA-Construction of community centers and community halls","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","Construction work of the public community building is the residence of Bhom Singh/Sujan Singh, village Nosar","02-Aug-2026","800000","NA"
"8","Normal/Others","WS/MP147/2025-2026/170383-Construction of community centers and community halls","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Public reading room construction work, for Pirsingh ki Dhani","30-Jan-2025","1500000","27-May-2025"
"9","Normal/Others","WS/MP18295/2025-2026/174446-Construction of community centers and community halls","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Community Hall at Makhaniyo ka Vaas, Gram Panchayat Chetrodi, Panchayat Samiti Gadra Road, District Barmer","08-Feb-2025","1000000","13-Aug-2025"
"10","Normal/Others","WS/MP147/2025-2026/191059-Construction of community centers and community halls","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Construction of rest house near public crematorium in village Judia of Panchayat Samiti Gadrarod, District Barmer, Khasra No. 134 (in Scheduled Caste category)","13-Apr-2025","1000000","10-Jul-2025"
"11","Normal/Others","WS/MP18295/2025-2026/202478-Construction of community centers and community halls","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Handicraft Centre at Dashratkumar Kabira Ram ke vas at Gram Panchayat Sejuho ki Daani, Panchayat Samiti Gramin Barmer, District Barmer","22-May-2025","500000","29-Jul-2025"
"12","Normal/Others","WS/MP18295/2025-2026/218286-Construction of community centers and community halls","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of a Community Centre at Heeraram Saghram ke Vaas, Meghwal Pada (SC), Village Kudani, Gram Panchayat Gudani Harsani, Panchayat Samiti Gadra Road Shiv, District Barmer","15-Jul-2025","500000","08-Dec-2025"
"13","Normal/Others","WS/MP146/2025-2026/236937-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Public Reading Room cum Library in Chetan Ram Meghwal basti in Village Hemawas, Gram Panchayat Fagaliya, P.S. Sedwa, Dist. Barmer","23-Sep-2025","500000","25-Feb-2026"
"14","Normal/Others","WS/MP146/2025-2026/236938-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Public Reading Room cum Library in Jetaram Meghwal basti in Village Fagliya, Gram Panchayat Fagaliya, P.S. Sedwa, Dist. Barmer","23-Sep-2025","800000","25-Feb-2026"
"15","Normal/Others","WS/MP18295/2025-2026/218287-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of a Public Library Room and Boundary Wall at near the residence of Geeta Devi Ramesh Kumar Meghwal, Village Harsani, Panchayat Samiti Gadra Road Shiv, District Barmer","15-Jul-2025","1000000","04-Feb-2026"
"16","Normal/Others","WS/MP18295/2025-2026/218284-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of a Public Library Room with tin shed at Hadwant Singh Hukum Singh ki Daani, Village Sanau, Gram Panchayat Sanau, Panchayat Samiti Chohtan, District Barmer","15-Jul-2025","1000000","06-Nov-2025"
"17","Normal/Others","WS/MP18295/2025-2026/218285-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of a Public Library Room and Toilet at Prabhusingh Hingol Singh ka Vas, Village Sanau, Gram Panchayat Sanau, Panchayat Samiti Chohtan, District Barmer","15-Jul-2025","1000000","06-Nov-2025"
"18","Normal/Others","WS/MP147/2025-2026/206771-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the construction of a public reading room in the residence of Nimb Singh Hukum Singh (Viradh Singh ki Dhani) in village Nagada.","05-Jun-2025","1000000","11-Nov-2025"
"19","Normal/Others","WS/MP147/2025-2026/206772-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For the construction of a public reading room in the residence of Padmaram Gordhan Ram Meghwals (Scheduled Caste dominated area) in village Judia.","05-Jun-2025","500000","01-Oct-2025"
"20","Normal/Others","WS/MP146/2025-2026/216725-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Library (Vachnalay) near the house of Hazi Abdulla in Gram Panchayat Gardiya, P.S. Ramsar, Dist. Barmer","11-Jul-2025","1500000","13-Oct-2025"
"21","Normal/Others","WS/MP147/2025-2026/181200-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Construction of public reading room and library.","12-Mar-2025","1500000","01-Oct-2025"
"22","Normal/Others","WS/MP18295/2025-2026/174517-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Public Library at Near Ratan Singh-Prayagsingh Ka Vaas, Gram Panchayat Nohdiyala, Panchayat Samiti Gadra Road, District Barmer","08-Feb-2025","1000000","29-Jul-2025"
"23","Normal/Others","WS/MP18295/2025-2026/174518-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Public Library with boundary wall at Near Jhandsingh Dohat Ka Vaas, Village - Gordiya, Gram Panchayat Kharchi, Panchayat Samiti Gadra Road, District Barmer","08-Feb-2025","1000000","03-Jul-2025"
"24","Normal/Others","WS/MP18295/2025-2026/174447-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Public Library at Kamalsingh ka Vaas, Gram Panchayat Chetrodi, Panchayat Samiti Gadra Road, District Barmer","08-Feb-2025","500000","29-Jul-2025"
"25","Normal/Others","WS/MP18295/2025-2026/174448-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Public Library at Bhiksingh ka Vaas, Gram Panchayat Chetrodi, Panchayat Samiti Gadra Road, District Barmer","08-Feb-2025","500000","29-Jul-2025"
"26","Normal/Others","WS/MP18295/2025-2026/174449-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Public Library at Near resident of Hassan- Karim ka Paar, Gram Panchayat Khaniyani, Panchayat Samiti Gadra Road, District Barmer","08-Feb-2025","1000000","26-Jun-2025"
"27","Normal/Others","WS/MP18295/2025-2026/174450-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Public Library at Near Tejaram-Javaram ki Daani, Gram Panchayat Bhadesar, Panchayat Samiti Gadra Road, District Barmer","08-Feb-2025","1000000","26-Jun-2025"
"28","Normal/Others","WS/MP18295/2024-2025/174451-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Public Library at Near Chatur Singh ka Vaas, Shehdad ke Paar, Gram Panchayat Draba, Panchayat Samiti Gadra Road, District Barmer","08-Feb-2025","1000000","28-Mar-2025"
"29","Normal/Others","WS/MP146/2023-2024/10965-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Sarvajanik Vachnalaya construction work Harjiram Sevar ki dhani hussain ka tala, Gram Panchayat Sarla, P.S. Sedwa, Dist. Barmer","18-Aug-2023","1000000","07-Oct-2023"
"30","Normal/Others","WS/MP146/2023-2024/14908-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Public Reading Room/Library at near Hirani Daukiyon ki dhani, Der, G.P. Bhimthal, P.S. Dhorimanna, Dist. Barmer","01-Sep-2023","1500000","28-Dec-2023"
"31","Normal/Others","WS/MP147/2024-2025/75985-Construction of public libraries and reading rooms","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Construction work of public reading room in village Tanu Majhi, Bas of Gamer Singh.","06-Jan-2024","1000000","20-Jan-2025"
"32","Repair and Renovation","WS/MP18298/2025-2026/227903-Construction of common work sheds/ common covered sitting area","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","Tin shed construction work near the previously constructed public reading room, Ramnarayan ki Dhani Village Bhanwar","20-Aug-2025","1000000","11-Nov-2025"
"33","Normal/Others","WS/MP147/2025-2026/193643-Construction of additional rooms and halls in the existing public and community building","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Construction work of public reading room in Gram Panchayat Hathisingh village, residence of Ugamsingh Jai Singh.","22-Apr-2025","1500000","13-Aug-2025"
"34","Normal/Others","WS/MP147/2023-2024/72918-Construction of boundary walls of existing public and community buildings","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Saarvajanik Vaachanaalay kee Chaar divaaree va Vistaar Kaarya may Shauchaalay Nirmaan Kaary Raajasv Gaon Kamaal Khaan Kee Bastee","01-Jan-2024","1000000","11-Jan-2024"
"35","Normal/Others","WS/MP146/2023-2024/10083-Construction of boundary walls of existing public and community buildings","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Government Primary School, Bhilon & Bhaton ki dhani Manpura Kharda ki char diwari / toilet construction work","16-Aug-2023","1499472","26-Sep-2023"
"36","Normal/Others","WS/MP18295/2025-2026/202475-Construction of boundary walls of existing public and community buildings","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Boundary Wall at Handicraft Centre, Buraram Punjaram ke vas at Gram Panchayat Harsani, Panchayat Samiti Gadra Road, District Barmer","22-May-2025","1000000","21-Aug-2025"
"37","Normal/Others","WS/MP18295/2025-2026/202476-Construction of boundary walls of existing public and community buildings","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Boundary Wall at Handicraft Centre, Dwarkaram Naktaram ke vas, meghwal pada, Gram Pushad at Gram Panchayat Biskula, Panchayat Samiti Shiv, District Barmer","22-May-2025","1000000","11-Aug-2025"
