"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Repair and Renovation","WS/MP032/2023-2024/68125-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Andhra Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Repairs and renovation of Cardiology block in KGH.","Shri S Niranjan Reddy (2022-28) (NaN-NaN)","Elected MP","N/A","30-Aug-2024","2190919"
"2","Normal/Others","WS/MP032/2023-2024/68119-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Andhra Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Providing MS connecting corridor between Gynaec ward and Family Planning OT.","Shri S Niranjan Reddy (2022-28) (NaN-NaN)","Elected MP","Images","26-Apr-2024","1473991"
"3","Normal/Others","WS/MP032/2023-2024/68103-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Palnadu(District Collector Palnadu_IDA)","(i) Providing of CC Road.  (ii) The work providing of CC Roads.","Shri S Niranjan Reddy (2022-28) (NaN-NaN)","Elected MP","Images","12-Aug-2024","1992293"
"4","Normal/Others","WS/MP840/2024-2025/109232-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Makloor Thanda/ Indalwai; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"5","Normal/Others","WS/MP840/2024-2025/109234-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Sirnapally Station Thanda/ Indalwai; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"6","Normal/Others","WS/MP840/2024-2025/109236-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Gannaram Attu Thanda/ Indalwai; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"7","Normal/Others","WS/MP840/2024-2025/109260-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Pati Thanda/ Indalwai; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"8","Normal/Others","WS/MP840/2024-2025/109263-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Megyanayak Thanda/ Indalwai; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"9","Normal/Others","WS/MP840/2024-2025/109271-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Chandmiyabhag Thanda/ Jakranpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"10","Normal/Others","WS/MP840/2024-2025/109272-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Munipally Nadmi Thanda/ Jakranpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"11","Normal/Others","WS/MP840/2024-2025/109274-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : DB Thanda/ Dharpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"12","Normal/Others","WS/MP840/2024-2025/109275-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Salpa Thanda/ Dharpally; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"13","Normal/Others","WS/MP840/2024-2025/109276-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Musheer Nagar Thanda/ Sirkonda; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"14","Normal/Others","WS/MP840/2024-2025/109277-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Pakala/ Sirkonda; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"15","Normal/Others","WS/MP840/2024-2025/109279-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Sarpally Thanda/ Sirkonda; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"16","Normal/Others","WS/MP840/2024-2025/109140-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Shiva Thanda/ Navipet; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"17","Normal/Others","WS/MP840/2024-2025/109135-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Maddepally Thanda 1/ Navipet; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"18","Normal/Others","WS/MP840/2024-2025/109124-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Abbapur Thanda/ Navipet; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"19","Normal/Others","WS/MP840/2024-2025/109138-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Dharyapur Thanda/ Navipet; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"20","Normal/Others","WS/MP840/2024-2025/109095-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Mattaiah Faram Thanda/ Navipet; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"21","Normal/Others","WS/MP840/2024-2025/109280-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Manik Bhandar Thanda/ Makloor; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"22","Normal/Others","WS/MP840/2024-2025/109281-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Durga Nagar Kindi Thanda/ Makloor; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"23","Normal/Others","WS/MP840/2024-2025/109288-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Nadmi Thanda/ Makloor; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
"24","Normal/Others","WS/MP840/2024-2025/109289-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Ramchandrapally Thanda/ Aloor; District : Nizamabad;","Shri V. Vijayendra Prasad (2022-28) (NaN-NaN)","Elected MP","N/A","19-Jul-2024","150000"
