"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP032/2023-2024/68103","Palnadu(District Collector Palnadu_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","13-Aug-2024","TIPULURI CONSTRUCTIONS","Payment Success","1992293"
"2","Andhra Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP032/2023-2024/68119","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","26-Apr-2024","Kunisetty Kashi Viswanatha Reddy","Payment Success","1473991"
"3","Andhra Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP032/2023-2024/68125","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","26-Jun-2024","BUDIDA SIVAPRASAD","Payment Success","1572354"
"4","Andhra Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP032/2023-2024/68125","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","30-Aug-2024","BUDIDA SIVAPRASAD","Payment Success","618565"
"5","Andhra Pradesh","Purchase of hospital equipment","WS/MP032/2023-2024/68127","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","22-Apr-2026","Andhra Pradesh Medtech zone Ltd","Payment Success","1120000"
"6","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP032/2025-2026/190649","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","17-Feb-2026","IMMALRAJU VENKATASATYA NARAYANARAJU","Payment Success","2207516"
"7","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP032/2025-2026/190649","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","24-Jul-2026","IMMALRAJU VENKATASATYA NARAYANARAJU","Payment Success","3704089"
"8","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP032/2025-2026/190650","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","06-Sep-2025","UMA MAHESWARA RAO B","Payment Success","690189"
"9","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP032/2025-2026/190650","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","24-Dec-2025","UMA MAHESWARA RAO B","Payment Success","394076"
"10","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP032/2025-2026/190650","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","16-May-2026","UMA MAHESWARA RAO B","Payment Success","401245"
"11","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP032/2025-2026/190683","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","29-Aug-2025","UMA MAHESWARA RAO B","Payment Success","699272"
"12","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP032/2025-2026/190683","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","24-Dec-2025","UMA MAHESWARA RAO B","Payment Success","339260"
"13","Andhra Pradesh","Construction of rooms and halls in school and colleges","WS/MP032/2025-2026/190683","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","16-May-2026","UMA MAHESWARA RAO B","Payment Success","356073"
