"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP18373/2025-2026/158775-Installing tube-wells and borewells","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","Providing Bore Well at Addipalli Pentayya Pakalu in Kondapalem Agraharam Village of Butchayyapeta Mandal, Anakapalli District","15-Dec-2024","97372","01-Apr-2025"
"2","Normal/Others","WS/MP18373/2025-2026/158776-Installing tube-wells and borewells","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","providing bore well at Devara Ramana Pakalu","15-Dec-2024","92865","01-Apr-2025"
"3","Normal/Others","WS/MP18373/2025-2026/158777-Installing tube-wells and borewells","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","providing bore well at Gopisetti Srinua Pakalu","15-Dec-2024","96938","01-Apr-2025"
"4","Normal/Others","WS/MP18373/2025-2026/158778-Installing tube-wells and borewells","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","providing bore well at Sunkara Appalakonda Pakalu","15-Dec-2024","83771","01-Apr-2025"
"5","Normal/Others","WS/MP18373/2025-2026/158779-Installing tube-wells and borewells","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","providing bore well at pinapolu suribabu Pakalu","15-Dec-2024","96120","01-Apr-2025"
"6","Normal/Others","WS/MP18373/2025-2026/158780-Installing tube-wells and borewells","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","providing bore well at Kasanasetti Vari Pakalu","15-Dec-2024","94548","01-Apr-2025"
"7","Normal/Others","WS/MP18373/2025-2026/158781-Installing tube-wells and borewells","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","providing bore well at Gadi Srinu Pakalu","15-Dec-2024","97145","01-Apr-2025"
"8","Normal/Others","WS/MP18373/2025-2026/158782-Installing tube-wells and borewells","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","providing bore well at smasana vatika","15-Dec-2024","84337","01-Apr-2025"
"9","Normal/Others","WS/MP18373/2025-2026/158783-Installing tube-wells and borewells","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","providing bore well at Kovela Eswara Rao Pakalu","15-Dec-2024","97669","01-Apr-2025"
"10","Normal/Others","WS/MP18373/2025-2026/158784-Installing tube-wells and borewells","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","providing bore well at Bantu Varu Kallalu","15-Dec-2024","99039","01-Apr-2025"
"11","Normal/Others","WS/MP18373/2026-2027/283038-Providing drains and gutters for public drainage","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","Construction of CC Drain from Sri Appikonda Apparao House to Sri Appikonda Govinda in SC Colony of Kothakota Village, Vommavaram GP, Ravikamatham Mandal, Anakapalli District.","22-May-2026","500000","19-Jun-2026"
"12","Normal/Others","WS/MP18373/2026-2027/283039-Providing drains and gutters for public drainage","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","Construction of CC drain from Masada Nookaraju House to Neetipalli Rajeswar Rao House, BC Colony at Kothakota, Village, Vommavaram GP, Ravikamatham Mandal, Anakapalli district.","22-May-2026","500000","19-Jun-2026"
"13","Normal/Others","WS/MP18373/2026-2027/283040-Providing drains and gutters for public drainage","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","Construction of CC Drain from Sri Yelusuri Nookalathalli House to Sri Gummudu Appa Rao house in SC Colony, Kothakota Village, Vommavaram GP, Ravikamatham Mandal, Anakapalli district.","22-May-2026","500000","19-Jun-2026"
"14","Normal/Others","WS/MP18334/2025-2026/213181-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing CC Road from Adi Narayana Murthy House to Kumara Chinnamulu House in P. Kondempudi Village, Butchayyapeta Mandal","28-Jun-2025","483621","30-Jul-2025"
"15","Normal/Others","WS/MP18373/2025-2026/261348-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Anakapalli(DISTRICT COLLECTOR ANAKAPALLI_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","Construction of CC Road from GPY Road to near Pydithalli Ammavari temple, Mamidivada Village, Rambili Mandal","24-Jan-2026","500000","02-Feb-2026"
