"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP18334/2024-2025/155246-Construction of community centers and community halls","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","Providing amenities to Community Hall near Sri Shirdi Saibaba Temple at Valmikipuram","26-Nov-2024","03-Mar-2025","2444194","Physical Inspection"
"2","Normal/Others","WS/MP18319/2024-2025/158793-Construction of community centers and community halls","Andhra Pradesh","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Providing stair case Railings and other fittings for public utility building at Neelakantapuram village","15-Dec-2024","17-Jan-2025","500000","Sanction"
"3","Normal/Others","WS/MP18319/2024-2025/158794-Construction of community centers and community halls","Andhra Pradesh","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Providing head room and additional facility for public utility building at Neelakantapuram village","15-Dec-2024","17-Jan-2025","500000","Vendor Identification"
"4","Normal/Others","WS/MP18319/2024-2025/158795-Construction of community centers and community halls","Andhra Pradesh","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Providing additional amenities to second floor for public utility building at Neelakantapuram village","15-Dec-2024","17-Jan-2025","500000","Sanction"
"5","Normal/Others","WS/MP18319/2024-2025/158796-Construction of community centers and community halls","Andhra Pradesh","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Providing additional amenities to First floor for public utility building at Neelakantapuram village","15-Dec-2024","17-Jan-2025","500000","Time Estimation"
"6","Normal/Others","WS/MP18319/2024-2025/158797-Construction of community centers and community halls","Andhra Pradesh","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Providing additional amenities to Ground floor for public utility building at Neelakantapuram village","15-Dec-2024","17-Jan-2025","500000","Sanction"
"7","Normal/Others","WS/MP18373/2025-2026/165128-Construction of community centers and community halls","Andhra Pradesh","PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","Construction of Community Hall in Chakirala Village of Kanigiri Mandal, Prakasam District","13-Jan-2025","13-Jun-2025","2000000","Work partially Completed"
"8","Repair and Renovation","WS/MP18319/2025-2026/172978-Construction of community centers and community halls","Andhra Pradesh","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri Golla Baburao (2024-30) (2024-2030)","Elected MP","Providing wood work, plastering, paintings and other amenities at first floor of the community hall.","05-Feb-2025","09-Sep-2025","1500000","Work partially Completed"
"9","Normal/Others","WS/MP18428/2025-2026/189442-Construction of community centers and community halls","Andhra Pradesh","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","Construction of Community Hall at Nakkala Colony of Chemudugunta GP in Venkatachalam Mandal","04-Apr-2025","22-Apr-2025","2762691","Physical Inspection"
"10","Normal/Others","WS/MP18427/2025-2026/196451-Construction of community centers and community halls","Andhra Pradesh","GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA)","Shri Ryaga Krishnaiah (2024-28) (2024-2028)","Elected MP","Construction of BC Community Hall in Garikapadu Village, Kakumanu Mandal, Guntur Dist.","29-May-2025","28-Oct-2025","3000000","Sanction"
