"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Assam","Construction of community centers and community halls","WS/MP071/2024-2025/149064","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","30-Jan-2025","CC for Bhagaduttapur Kala Kristi Bikash Kendra","Payment Success","794000"
"2","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP071/2024-2025/149065","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","30-Jan-2025","CC for sangbadik colony","Payment Success","780000"
"3","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP071/2024-2025/149066","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","30-Jan-2025","CC for Kali Mandir Road at Maligaon","Payment Success","790000"
"4","Assam","Construction of rooms and halls in school and colleges","WS/MP071/2025-2026/157663","MAJULI(District Commissioner, Majuli)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","11-Mar-2026","NITUL BORUAH","Payment Success","2000000"
"5","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157664","CHARAIDEO(Deputy Commissioner Charaideo_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","11-Dec-2025","KALYAN PHUKAN","Payment Success","476636"
"6","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157664","CHARAIDEO(Deputy Commissioner Charaideo_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","26-Feb-2026","KALYAN PHUKAN","Payment Success","494245"
"7","Assam","Construction of buildings for multi-gym","WS/MP071/2024-2025/157665","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","25-Mar-2025","CC for Abhiruchi Institute","Payment Success","900000"
"8","Assam","Construction of buildings for multi-gym","WS/MP071/2024-2025/157665","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","14-Jul-2025","CC for Abhiruchi Institute","Payment Success","600000"
"9","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157666","TINSUKIA(DC Tinsukia)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","24-Jun-2026","MS S B Enterprises","Payment Success","1835762"
"10","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157667","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","04-Oct-2025","RAMDHENU ENTERPRISE","Payment Success","484072"
"11","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157667","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","04-Oct-2025","RAMDHENU ENTERPRISE","Payment Success","91078"
"12","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157667","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","20-Dec-2025","RAMDHENU ENTERPRISE","Payment Success","789960"
"13","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157667","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","20-Dec-2025","RAMDHENU ENTERPRISE","Payment Success","91078"
"14","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157667","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","20-Dec-2025","RAMDHENU ENTERPRISE","Payment Success","84060"
"15","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157667","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","12-Feb-2026","RAMDHENU ENTERPRISE","Payment Success","319418"
"16","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157667","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","12-Feb-2026","RAMDHENU ENTERPRISE","Payment Success","15302"
"17","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157667","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","29-May-2026","RAMDHENU ENTERPRISE","Payment Success","278135"
"18","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157667","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","29-May-2026","RAMDHENU ENTERPRISE","Payment Success","56048"
"19","Assam","Construction of additional rooms and halls in the existing public and community building","WS/MP071/2025-2026/157668","TINSUKIA(DC Tinsukia)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","07-Aug-2025","BIRAJ DIHINGIA","Payment Success","498087"
"20","Assam","Construction of community centers and community halls","WS/MP071/2024-2025/157669","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","01-Apr-2025","Bishnu Prasad Borah","Payment Success","100000"
"21","Assam","Construction of community centers and community halls","WS/MP071/2024-2025/157669","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","23-Apr-2025","Bishnu Prasad Borah","Payment Success","220400"
"22","Assam","Construction of community centers and community halls","WS/MP071/2024-2025/157669","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","18-Jul-2026","Bishnu Prasad Borah","Payment Success","318100"
"23","Assam","Construction of community centers and community halls","WS/MP071/2024-2025/157669","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","18-Jul-2026","Bishnu Prasad Borah","Payment Success","470260"
"24","Assam","Construction of community centers and community halls","WS/MP071/2024-2025/157669","NAGAON(DEPUTY COMMISSIONER NOWGONG_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","18-Jul-2026","Bishnu Prasad Borah","Payment Success","141240"
"25","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157687","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","11-Aug-2025","Friendship Enterprise","Payment Success","3000000"
"26","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157687","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","03-Feb-2026","Friendship Enterprise","Payment Success","1900000"
