"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP071/2024-2025/162675-Construction of community centers and community halls","Assam","Biswanath(Deputy Commissioner Biswanath_IDA)","Construction of Rangamancha at Bengabari Gaon, Baralimara, Behali","Shri Pabitra Margherita (2022-28) (NaN-NaN)","Elected MP","N/A","30-Mar-2026","1499999.44"
"2","Normal/Others","WS/MP071/2025-2026/157668-Construction of additional rooms and halls in the existing public and community building","Assam","TINSUKIA(DC Tinsukia)","Construction of Journalist Association Building, Bajatoli, Tinsukia (Phase II)","Shri Pabitra Margherita (2022-28) (NaN-NaN)","Elected MP","Images","08-Jan-2026","498087"
"3","Normal/Others","WS/MP071/2025-2026/223323-Construction of community centers and community halls","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Construction of Charigaon Surjoday Sangha Prekhyagriha, Charigaon","Shri Pabitra Margherita (2022-28) (NaN-NaN)","Elected MP","Images","07-Feb-2026","700000"
"4","Normal/Others","WS/MP071/2025-2026/223319-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","Construction of Meleng Gayan Gaon Bhakat Chuk Path, Meteli","Shri Pabitra Margherita (2022-28) (NaN-NaN)","Elected MP","Images","20-Feb-2026","1150000"
"5","Normal/Others","WS/MP071/2025-2026/157663-Construction of rooms and halls in school and colleges","Assam","MAJULI(District Commissioner, Majuli)","Construction of Smart Classroom at Majuli Auniati Hemchandra Higher Secondary School, Kamalabari, Majuli","Shri Pabitra Margherita (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2026","2000000"
"6","Normal/Others","WS/MP831/2024-2025/132655-Construction of boundary walls of existing public and community buildings","Assam","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","Construction of Boundary wall at Sarania Kochary Kristi Sangha with Iron gate at Dhamdhama under No.19 Sataibari Panchayat, Ghograpar Dev.Block,","Shri Rwngwra Narzary (2022-28) (NaN-NaN)","Elected MP","Images","27-Dec-2024","1000000"
"7","Normal/Others","WS/MP831/2024-2025/132568-Construction of rooms and halls in school and colleges","Assam","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Construction of Auditorium Hall at Mingmang Nalbari HS school under Nalbari Panchayat,Dhemaji.","Shri Rwngwra Narzary (2022-28) (NaN-NaN)","Elected MP","Images","04-Apr-2025","2000000"
"8","Normal/Others","WS/MP831/2024-2025/140242-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","DARRANG(DEPUTY COMMISSIONER DARRANG_IDA)","Construction of road from Turai L.P. school to Rajghat via Sipajhar under Turai G.P, Darrang.","Shri Rwngwra Narzary (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2025","1200000"
"9","Normal/Others","WS/MP831/2024-2025/132578-Construction of culverts and bridges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","construction of RCC Box Culvert near Mustafa Talukder house at Thuripara village under Devitola VCDC, Parbatjhora.","Shri Rwngwra Narzary (2022-28) (NaN-NaN)","Elected MP","Images","23-Apr-2025","498272"
"10","Normal/Others","WS/MP831/2024-2025/132612-Construction of boundary walls of existing public and community buildings","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Construction of Boundary Wall at Sialmari H.E.School under Silamari VCDC,Dotma Dev.Block","Shri Rwngwra Narzary (2022-28) (NaN-NaN)","Elected MP","Images","21-Mar-2025","1499261"
"11","Normal/Others","WS/MP831/2024-2025/132674-Construction of rooms and halls in school and colleges","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Construction of additional Class room and Toilet at Duligaon High school under Palashguri VCDC, Debitola Dev.Block, Parbatjhora.","Shri Rwngwra Narzary (2022-28) (NaN-NaN)","Elected MP","N/A","17-Jun-2025","1497997"
"12","Repair and Renovation","WS/MP831/2024-2025/132577-Construction of buildings for sports facilities","Assam","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Repairing of Raimona Friends Club at Raimona Village under Raimona VCDC, Gossaigaon.","Shri Rwngwra Narzary (2022-28) (NaN-NaN)","Elected MP","Images","17-Jun-2025","1498636"
