"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Repair and Renovation","WS/MP831/2025-2026/132569-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Repairing of Gaonbura Bhawan at Dangagaon Village, Chirang","17-Jun-2024","07-Jul-2025","700000","Vendor Identification"
"2","Normal/Others","WS/MP831/2025-2026/132573-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Community hall At Bijni Dist Bodo Sahitya Sabha Office, Bhetgaon, Bijni.","17-Jun-2024","20-May-2025","1500000","Vendor Identification"
"3","Normal/Others","WS/MP831/2025-2026/132605-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Gendergaon Mahila Afad Community hall under Bangaldaba VCDC, Chirang.","18-Jun-2024","28-May-2025","1000000","Vendor Identification"
"4","Normal/Others","WS/MP831/2025-2026/132658-Construction of community centers and community halls","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Constructionn of Anjalu Sanga Community Hall at Laokhata village under Jolagaon VCDC, Jala Dev. Block,Baksa.","20-Jun-2024","31-Jul-2025","1000000","Physical Inspection"
"5","Normal/Others","WS/MP831/2025-2026/132690-Construction of community centers and community halls","Assam","BAKSA(DEPUTY COMMISSIONER BAKSA_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Bhogpara Brahmapur Mongolian Afad community hall under Bhogpara VCDC.","21-Jun-2024","18-Nov-2025","1000000","Physical Inspection"
"6","Normal/Others","WS/MP831/2025-2026/147103-Construction of community centers and community halls","Assam","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of New Nilibary Community Hall at New Nilibary under Bangaldaba VCDC.","14-Oct-2024","26-Aug-2025","2000000","Vendor Identification"
"7","Normal/Others","WS/MP071/2024-2025/149064-Construction of community centers and community halls","Assam","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Bhagaduttapur Kala-Kristi Bikash Kendra, Kahilipara (Phase II)","22-Oct-2024","30-Jan-2025","794000","Vendor Identification"
"8","Normal/Others","WS/MP071/2025-2026/157664-Construction of community centers and community halls","Assam","CHARAIDEO(Deputy Commissioner Charaideo_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Assam Type Guest House at Rangagora Amlokhi Deohal, Lakwa, Mahmora, Charaideo","09-Dec-2024","19-Aug-2025","2500000","Vendor Identification"
"9","Normal/Others","WS/MP071/2025-2026/157666-Construction of community centers and community halls","Assam","TINSUKIA(DC Tinsukia)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Gorkha Sanskritik Kala Kristi Knedra at Freedom Fighter Shri Dalbir Singh Lohar Samanwaya Khetra, Loupani Gaon (Bisani Mukh N.C), Sadiya","09-Dec-2024","26-Sep-2025","5000000","Vendor Identification"
"10","Normal/Others","WS/MP071/2025-2026/157667-Construction of community centers and community halls","Assam","SIVASAGAR(Deputy Commissioner Sivsagar_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Construction of Community Hall at Bir Pangrao Khetra, Lalimchapori, Amguri","09-Dec-2024","24-Jun-2025","2500000","Work partially Completed"
