"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/134609","LEH LADAKH(DEPUTY COMMISSIONER LEH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","17-Sep-2025","Sonam Stobdan","Payment Success","700000"
"2","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2024-2025/171395","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","12-May-2026","Sohan Lal Mehta","Payment Success","728883"
"3","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2024-2025/171395","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","04-Aug-2026","Sohan Lal Mehta","Payment Success","459086"
"4","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2024-2025/171395","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","17-Aug-2026","Sohan Lal Mehta","Payment In-Progress","907831"
"5","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","23-Jun-2025","lucky Interlock Tiles","Payment Success","48500"
"6","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","23-Jun-2025","lucky Interlock Tiles","Payment Success","40000"
"7","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","23-Jun-2025","lucky Interlock Tiles","Payment Success","83300"
"8","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","23-Jun-2025","lucky Interlock Tiles","Payment Success","49000"
"9","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","23-Jun-2025","lucky Interlock Tiles","Payment Success","49700"
"10","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","23-Jun-2025","lucky Interlock Tiles","Payment Success","49500"
