"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Trust and Society","WS/MP18365/2025-2026/134609-Construction of rooms and halls in school and colleges","Chandigarh","LEH LADAKH(DEPUTY COMMISSIONER LEH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Residential School: Building of additional classrooms, labs, sports facilities, upkeeping of auditorium & recruitment of staff for a Higher Senior Secondary School within MIMC’s campus. Health: Improvement in infrastructure & recruitment of medical & para-medical staff for a hospital operated by MIMC. Old Age Home: Addition to infrastructure, building of toilets & heating arrangements at MIMC’s old age home. Other Activities: Funding for cultural, spiritual and environmental projects carried out","03-Aug-2024","1000000","11-Sep-2025"
"2","Trust and Society","WS/MP18365/2024-2025/171395-Construction of rooms and halls in school and colleges","Chandigarh","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","NA","01-Feb-2025","2100000","21-Mar-2025"
"3","Normal/Others","WS/MP18365/2025-2026/182591-Construction of rooms and halls in school and colleges","Chandigarh","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Boundary Wall and Interlocking Tile Work in Govt. High School Badduwala","17-Mar-2025","1200000","06-May-2025"
"4","Normal/Others","WS/MP18365/2025-2026/191964-Providing drains and gutters for public drainage","Chandigarh","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Drainage of Water from village to outside","17-Apr-2025","1500000","28-Apr-2025"
"5","Trust and Society","WS/MP18365/2025-2026/198191-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Chandigarh","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Renovation of Rotary Sarai, PGI Sector 12 Chandigarh on 30 years lease","09-May-2025","500000","10-Jul-2025"
"6","Trust and Society","WS/MP18365/2025-2026/206910-Construction of additional rooms and halls in the existing public and community building","Chandigarh","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Construction of Residential Building at Village Kaler (Ram Tirath), Distt Amritsar, Village Kaler, Tehsil Ajnala, Amritsar, For Trust and Society","06-Jun-2025","1000000","07-Jul-2025"
"7","Trust and Society","WS/MP18365/2025-2026/215019-Construction of rooms and halls in school and colleges","Chandigarh","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Construction of Auditorium Part 2 at Maharaj Brahmanand Bhuriwale Grib Dassi College Tibba Nangal, Tehsil Anandpur Sahib, Distt. Rupnagar PB, District Rupnagar","05-Jul-2025","1000000","19-Sep-2025"
"8","Normal/Others","NA-Construction of rooms and halls in school and colleges","Chandigarh","PULWAMA(Deputy Commissioner  Pulwama_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Construction of Rooms in Guru Nanak Public School Tral, Pulwama, Recognition No. RECO000897184EDUOF2017, through Guru Harkrishan Jeevanjot Society (Regd.) 7398","19-Nov-2025","1000000","NA"
"9","Normal/Others","WS/MP18365/2025-2026/267632-Purchase of books and periodicals for libraries/digitization of library books","Chandigarh","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Establishment of Library in Panchayat Land Building  through Sarv Kalyan Manch Haryana","11-Feb-2026","1000000","17-Mar-2026"
"10","Normal/Others","NA-Construction of additional rooms and halls in the existing public and community building","Chandigarh","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Repair and Waterproofing of the roof of Chamber Building, Installation of Computers and  Upgradation of Library infrastructure in District Bar Association Chandigarh","26-Feb-2026","1500000","NA"
