"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Trust and Society","WS/MP18365/2025-2026/206910-Construction of additional rooms and halls in the existing public and community building","Chandigarh","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Construction of Residential Building at Village Kaler (Ram Tirath), Distt Amritsar, Village Kaler, Tehsil Ajnala, Amritsar, For Trust and Society","06-Jun-2025","07-Jul-2025","1000000","Work partially Completed"
"2","Trust and Society","WS/MP18365/2025-2026/134609-Construction of rooms and halls in school and colleges","Chandigarh","LEH LADAKH(DEPUTY COMMISSIONER LEH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Residential School: Building of additional classrooms, labs, sports facilities, upkeeping of auditorium & recruitment of staff for a Higher Senior Secondary School within MIMC’s campus. Health: Improvement in infrastructure & recruitment of medical & para-medical staff for a hospital operated by MIMC. Old Age Home: Addition to infrastructure, building of toilets & heating arrangements at MIMC’s old age home. Other Activities: Funding for cultural, spiritual and environmental projects carried out","03-Aug-2024","11-Sep-2025","1000000","Physical Inspection"
"3","Trust and Society","WS/MP18365/2024-2025/171395-Construction of rooms and halls in school and colleges","Chandigarh","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","NA","01-Feb-2025","21-Mar-2025","2100000","Vendor Identification"
"4","Normal/Others","WS/MP18365/2025-2026/182591-Construction of rooms and halls in school and colleges","Chandigarh","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Boundary Wall and Interlocking Tile Work in Govt. High School Badduwala","17-Mar-2025","06-May-2025","1200000","Physical Inspection"
"5","Trust and Society","WS/MP18365/2025-2026/215019-Construction of rooms and halls in school and colleges","Chandigarh","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Construction of Auditorium Part 2 at Maharaj Brahmanand Bhuriwale Grib Dassi College Tibba Nangal, Tehsil Anandpur Sahib, Distt. Rupnagar PB, District Rupnagar","05-Jul-2025","19-Sep-2025","1000000","Physical Inspection"
"6","Normal/Others","WS/MP18365/2025-2026/267632-Purchase of books and periodicals for libraries/digitization of library books","Chandigarh","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Establishment of Library in Panchayat Land Building  through Sarv Kalyan Manch Haryana","11-Feb-2026","17-Mar-2026","1000000","Work partially Completed"
"7","Normal/Others","WS/MP18365/2026-2027/279847-Purchase of books and periodicals for libraries/digitization of library books","Chandigarh","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Upgradation and digitization of the library through Malwa Heritage and Cultural Foundation Regd Village Jaipalgarh backside of Multipurpose Sports Stadium Bathinda 151001 Punjab","07-May-2026","30-Jul-2026","999970","Sanction"
"8","Trust and Society","WS/MP18365/2025-2026/198191-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Chandigarh","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Renovation of Rotary Sarai, PGI Sector 12 Chandigarh on 30 years lease","09-May-2025","10-Jul-2025","500000","Work Completed"
"9","Normal/Others","WS/MP18365/2025-2026/191964-Providing drains and gutters for public drainage","Chandigarh","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Drainage of Water from village to outside","17-Apr-2025","28-Apr-2025","1500000","Work partially Completed"
"10","Normal/Others","WS/MP18365/2026-2027/279848-Providing drains and gutters for public drainage","Chandigarh","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","Construction and repair of Drains in Gram Panchayat village Kalewal Block Kharar SAS Nagar Mohali","07-May-2026","22-Jun-2026","500000","Work partially Completed"
"Grand Total"," "," "," "," "," "," "," "," "," "," ","1,07,99,970"
