"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP225/2024-2025/140116-Construction of community centers and community halls","Chhattisgarh","DURG(DISTRICT COLLECTOR DURG_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of community centers/community halls and its Boundary wall for the benefit of  Local people.","09-Sep-2024","23-Dec-2024","3000000","Physical Inspection"
"2","Normal/Others","WS/MP225/2024-2025/140119-Construction of community centers and community halls","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of Community Centre Building at Gram Panchayat Sarwani for welfare of common people","09-Sep-2024","04-Oct-2024","2300000","Work partially Completed"
"3","Normal/Others","WS/MP225/2024-2025/140123-Construction of community centers and community halls","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of community center for Sahu Samaj in Deradih village of Tundra Tehsil District Balodabazar(Bhatapara) Chhattisgarh.","09-Sep-2024","06-Nov-2024","1999000","Physical Inspection"
"4","Normal/Others","WS/MP225/2025-2026/143851-Construction of community centers and community halls","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of community center for the welfare of Halva Samaj in Village Badedongar Tehsil Pharasgaon District Kondagaon","26-Sep-2024","13-Jun-2025","1000000","Vendor Identification"
"5","Normal/Others","WS/MP225/2025-2026/191556-Construction of community centers and community halls","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of community centers and community halls at Sahu Para, Village Baijnath, Kasdol Subdivision, Baloda Bazar District, Chhattisgarh","19-Apr-2025","09-Jun-2025","2000000","Physical Inspection"
"6","Repair and Renovation","WS/MP18340/2025-2026/213914-Construction of community centers and community halls","Chhattisgarh","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","Repair and Paint of Community Building at Kudrikhar Gondwana Bhawan","01-Jul-2025","22-Jan-2026","300000","Work Completed"
"7","Normal/Others","WS/MP176/2025-2026/243141-Construction of community centers and community halls","Chhattisgarh","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","Construction of  Community Centre at Satnami Para","24-Oct-2025","22-Dec-2025","700000","Vendor Identification"
"8","Normal/Others","WS/MP176/2025-2026/243264-Construction of community centers and community halls","Chhattisgarh","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","Construction of Community Centre and Stage (Manch)","24-Oct-2025","22-Dec-2025","700000","Vendor Identification"
"9","Normal/Others","WS/MP176/2025-2026/243279-Construction of community centers and community halls","Chhattisgarh","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","Construction of Community Centre at Marar Para","24-Oct-2025","22-Dec-2025","700000","Vendor Identification"
"10","Normal/Others","WS/MP18340/2025-2026/249369-Construction of community centers and community halls","Chhattisgarh","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","Construction of community hall Near Samleshwari Mandir MOTI MAHAL PALACE  WARD NO. 10","19-Nov-2025","23-Jan-2026","3500000","Sanction"
"11","Repair and Renovation","WS/MP18340/2026-2027/278111-Construction of community centers and community halls","Chhattisgarh","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","Gram Jambahar Lailunga Me Khamhar Pakut Jalashay Samudayik Bhawan Marrammat Karya","23-Apr-2026","24-Aug-2026","200000","Sanction"
"12","Normal/Others","WS/MP18340/2026-2027/295544-Construction of community centers and community halls","Chhattisgarh","Sarangarh-Bilaigarh(Collector SB_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","Gram Saliha Gram Panchayat Saliha me Adiwasi Samudayik Bhawan Nirman Karya Vijaynagar","15-Jul-2026","18-Aug-2026","1100000","Vendor Identification"
"13","Normal/Others","WS/MP176/2024-2025/149419-Construction of public libraries and reading rooms","Chhattisgarh","Uttar Bastar Kanker(DISTRICT COLLECTOR KANKER_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","I propose the construction of a state-ofthe-art public (digital) library in Kanker, with a planned seating capacity of 250-300 individuals at ward no. 09, Aklavya Hostal Bhanupratappur Kanker","25-Oct-2024","20-Dec-2024","30000000","Physical Inspection"
"14","Normal/Others","WS/MP225/2024-2025/140366-Construction of common work sheds/ common covered sitting area","Chhattisgarh","BALOD(Collector Balod_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of a public waiting shed in Parsadih (SU) village of Marri Bangla (Deori), Balod district, Chhattisgarh.","11-Sep-2024","29-Oct-2024","500000","Physical Inspection"
"15","Normal/Others","WS/MP225/2024-2025/140368-Construction of common work sheds/ common covered sitting area","Chhattisgarh","BALOD(Collector Balod_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of a public waiting shed in Bhendi (SU) village of Marri Bangla (Deori), Balod district, Chhattisgarh.","11-Sep-2024","29-Oct-2024","500000","Physical Inspection"
"16","Normal/Others","WS/MP225/2024-2025/143853-Construction of common work sheds/ common covered sitting area","Chhattisgarh","KONDAGAON(DISTRICT COLLECTOR KONDAGAON_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of common work sheds/ common covered sitting area inear Lingeshwari Gudhi in Jhatiban Village of Pharasgaon Tehsil in Kondagaon District","26-Sep-2024","14-Jan-2025","1000000","Vendor Identification"
"17","Normal/Others","WS/MP225/2024-2025/164097-Construction of common work sheds/ common covered sitting area","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of common work sheds and common covered sitting area in the existing community centre (Sahu Para) at Deradih village, Sub-District Tundara, District Baloda Bazar, Chhattisgarh","10-Jan-2025","24-Mar-2025","1000000","Work partially Completed"
"18","Normal/Others","WS/MP225/2025-2026/164100-Construction of common work sheds/ common covered sitting area","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Floor construction in the existing community centre (Sahu Para) at Deradih village, Sub-District Tundara, District Baloda Bazar, Chhattisgarh.","10-Jan-2025","09-Jun-2025","350000","Work Completed"
"19","Normal/Others","WS/MP225/2024-2025/164102-Construction of common work sheds/ common covered sitting area","Chhattisgarh","Balodabazar-Bhatapara(Collector Baloda Bazar_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of a common Kitchen shed in the existing  community centre (Sahu Para) at Deradih village, Sub-District Tundara, District Baloda Bazar, Chhattisgarh.","10-Jan-2025","24-Mar-2025","149000","Physical Inspection"
"20","Normal/Others","WS/MP225/2025-2026/192631-Construction of common work sheds/ common covered sitting area","Chhattisgarh","MUNGELI(Collector Mungeli_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","Construction of a shed for General Public","19-Apr-2025","23-Jun-2025","990035","Physical Inspection"
"21","Normal/Others","WS/MP176/2025-2026/243280-Construction of common work sheds/ common covered sitting area","Chhattisgarh","DURG(DISTRICT COLLECTOR DURG_IDA)","Shri Rajeev Shukla (2022-28) (2022-2028)","Elected MP","Construction of Shed near Shitala Taalab at Village-Karsa, Gram Panchayat - Karsa","24-Oct-2025","22-Dec-2025","500000","Vendor Identification"
