"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Repair and Renovation","WS/MP879/2025-2026/196306-Lighting of public spaces","Delhi","SOUTH(COMMISSIONER SOUTH)","G I Octagonal Poles with LED fittings in ward no 154 Lado Sarai","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","09-Mar-2026","2959044"
"2","Normal/Others","WS/MP879/2025-2026/189879-Lighting of public spaces","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Lightning arrangements at difference sites in Ranjeet Nagar in ward no 87 under KBZ","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","05-Jan-2026","2900381"
"3","Normal/Others","WS/MP879/2025-2026/189878-Street lights","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Provision for Black spot Rectification","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","08-Jan-2026","788707"
"4","Repair and Renovation","WS/MP879/2025-2026/195174-Street lights","Delhi","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Lighting arrangement with poles and street lights under CNZ","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","29-Jul-2026","1451625"
"5","Repair and Renovation","WS/MP879/2025-2026/199206-Development of public parks","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Supply and Installation of 3 Sets of Arch Swing Childrens Play Equipment in LIG East Patel Nagar","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","29-Jul-2026","159922"
"6","Repair and Renovation","WS/MP879/2025-2026/199207-Development of public parks","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Supply and Installation of 3 Sets of Arch Swing Childrens Play Equipment in New MIG East Patel Nagar","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","29-Jul-2026","159922"
"7","Repair and Renovation","WS/MP879/2025-2026/189862-Development of public parks","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Supply and Installation of 3 Sets of Arch Swing Childrens Play Equipment in Old MIG East Patel Nagar","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","29-Jul-2026","159922"
"8","Normal/Others","WS/MP879/2025-2026/214049-Street lights","Delhi","SOUTH(COMMISSIONER SOUTH)","Semi Mast Light at Municipal Park Rani Laxmi Bai DDA Flats Munirka, Municipal Park in front of F-13 DDA Flats Munirka, Municipal Park Rock Garden, Municipal Central Park Munirka Enclave, park in front of 819 type IV R K Puram, park in front of 381 type IV R K Puram in ward no. 151 under south zone","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","31-Jul-2026","1263706"
"9","Normal/Others","WS/MP879/2025-2026/213910-Street lights","Delhi","SOUTH(COMMISSIONER SOUTH)","Lighting arrangement at Kalka Das Marg Mehrauli, Jahaj Mahal Park and various places in ward no 155 Mehrauli","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","30-Jul-2026","6662918"
"10","Normal/Others","WS/MP879/2025-2026/246356-Lighting of public spaces","Delhi","SOUTH(COMMISSIONER SOUTH)","Provision of lighting arrangement at various location in Ward No.151- Munirka under South Zone","Shri Narain Dass Gupta (2024-30) (NaN-NaN)","Elected MP","Images","31-Jul-2026","1402407"
