"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Construction of common work sheds/ common covered sitting area","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Provision of work related to Shed in park near Shiv Mandir in Hiran Kudna ward-35, Narela Zone","01-Aug-2026","4755000","NA"
"2","Normal/Others","NA-Construction of community centers and community halls","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Construction of Double Storey Valmiki Chaupal at Mubarakpur Village in Kirari AC","18-Feb-2026","11584000","NA"
"3","Normal/Others","WS/MP879/2025-2026/240350-Construction of community centers and community halls","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Construction of Phase II of Community Hall Partap Vihar-II, Opposite Nithari Cremation Ground Nithari Village Aman Vihar Ward No. 41For Civil work Rohini Zone.","07-Oct-2025","9749611","16-Mar-2026"
"4","Normal/Others","WS/MP878/2025-2026/266952-Installing community drinking water plants","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Recommendation for Provision of Water Coolers and RO Systems in Ward No 66 Wazirpur","07-Feb-2026","809262","17-Mar-2026"
"5","Normal/Others","NA-Development of public parks","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Provision of work for Installation of 90 RCC Benches in ward 21, Rohini A","24-Sep-2025","983400","NA"
"6","Normal/Others","WS/MP878/2026-2027/276067-Development of public parks","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Provision of Artistic Gazebo arrangements in the Physical Center Pooth Kalan Village Ward No 26 Narela Zone","26-Mar-2026","788330","23-Apr-2026"
"7","Normal/Others","WS/MP878/2026-2027/276742-Development of public parks","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Provision of Artistic Gazebo in Mahila Park Ward No 26 Pooth Kalan Narela Zone","30-Mar-2026","788330","23-Apr-2026"
"8","Normal/Others","NA-Development of public parks","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Providing and Installation of Child Play Equipment at H No A60 Mother Dairy Park Ashok Vihar Phase III Ward No 66 KP Zone","17-May-2026","811939","NA"
"9","Normal/Others","NA-Development of public parks","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Providing and Installation of Child Play Equipment at MCD School Nimri Colony Ward No 66 KP Zone Ward No 66","17-May-2026","811939","NA"
"10","Normal/Others","WS/MP878/2026-2027/276073-Lighting of public spaces","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Provision of Lighting Arrangements in Parks and Various Locations under Ward No 26 Pooth Kalan Narela Zone","26-Mar-2026","1869573","13-May-2026"
"11","Normal/Others","WS/MP879/2025-2026/259542-Improvement of electricity distribution infrastructure","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Construction of Phase-2 of Community Hall Partap Vihar-ll opposite Nithari Cremation Ground Aman Vihar Ward No.41 for electrical work Rohini Zone.","17-Jan-2026","3464601","05-Mar-2026"
"12","Normal/Others","WS/MP878/2025-2026/266947-Street lights","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Provision of Street Lights in Ward No 66 Wazirpur","07-Feb-2026","1605833","17-Mar-2026"
"13","Normal/Others","WS/MP878/2025-2026/266949-Street lights","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Provision of Street Lights in Teachers Park MPL Parks and Other Parks in Ward No 66 Wazirpur","07-Feb-2026","2216249","17-Mar-2026"
"14","Normal/Others","WS/MP878/2026-2027/279078-Street lights","Delhi","NORTH WEST(COMMISSIONER NORTH WEST)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","Providing and fixing of LED street lights at various locations in ward no 26 Pooth Kalan under Narela Zone","27-Apr-2026","2125880","15-May-2026"
"15","Normal/Others","NA-Fitting of Sitting RCC Benches in Public Places","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Providing and placing of RCC benches at various parks in Ward No 90 Moti Nagar (KBZ)","30-Dec-2025","569900","NA"
"16","Normal/Others","WS/MP879/2025-2026/189878-Street lights","Delhi","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","Provision for Black spot Rectification","07-Apr-2025","788707","06-Jan-2026"
