"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP885/2024-2025/137239-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","PUCHASE OF SCHOOL BUS for SARVODAYA EDUCATIONAL SOCIETY’S HIGH SCHOOL, CURCHOREM, GOA.","Shri Sadanand Mhalu Shet Tanavade (2023-29) (NaN-NaN)","Elected MP","Images","05-Feb-2025","2767056.99"
"2","Normal/Others","WS/MP885/2024-2025/137240-Purchase of hearse van (Four, three and two wheelers)","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","PURCHASE OF HEARSE VAN for BICHOLIM MUNICIPAL COUNCIL","Shri Sadanand Mhalu Shet Tanavade (2023-29) (NaN-NaN)","Elected MP","N/A","15-Apr-2025","2800000"
"3","Normal/Others","WS/MP885/2024-2025/149656-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","SCHOOL BUS for Popular High School, Margao, Salcete, South Goa, Goa.","Shri Sadanand Mhalu Shet Tanavade (2023-29) (NaN-NaN)","Elected MP","Images","16-Jul-2025","2484987"
"4","Normal/Others","WS/MP885/2025-2026/197287-Street lights","Goa","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","INSTALLATION OF 20 CM LED HIGH MAST POLES WITH SIX LIGHTS EACH AT 20 DIFFERENT LOCATIONS IN SHAHJAHANPUR DISTRICT IN UTTAR PRADESH.","Shri Sadanand Mhalu Shet Tanavade (2023-29) (NaN-NaN)","Elected MP","Images","29-Jun-2025","4860000"
"5","Normal/Others","WS/MP885/2025-2026/204323-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","School Bus for International Sadguru Gurukulum, Tapobhoomi, Opp. Kundaim Industrial Estate, Kundaim, Ponda, Goa.","Shri Sadanand Mhalu Shet Tanavade (2023-29) (NaN-NaN)","Elected MP","N/A","23-Oct-2025","2481288"
"6","Normal/Others","WS/MP885/2025-2026/187961-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","School Bus for Balram Higher Secondary School, Ardhfond, Poinguinim, Canacona, Goa 403702","Shri Sadanand Mhalu Shet Tanavade (2023-29) (NaN-NaN)","Elected MP","N/A","03-Nov-2025","2776654"
"7","Normal/Others","WS/MP885/2025-2026/191700-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","School Bus for Shree Vishwanath Arlekar DADA Arlekar Memorial Higher Secondary School of Arts, Commerce and Science.","Shri Sadanand Mhalu Shet Tanavade (2023-29) (NaN-NaN)","Elected MP","N/A","24-Nov-2025","2569336"
"8","Normal/Others","WS/MP885/2026-2027/252993-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","School bus for Chetna Education Society School for Special Children, H. No. 915, Near Govt ITI, Soliem Road, Kakoda, Curchorem, Goa 403706.","Shri Sadanand Mhalu Shet Tanavade (2023-29) (NaN-NaN)","Elected MP","Images","12-Aug-2026","2094197"
"9","Normal/Others","WS/MP885/2026-2027/270307-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","School Bus for Swami Vivekanand Vidyaprasarak Mandals College of Commerce Shirshire Borim Ponda South Goa District Goa 403401.","Shri Sadanand Mhalu Shet Tanavade (2023-29) (NaN-NaN)","Elected MP","Images","28-Aug-2026","2120197"
"10","Normal/Others","WS/MP885/2026-2027/278726-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","School Bus for Keshav Smruti Higher Secondary School, Alto Dabolim, Vasco Da Gama, South Goa, Goa.","Shri Sadanand Mhalu Shet Tanavade (2023-29) (NaN-NaN)","Elected MP","Images","28-Aug-2026","2400201"
"Grand Total"," "," "," "," "," "," "," "," "," ","2,73,53,916.99"
