"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2024-2025/137239","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","06-Feb-2025","TATA MOTORS","Payment Success","2758761.99"
"2","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2024-2025/137239","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","06-Feb-2025","ARIF AHMED BASHARAICHUR","Payment Success","8295"
"3","Goa","Purchase of hearse van (Four, three and two wheelers)","WS/MP885/2024-2025/137240","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","22-Apr-2025","Ozone Envirotech","Payment Success","2800000"
"4","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2024-2025/149656","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","22-May-2025","PEACOCL FEATHERS","Payment Success","19087"
"5","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2024-2025/149656","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","22-May-2025","RAO DHIRENDRA RAVINDRA","Payment Success","5900"
"6","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2024-2025/149656","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","10-Jul-2025","SML ISUZU LTD","Payment Success","2460000"
"7","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2026-2027/149806","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","02-Jul-2026","TATA MOTORS","Payment Success","2415047"
"8","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2026-2027/149806","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","02-Jul-2026","PEACOCL FEATHERS","Payment Success","18364"
"9","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2025-2026/181713","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","12-Mar-2026","TATA MOTORS","Payment Success","2752362"
"10","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2025-2026/181717","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","12-Mar-2026","TATA MOTORS","Payment Success","2752362"
"11","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2025-2026/187961","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","03-Nov-2025","TATA MOTORS","Payment Success","2758762"
"12","Goa","Purchase of vans and buses for educational institutions","WS/MP885/2025-2026/187961","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","03-Nov-2025","PEACOCL FEATHERS","Payment Success","17892"
