"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Construction of community centers and community halls","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Construction of Community Hall","23-Sep-2025","4500000","NA"
"2","Normal/Others","NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Construction of Crematorium in Survey Number 64 11 A of Sarvan Karapur-Sarvan Village Panchayat in Bicholim taluka, North Goa.","23-Sep-2025","4848039","NA"
"3","Normal/Others","WS/MP885/2024-2025/106744-Construction of rooms and halls in school and colleges","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Construction of three (3) classrooms.","16-Feb-2024","4008840","14-Jan-2025"
"4","Normal/Others","NA-Purchase of sports equipment","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Childrens Play Systems for PM SHRI GOVERNMENT MIDDLE SCHOOL, Hasapur, Pernem North Goa","29-Jul-2026","499950","NA"
"5","Normal/Others","NA-Purchase of sports equipment","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Childrens Play Systems for Government Middle School, Kasarvarne, Pernem, North Goa","29-Jul-2026","499950","NA"
"6","Normal/Others","NA-Setting up of laboratories","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Astronomy Lab for Mushtifund High School, Cujira, St. Cruz, Tiswadi, Goa 403202.","15-Jan-2026","4000000","NA"
"7","Normal/Others","WS/MP885/2024-2025/137239-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","PUCHASE OF SCHOOL BUS for SARVODAYA EDUCATIONAL SOCIETY’S HIGH SCHOOL, CURCHOREM, GOA.","27-Aug-2024","2767056.99","15-Oct-2024"
"8","Normal/Others","NA-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Wheelchair-Accessible School Bus for Anand Niketan Special School","09-Oct-2024","3018260","NA"
"9","Normal/Others","WS/MP885/2024-2025/149656-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","SCHOOL BUS for Popular High School, Margao, Salcete, South Goa, Goa.","28-Oct-2024","2484987","05-Feb-2025"
"10","Normal/Others","WS/MP885/2026-2027/149806-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","SCHOOL BUS for Dayanand High School, Chorao-Ilhas, North Goa, Goa 403102","29-Oct-2024","2620712","01-Jul-2026"
