"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP885/2024-2025/106744-Construction of rooms and halls in school and colleges","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","Construction of three (3) classrooms.","16-Feb-2024","14-Jan-2025","4008840","Sanction"
"2","Normal/Others","WS/MP885/2024-2025/137239-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","PUCHASE OF SCHOOL BUS for SARVODAYA EDUCATIONAL SOCIETY’S HIGH SCHOOL, CURCHOREM, GOA.","27-Aug-2024","15-Oct-2024","2767056.99","Physical Inspection"
"3","Normal/Others","WS/MP885/2024-2025/149656-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","SCHOOL BUS for Popular High School, Margao, Salcete, South Goa, Goa.","28-Oct-2024","05-Feb-2025","2484987","Physical Inspection"
"4","Normal/Others","WS/MP885/2026-2027/149806-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","SCHOOL BUS for Dayanand High School, Chorao-Ilhas, North Goa, Goa 403102","29-Oct-2024","01-Jul-2026","2620712","Work partially Completed"
"5","Normal/Others","WS/MP885/2025-2026/181713-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Goa College of Physiotherapy, Naturopathy and Yogic Science, Sankhali, North Goa, Goa.","15-Mar-2025","12-Mar-2026","2860012","Work partially Completed"
"6","Normal/Others","WS/MP885/2025-2026/181717-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Tagore Educational Institute, Kothambi, Pale, Bicholim, North Goa, Goa 403105.","15-Mar-2025","12-Mar-2026","2860012","Work partially Completed"
"7","Normal/Others","WS/MP885/2025-2026/187961-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Balram Higher Secondary School, Ardhfond, Poinguinim, Canacona, Goa 403702","30-Mar-2025","31-Oct-2025","2776654","Physical Inspection"
"8","Normal/Others","WS/MP885/2026-2027/187996-Purchase of vans and buses for educational institutions","Goa","NORTH GOA(DISTRICT COLLECTOR NORTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Sateri Vidhya Mandir, Ibrampur, Pernem, P.O. Assonora, Goa 403503.","11-Apr-2025","01-Jul-2026","2777362","Work partially Completed"
"9","Normal/Others","WS/MP885/2025-2026/191700-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for Shree Vishwanath Arlekar DADA Arlekar Memorial Higher Secondary School of Arts, Commerce and Science.","16-Apr-2025","13-Nov-2025","2569336","Physical Inspection"
"10","Normal/Others","WS/MP885/2025-2026/204323-Purchase of vans and buses for educational institutions","Goa","SOUTH GOA(DISTRICT COLLECTOR SOUTH GOA_IDA)","Shri Sadanand Mhalu Shet Tanavade (2023-29) (2023-2029)","Elected MP","School Bus for International Sadguru Gurukulum, Tapobhoomi, Opp. Kundaim Industrial Estate, Kundaim, Ponda, Goa.","28-May-2025","30-Sep-2025","2481288","Physical Inspection"
