"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2024-2025/133669","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","25-Oct-2024","NANDOTRA GRAM PANCHAYAT","Payment Success","500000"
"2","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2024-2025/133670","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","25-Oct-2024","NANDOTRA GRAM PANCHAYAT","Payment Success","250000"
"3","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/140608","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","03-Aug-2026","SHREE BHUJODI JUTH GRAM PANCHAYAT","Payment Success","500000"
"4","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP889/2025-2026/140610","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","13-Apr-2026","MANEKPURA GRAM PANCHAYAT","Payment Success","500000"
"5","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2024-2025/140613","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","10-Mar-2025","VADA GRAM PANCHAYAT","Payment Success","500000"
"6","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2024-2025/140614","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","10-Mar-2025","VADA GRAM PANCHAYAT","Payment Success","400000"
"7","Gujarat","Construction of public libraries and reading rooms","WS/MP889/2025-2026/140617","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","26-Feb-2026","P R SONS","Payment Success","500000"
"8","Gujarat","Construction of public libraries and reading rooms","WS/MP889/2025-2026/140619","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","04-Jun-2025","SHREE ANAND PRAKASH CHERITABAL TRAST","Payment Success","475000"
"9","Gujarat","Construction of public libraries and reading rooms","WS/MP889/2025-2026/140619","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","12-Sep-2025","SHREE ANAND PRAKASH CHERITABAL TRAST","Payment Success","25000"
"10","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP889/2024-2025/140620","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","28-Nov-2025","DHANAVADA GRAM PANCHAYAT","Payment Success","500000"
"11","Gujarat","Construction of rooms and halls in school and colleges","WS/MP889/2025-2026/140621","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","12-Jan-2026","JAGATSINH NAVALSINH BARAD","Payment Success","979009"
"12","Gujarat","Construction of water tanks","WS/MP889/2024-2025/140623","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","21-Apr-2025","Kanzara Gram Panchayat","Payment Success","500000"
"13","Gujarat","Providing supply pipelines for drinking water","WS/MP889/2024-2025/140624","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","21-Apr-2025","Kanzara Gram Panchayat","Payment Success","500000"
"14","Gujarat","Street lights","WS/MP889/2024-2025/140625","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","08-Sep-2025","endala gram panchayat","Payment Success","496080"
"15","Gujarat","Construction of community centers and community halls","WS/MP889/2024-2025/140627","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","19-Aug-2025","Panthawada Gram Panchayat","Payment Success","500000"
"16","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP889/2024-2025/140628","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","02-Sep-2025","Borsan gram panchayat","Payment Success","200000"
"17","Gujarat","Construction of water tanks","WS/MP889/2025-2026/140629","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","16-Jun-2025","MANEKPURA GRAM PANCHAYAT","Payment Success","297764"
"18","Gujarat","Construction of public libraries and reading rooms","WS/MP889/2025-2026/140630","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","30-Mar-2026","SAMARWADA GRAM PANCHAYAT","Payment Success","500000"
"19","Gujarat","Construction of additional rooms and halls in the existing public and community building","WS/MP889/2025-2026/140631","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","12-Aug-2026","JAGATSINH NAVALSINH BARAD","Payment Success","999000"
"20","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2024-2025/140632","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","21-Apr-2025","Kanzara Gram Panchayat","Payment Success","500000"
"21","Gujarat","Construction of public libraries and reading rooms","WS/MP889/2024-2025/140634","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","19-Dec-2025","santarwada gram panchayat","Payment Success","500000"
"22","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2025-2026/145833","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","12-Mar-2026","KHEROLA","Payment Success","500000"
