"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Trust and Society","NA-Construction of additional rooms and halls in the existing public and community building","Gujarat","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","To build rooms in Vidyarthi Bhavan of Darji Samaj Trust - Gujarat","28-May-2026","500000","NA"
"2","Normal/Others","WS/MP889/2025-2026/197794-Purchase of hospital equipment","Gujarat","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","Ahmedabad (Sola)  Microscope (Eye Department) at G. M. E. R. Medical College Hospital at. Sola - Ahmedabad (2025-26)","08-May-2025","2000000","04-Aug-2025"
"3","Normal/Others","WS/MP889/2025-2026/197795-Purchase of hospital equipment","Gujarat","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","Ahmedabad (Sola)  Vitrectomy machine (eye department) at G.M.E.R. Medical College Hospital, at.Sola - Ahmedabad (2025-26)","08-May-2025","2000000","04-Aug-2025"
"4","Normal/Others","WS/MP889/2025-2026/197796-Purchase of hospital equipment","Gujarat","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","Ahmedabad (Sola)   Fracture Table (Bone Section) at G.M.E.R. Medical College Hospital at. Sola- Ahmedabad (2025-26)","08-May-2025","1000000","04-Aug-2025"
"5","Normal/Others","WS/MP18291/2025-2026/232079-Purchase of ambulances (Four, three and two wheelers)","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Purchase of Ambulance for Community Health Center in Dhari village","03-Oct-2025","2100000","15-Jan-2026"
"6","Normal/Others","WS/MP891/2026-2027/254392-Construction of rooms and halls in school and colleges","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Work to build hostel rooms for students in Matrushree Mira Education Trust opposite ITI","24-Mar-2026","1000000","21-Jul-2026"
"7","Normal/Others","WS/MP18403/2026-2027/286204-Construction of rooms and halls in school and colleges","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","For the construction of a student hostel in  run by the Matrushree Mira Maa Education Trust","20-Jun-2026","1000000","21-Jul-2026"
"8","Normal/Others","NA-Providing CCTV camera system for security of public areas","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Installation of CCTV Cameras at Mota Bhandariya Village","04-Jul-2026","250000","NA"
"9","Trust and Society","WS/MP18291/2025-2026/202722-Construction of rooms and halls in school and colleges","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Request for grant for construction of new rooms in secondary school in Khadadhar Kelavani Mandal-run high school","23-May-2025","783627","12-Mar-2026"
"10","Normal/Others","WS/MP18291/2025-2026/227003-Construction of rooms and halls in school and colleges","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Science Lab in G. P. Higher Secondary School in Juni Haliyad Village","18-Aug-2025","983665","03-Jan-2026"
"11","Normal/Others","WS/MP18291/2025-2026/158267-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","shambhupara gam crematorium Shead Work","12-Dec-2024","100000","24-Sep-2025"
"12","Normal/Others","WS/MP18291/2025-2026/209184-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Work of Crematorium Shed in Nana Kankot Village","19-Jun-2025","400000","20-Sep-2025"
"13","Normal/Others","WS/MP18291/2025-2026/149653-Construction of community centers and community halls","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","maruti plot ma community hall nu kam","28-Oct-2024","500000","28-Apr-2025"
"14","Normal/Others","WS/MP18291/2025-2026/185364-Construction of community centers and community halls","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Community Hall in Ambedkar Nagar area for Scheduled Caste people","24-Mar-2025","987644","18-Jul-2025"
"15","Normal/Others","WS/MP18291/2025-2026/185365-Construction of community centers and community halls","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","For the construction of a cultural hall (community hall) for the Scheduled Castes people","24-Mar-2025","987644","18-Jul-2025"
"16","Normal/Others","WS/MP18291/2026-2027/281166-Construction of public libraries and reading rooms","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Library with Solar, Furniture and Construction According the Design in Devaliya Mota Village","19-May-2026","3500000","23-Jun-2026"
"17","Normal/Others","WS/MP18291/2025-2026/272188-Construction of public libraries and reading rooms","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Library with Solar, Furniture and Construction According the Design Given in Dared Village","03-Mar-2026","3500000","23-Mar-2026"
"18","Normal/Others","WS/MP18291/2025-2026/239478-Construction of public libraries and reading rooms","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Library with Solar, Furniture and Construction According the Design in Mota Ankadiya Village","03-Oct-2025","3500000","20-Jan-2026"
"19","Normal/Others","WS/MP18291/2025-2026/238973-Construction of public libraries and reading rooms","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Library with Solar, Furniture and Construction According the Design in Meriyana Village","03-Oct-2025","3500000","20-Jan-2026"
"20","Normal/Others","WS/MP18291/2025-2026/250139-Construction of public libraries and reading rooms","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Library with Solar, Furniture and Construction According the Design in Amrapara Village","24-Nov-2025","3500000","31-Jan-2026"
"21","Normal/Others","WS/MP18291/2025-2026/232080-Construction of public libraries and reading rooms","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Library with Solar, Furniture and Construction According the Design in Mota Bhamodra Village","03-Oct-2025","3500000","20-Jan-2026"
"22","Normal/Others","WS/MP18291/2024-2025/152355-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Malsika gam Crematorium Shead","14-Nov-2024","200000","05-Mar-2025"
"23","Normal/Others","WS/MP889/2025-2026/256659-Providing drains and gutters for public drainage","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","Devka Ta  Rajula Underground sewerage work from Mansurbhai Jikarbhai house to Mansurbhai Bhojabhai house and from Lakhmanbhai Najabhai house to Jolapari river and from Kababhai Mulubhai house to Valbhai Kababhai house. From Dulabhai Vanjar house to Mansurbhai Bhojabhai house and from Devjibhai Ukabhai house to Karshanbhai Somabhai house and from Bhupatbhai Gandabhai house to Bhikhabhai Ukabhai house and from Mayabhaisomabhai house to Nagjibhai Bhanabhai house.","01-Jan-2026","500000","31-Jan-2026"
"24","Normal/Others","WS/MP889/2025-2026/256660-Providing drains and gutters for public drainage","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","Devka Ta  Rajula  Underground sewerage work from Nannabhai Nathabhai house to Manubhai Bhanabhai house and from Harsurbhai Bhikhabhai house to Harsurbhai Amarbhai house and from Bachubhai Dalabhai house to Kanabhai Arjanbhai house","01-Jan-2026","325000","31-Jan-2026"
"25","Normal/Others","WS/MP891/2025-2026/219913-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Paver block road work in public markets in Hirana village of Lathi taluka","18-Jul-2025","500000","22-Aug-2025"
"26","Normal/Others","WS/MP18291/2025-2026/209185-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Block Road from Mavjibhai Dabasra home to Bhupatbhai Jadav home in fattepur Village","19-Jun-2025","200000","22-Aug-2025"
"27","Normal/Others","WS/MP18291/2025-2026/209186-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Block Road in New Ploting Area","19-Jun-2025","200000","22-Aug-2025"
"28","Normal/Others","WS/MP891/2025-2026/197978-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Grant of Paver block work at Tajpar village, Tal. Lathi, Dist. Amreli.","08-May-2025","500000","18-Jul-2025"
"29","Normal/Others","WS/MP18291/2025-2026/201571-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Mota Agariya village demands grant for block paving road work in Dalit area","21-May-2025","300000","06-Oct-2025"
"30","Normal/Others","WS/MP891/2025-2026/197976-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Grant of  Paver block work on the dirt road to reach the Shikharbadh temple of Yogiji Maharaj, a pilgrimage site.","08-May-2025","499700","23-Mar-2026"
"31","Normal/Others","WS/MP18291/2025-2026/149675-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","gamtal vistar ma natubhai savaliya na ghar thi chaturbhai sarkheliya na ghar sudhi na 3 vistar ma block road na kam mate","28-Oct-2024","300000","22-May-2025"
"32","Normal/Others","WS/MP18291/2025-2026/149676-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","aliudepur game juda juda vistar ma block peving & c c road na kam mate","28-Oct-2024","200000","18-Jul-2025"
"33","Normal/Others","WS/MP18291/2025-2026/153570-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Para & padar area ma block road nu kam","21-Nov-2024","200000","22-May-2025"
"34","Normal/Others","WS/MP18291/2025-2026/153572-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Krankach gam ma alag alag vistar ma blok road nu kam","21-Nov-2024","200000","20-Sep-2025"
"35","Normal/Others","WS/MP18291/2025-2026/185361-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","For the work of CC Road from Vinubhai Kanpariya house towards Arvindbhai Chhaganbhai house","24-Mar-2025","350000","22-May-2025"
