"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP889/2024-2025/140627-Construction of community centers and community halls","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","Panthavada Ta.Dantivada : For Community Hall near Vishwakarma Temple (2023-24)","13-Sep-2024","26-Dec-2024","500000","Physical Inspection"
"2","Normal/Others","WS/MP889/2025-2026/147855-Construction of community centers and community halls","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","Dhanawada Ta.Dantivada : Community hall work near Shri Chehar Mataji temple  (2024-25)","17-Oct-2024","21-Jul-2025","600000","Sanction"
"3","Normal/Others","WS/MP18291/2025-2026/149653-Construction of community centers and community halls","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","maruti plot ma community hall nu kam","28-Oct-2024","28-Apr-2025","500000","Vendor Identification"
"4","Normal/Others","WS/MP18403/2025-2026/156160-Construction of community centers and community halls","Gujarat","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","Community Hall at Panchasar Village For Public Purpose","30-Nov-2024","07-Apr-2025","500000","Time Estimation"
"5","Normal/Others","WS/MP891/2025-2026/161337-Construction of community centers and community halls","Gujarat","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","of community hall for public purpose","24-Dec-2024","06-Nov-2025","2320000","Work partially Completed"
"6","Normal/Others","WS/MP891/2025-2026/161359-Construction of community centers and community halls","Gujarat","JAMNAGAR(DISTRICT COLLECTOR JAMNAGAR_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Cultural Hall","24-Dec-2024","30-Aug-2025","500000","Physical Inspection"
"7","Normal/Others","WS/MP18403/2025-2026/178252-Construction of community centers and community halls","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","Community hall near bhabhar gandliya  luhar community","28-Feb-2025","05-Aug-2025","500000","Work Completed"
"8","Normal/Others","WS/MP18291/2025-2026/185364-Construction of community centers and community halls","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Community Hall in Ambedkar Nagar area for Scheduled Caste people","24-Mar-2025","18-Jul-2025","987644","Time Estimation"
"9","Normal/Others","WS/MP18291/2025-2026/185365-Construction of community centers and community halls","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","For the construction of a cultural hall (community hall) for the Scheduled Castes people","24-Mar-2025","18-Jul-2025","987644","Time Estimation"
"10","Normal/Others","WS/MP18403/2025-2026/190468-Construction of community centers and community halls","Gujarat","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","Construction of community hall near vadi residential area","14-Apr-2025","13-Dec-2025","1000000","Sanction"
"11","Trust and Society","WS/MP18403/2025-2026/195413-Construction of community centers and community halls","Gujarat","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","Panchso Patanwada Rohit Samaj Educational Trust, To build a library and rooms in Mehsana","29-Apr-2025","04-Dec-2025","1000000","Sanction"
"12","Normal/Others","WS/MP891/2025-2026/197979-Construction of community centers and community halls","Gujarat","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Kotharia Gram Panchayat Work of community hall for public purpose in old village area","08-May-2025","06-Nov-2025","2320000","Work partially Completed"
"13","Normal/Others","WS/MP18403/2025-2026/202028-Construction of community centers and community halls","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","Construction of community hall in gidasan village near Nayak samaj trust hall","21-May-2025","05-Aug-2025","500000","Work Completed"
"14","Normal/Others","WS/MP18403/2025-2026/204827-Construction of community centers and community halls","Gujarat","ARVALLI(DISTRICT COLLECTOR ARVALLI_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","Constructoon of building a hall for public programs in  Borol village","29-May-2025","23-Mar-2026","500000","Sanction"
"15","Normal/Others","WS/MP18288/2025-2026/207586-Construction of community centers and community halls","Gujarat","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030)","Elected MP","Community hall at post Nandarva Ta. Shahera Dist Panchmahal","09-Jun-2025","11-Sep-2025","500000","Sanction"
"16","Normal/Others","WS/MP891/2025-2026/210217-Construction of community centers and community halls","Gujarat","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Community hall work for public purposes in Garia village of Wankaner taluka","18-Jun-2025","06-Nov-2025","2320000","Work partially Completed"
"17","Normal/Others","WS/MP891/2025-2026/210218-Construction of community centers and community halls","Gujarat","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","Community hall work for public purposes in Dhuva village of Wankaner taluka","18-Jun-2025","06-Nov-2025","2320000","Work partially Completed"
"18","Normal/Others","WS/MP18291/2025-2026/215415-Construction of community centers and community halls","Gujarat","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Community hall in Savaliya Ploting Area in Thana Galol Village","08-Jul-2025","18-Nov-2025","400000","Sanction"
"19","Normal/Others","WS/MP18291/2025-2026/215433-Construction of community centers and community halls","Gujarat","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Community Hall in Charaniya Village","08-Jul-2025","18-Nov-2025","500000","Sanction"
"20","Normal/Others","WS/MP18291/2025-2026/215435-Construction of community centers and community halls","Gujarat","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Community Hall Besides Khodiyar Mandir in Station Vavdi Village","08-Jul-2025","18-Nov-2025","400000","Sanction"
"21","Normal/Others","WS/MP18291/2025-2026/215451-Construction of community centers and community halls","Gujarat","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","Construction of Community Hall in Vadasada Village","08-Jul-2025","18-Nov-2025","500000","Sanction"
