"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Haryana","Construction of community centers and community halls","WS/MP299/2025-2026/174949","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","04-Nov-2025","KMT Construction Company","Payment Success","1081123"
"2","Haryana","Construction of community centers and community halls","WS/MP299/2025-2026/174949","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","25-Feb-2026","KMT Construction Company","Payment Success","80103"
"3","Haryana","Construction of public libraries and reading rooms","WS/MP18402/2025-2026/150959","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","04-May-2026","The Tohana New Vikas LC Society","Payment Success","2012000"
"4","Haryana","Providing supply pipelines for drinking water","WS/MP18402/2024-2025/160015","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","19-Dec-2025","RBM INFRA PROJECTS","Payment Success","1447044"
"5","Haryana","Construction of shelters for animals","WS/MP18402/2025-2026/175544","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","13-Jan-2026","THE VIRENDRA CO OP LAND C SOCIETY","Payment Success","871539"
"6","Haryana","Construction of shelters for animals","WS/MP18402/2025-2026/176702","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","09-Oct-2025","The New Litani Co Op LC Society ltd","Payment Success","787488"
"7","Haryana","Construction of shelters for animals","WS/MP18402/2025-2026/180885","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","07-Jan-2026","The Baba Jot Ram Ji Co Op LC Society Ltd","Payment Success","793906"
"8","Haryana","Construction of shelters for animals","WS/MP18402/2025-2026/180885","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","28-Jul-2026","The Baba Jot Ram Ji Co Op LC Society Ltd","Payment Success","1059757"
"9","Haryana","Installing community drinking water plants","WS/MP18402/2025-2026/200051","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","06-Mar-2026","The Gabi Nagar Co Op LC Society Ltd","Payment Success","305666"
"10","Haryana","Installing community drinking water plants","WS/MP18402/2025-2026/200051","JIND(DEPUTY COMMISSIONER JIND)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","21-Jul-2026","The Gabi Nagar Co Op LC Society Ltd","Payment Success","55020"
