"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Construction of community centers and community halls","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","construction of Kali Rawan Bhawan","18-Jun-2026","1100000","NA"
"2","Trust and Society","WS/MP18402/2026-2027/259757-Construction of additional rooms and halls in the existing public and community building","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","CONSTRUCTION OF 20 BATHROOMS IN BUILDING OF JAAT DHARAMSHALA SABHA HISAR","18-Jan-2026","1499806","31-Aug-2026"
"3","Normal/Others","NA-Construction of rooms and halls in school and colleges","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of rooms and halls in school and colleges","18-Jun-2026","1000000","NA"
"4","Normal/Others","WS/MP18402/2025-2026/252843-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of Mobile Water Tanker.","08-Dec-2025","150000","03-Feb-2026"
"5","Normal/Others","WS/MP18402/2025-2026/252844-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of Mobile Water Tanker","08-Dec-2025","150000","03-Feb-2026"
"6","Normal/Others","NA-Purchase of mobile water tankers","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Purchase of mobile water tankers","06-May-2026","199000","NA"
"7","Trust and Society","WS/MP18402/2026-2027/270161-Construction of shelters for animals","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","CONSTRUCTION","21-Feb-2026","500000","21-May-2026"
"8","Normal/Others","NA-Construction of shelters for animals","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of Cow shelters","18-Apr-2026","1500000","NA"
"9","Normal/Others","NA-Construction of shelters for animals","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of cowshed","18-Apr-2026","1100000","NA"
"10","Normal/Others","NA-Construction of shelters for animals","Haryana","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of Cowshed for animals","06-May-2026","1999000","NA"
