"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Trust and Society","WS/MP18402/2024-2025/150960-Construction of community centers and community halls","Haryana","GURUGRAM(DC CUM NODAL OFFICER MPLADS_5)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction of Jat Community Center","06-Nov-2024","16-Dec-2024","1100000","Sanction"
"2","Normal/Others","WS/MP299/2025-2026/174949-Construction of community centers and community halls","Haryana","Charkhi Dadri(Deputy Commissioner Charkhi Dadri_IDA)","Shri Kartikeya Sharma (2022-28) (2022-2028)","Elected MP","Construction of Bhagwan Parshuram Sabhagar","11-Feb-2025","01-Nov-2025","1500000","Vendor Identification"
"3","Normal/Others","WS/MP18402/2025-2026/219868-Construction of community centers and community halls","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Const. of B Wall of Community Center","19-Jul-2025","22-Aug-2025","2978000","Vendor Identification"
"4","Normal/Others","WS/MP18402/2025-2026/219897-Construction of community centers and community halls","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Const. of Drain from Shamshan Ghat to Pond","19-Jul-2025","22-Aug-2025","682000","Sanction"
"5","Normal/Others","WS/MP18402/2025-2026/219901-Construction of community centers and community halls","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Const. Iron Shed Near Nagar Khera","19-Jul-2025","22-Aug-2025","711000","Vendor Identification"
"6","Normal/Others","WS/MP18402/2025-2026/219918-Construction of community centers and community halls","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Const. of IPB Flooring in Community Center","19-Jul-2025","22-Aug-2025","576000","Sanction"
"7","Normal/Others","WS/MP18402/2025-2026/224297-Construction of community centers and community halls","Haryana","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction new Community Center in Bahal Bhiwani","02-Aug-2025","04-Dec-2025","1100000","Physical Inspection"
"8","Normal/Others","WS/MP18402/2025-2026/227162-Construction of community centers and community halls","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction Library Hall,  langar Hall, stage Iron Sheds, main gate","14-Aug-2025","24-Sep-2025","4150000","Vendor Identification"
"9","Normal/Others","WS/MP18402/2025-2026/227165-Construction of community centers and community halls","Haryana","FATEHABAD(Deputy Commissioner Fatehabad)","Shri Subhash Barala (2024-30) (2024-2030)","Elected MP","Construction General Chopal Iron Sheds, Govt School Dangra main gate","14-Aug-2025","24-Sep-2025","1200000","Sanction"
"10","Repair and Renovation","WS/MP18425/2025-2026/247827-Construction of community centers and community halls","Haryana","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","repair work of a Dharamshala at village chamla","13-Nov-2025","26-Dec-2025","300000","Vendor Identification"
