"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP078/2023-2024/13390-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Hall/Centre at Village Dohag Patiyahu P.O.& Vill. Nalti, Dev. Block Hamirpur, Distt. Hamirpur(HP)","26-Aug-2023","07-Oct-2023","300000","Physical Inspection"
"2","Normal/Others","WS/MP078/2023-2024/13410-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Centre at Vill. Budana (Miyan Di Bal) PO & Sub Tehsil Kangoo, Dev. Block Nadaun Distt. Hamirpur","26-Aug-2023","24-Jan-2024","500000","Work Completed"
"3","Normal/Others","WS/MP078/2023-2024/13417-Construction of community centers and community halls","Himachal Pradesh","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Hall/Centre Building at Harijan Basti Village &GP Balh Khalsa, Teh. Bangana Dev. Block bangana Distt. Una (HP) as per recommendation of Baba kamaljeet","26-Aug-2023","17-Nov-2023","1000000","Vendor Identification"
"4","Normal/Others","WS/MP078/2023-2024/13425-Construction of community centers and community halls","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Centre/Building harijan Basti at Vill. Dangra pO Pragpur Teh. Dehra Dev. Block Pragpur Distt. Kangra (HP) as per recommendation of Vinod Kumar Ex Gram Panchayat Pradhan","26-Aug-2023","10-Jan-2024","500000","Work partially Completed"
"5","Normal/Others","WS/MP078/2023-2024/25120-Construction of community centers and community halls","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community hall at Vill Paneog G.P. Deeb Teh. Kumarsain, Dev Block Narkanda Distt. Shimla H.P. (Executive Agency, BDO Narkanda, Distt. Shimla )","23-Sep-2023","03-Feb-2024","150000","Physical Inspection"
"6","Normal/Others","WS/MP078/2025-2026/25314-Construction of community centers and community halls","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Community Centre at G.P. Nagni, Ward No. 4 (Harijan Basti) Dev. Block Nurpur, Distt. Kangra H.P. as per recommendation of Sh. Kewal Singh (Executing Agency, BDO Nurpur)","23-Sep-2023","08-Dec-2025","295000","Physical Inspection"
"7","Normal/Others","WS/MP078/2023-2024/25427-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Centre Ravi Nagar, (SC Basti) Vill. & G.P. Batran, Dev. Block Nadaun, Distt. Hamirpur (H.P.) (Executing agency, BDO Nadaun)","23-Sep-2023","16-Dec-2023","200000","Work Completed"
"8","Normal/Others","WS/MP078/2025-2026/48420-Construction of community centers and community halls","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Centre at Village & P.O. Kanda, Tehsil and District Shimla, Dev. Block Mashobra as per the recommendation of Sh. Yashpal Thakur BJP Mandal President Shimla Gramin (Executing agency BDO)","10-Nov-2023","24-Apr-2025","200000","Vendor Identification"
"9","Normal/Others","WS/MP078/2023-2024/52830-Construction of community centers and community halls","Himachal Pradesh","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Centre/Hall for reading/Library in Village, G.P. Balt, Dev. Block Balh, Distt. Mandi (Executing Agency BDO)","25-Nov-2023","30-Dec-2023","500000","Vendor Identification"
"10","Normal/Others","WS/MP078/2023-2024/52990-Construction of community centers and community halls","Himachal Pradesh","UNA(DEPUTY COMMISSIOENR UNA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Community Centre in G.P. Bhatoli, Ward No. 02, Dev. Block Una, Distt. (H.P.) (Executing Agency BDO)","25-Nov-2023","27-Feb-2024","400000","Vendor Identification"
