"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Jammu And Kashmir","Construction of community centers and community halls","WS/MP839/2023-2024/13023","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","07-Aug-2024","Mohd Khalid","Payment Success","1906475"
"2","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/25883","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"3","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/25884","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"4","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/25885","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"5","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/25910","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"6","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/25912","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"7","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/25915","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"8","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/25917","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"9","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/25948","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
"10","Jammu And Kashmir","Lighting of public spaces","WS/MP839/2023-2024/25953","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","01-Dec-2023","RMK ENTERPRISES","Payment Success","243000"
