"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP839/2023-2024/25883-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led High Mask with Six Lights,near the house of sh.Zeeshan khan","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"2","Normal/Others","WS/MP839/2023-2024/25884-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights,near Majaar","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"3","Normal/Others","WS/MP839/2023-2024/25885-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights,","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"4","Normal/Others","WS/MP839/2023-2024/25910-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"5","Normal/Others","WS/MP839/2023-2024/25912-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"6","Normal/Others","WS/MP839/2023-2024/25915-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"7","Normal/Others","WS/MP839/2023-2024/25917-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"8","Normal/Others","WS/MP839/2023-2024/25948-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"9","Normal/Others","WS/MP839/2023-2024/25953-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"10","Normal/Others","WS/MP839/2023-2024/25954-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"11","Normal/Others","WS/MP839/2023-2024/27493-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"12","Normal/Others","WS/MP839/2023-2024/27509-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"13","Normal/Others","WS/MP839/2023-2024/27510-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"14","Normal/Others","WS/MP839/2023-2024/27512-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"15","Normal/Others","WS/MP839/2023-2024/27515-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"16","Normal/Others","WS/MP839/2023-2024/27517-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"17","Normal/Others","WS/MP839/2023-2024/27524-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"18","Normal/Others","WS/MP839/2023-2024/27553-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"19","Normal/Others","WS/MP839/2023-2024/27555-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Led high mask with six lights","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"20","Normal/Others","WS/MP839/2023-2024/33830-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR   HOUSE OF SHRI GURUDEV SINGH","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"21","Normal/Others","WS/MP839/2023-2024/33836-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF  manjinder singh","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"22","Normal/Others","WS/MP839/2023-2024/33835-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF narender kaur","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"23","Normal/Others","WS/MP839/2023-2024/33834-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR  HP petrol pump","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"24","Normal/Others","WS/MP839/2023-2024/33833-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF shri charan singh","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"25","Normal/Others","WS/MP839/2023-2024/33832-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF SADHU SINGH","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"26","Normal/Others","WS/MP839/2023-2024/33831-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF SARJAN SINGH","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"27","Normal/Others","WS/MP839/2023-2024/33841-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF  kuldeep singh","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"28","Normal/Others","WS/MP839/2023-2024/33840-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF  Darshan Singh","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"29","Normal/Others","WS/MP839/2023-2024/33839-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF inderjeet singh","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","08-Mar-2024","243000"
"30","Normal/Others","WS/MP839/2023-2024/33838-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF gurdeep singh","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","08-Mar-2024","243000"
"31","Normal/Others","WS/MP839/2023-2024/33837-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF jaspal singh","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","08-Mar-2024","243000"
"32","Normal/Others","WS/MP839/2023-2024/33844-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF shri harjinder singh","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","08-Mar-2024","243000"
"33","Normal/Others","WS/MP839/2023-2024/33843-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF  shri kuldep kaur","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","08-Mar-2024","243000"
"34","Normal/Others","WS/MP839/2023-2024/33842-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","HIGH MASK LED LIGHT NEAR HOUSE OF parmeet singh","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"35","Normal/Others","WS/MP839/2023-2024/33893-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR HOUSE OF SHRI JASPREET SINGH","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"36","Normal/Others","WS/MP839/2023-2024/33892-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR HOUSE OF SHRI MANJEET SINGH","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"37","Normal/Others","WS/MP839/2023-2024/33891-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR H P PETROL PUMP","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"38","Normal/Others","WS/MP839/2023-2024/33890-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR PAULTRY FIRM SHRI NARESH BABU SAXENA","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"39","Normal/Others","WS/MP839/2023-2024/33889-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT  NEAR HOUSE OF shrI JAGJEET SINGH","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"40","Normal/Others","WS/MP839/2023-2024/33896-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. B-22","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"41","Normal/Others","WS/MP839/2023-2024/33895-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. A-91","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"42","Normal/Others","WS/MP839/2023-2024/33894-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT  NEAR  CITY PARK","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"43","Normal/Others","WS/MP839/2023-2024/33900-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. B-44","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"44","Normal/Others","WS/MP839/2023-2024/33899-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. B-32","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"45","Normal/Others","WS/MP839/2023-2024/33898-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. B-37","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","08-Mar-2024","243000"
"46","Normal/Others","WS/MP839/2023-2024/33897-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. B-79","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"47","Normal/Others","WS/MP839/2023-2024/33906-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. B-14","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"48","Normal/Others","WS/MP839/2023-2024/33905-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. E-10","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"49","Normal/Others","WS/MP839/2023-2024/33904-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. A/21","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"50","Normal/Others","WS/MP839/2023-2024/33903-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. A/117","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"51","Normal/Others","WS/MP839/2023-2024/33902-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. A-34/2","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"52","Normal/Others","WS/MP839/2023-2024/33901-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. C-104","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","08-Mar-2024","243000"
"53","Normal/Others","WS/MP839/2023-2024/33908-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR DURGA MILL RTGHT SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2024","243000"
"54","Normal/Others","WS/MP839/2023-2024/33907-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR CITY PARK HOUSE NO. E-91","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2024","243000"
"55","Normal/Others","WS/MP839/2023-2024/33911-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR HOUSE OF shrI MUKESH KUMAR","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","07-Mar-2024","243000"
"56","Normal/Others","WS/MP839/2023-2024/33910-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR DURGA MILL NORTH SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2024","243000"
"57","Normal/Others","WS/MP839/2023-2024/33909-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR DURGA MILL LEFT SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2024","243000"
"58","Normal/Others","WS/MP839/2023-2024/33937-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGHMASK LIGHT NEAR K R PAPER MILL CHAKMARG LEFT SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2024","243000"
"59","Normal/Others","WS/MP839/2023-2024/33936-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGHMASK LIGHT NEAR K R PAPER MILL ROAD GURUDWARA  RIGHT   SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","07-Mar-2024","243000"
"60","Normal/Others","WS/MP839/2023-2024/33935-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGHMASK LIGHT NEAR K R PAPER MILL ROAD GURUDWARA FRONTLEFT  SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","07-Mar-2024","243000"
"61","Normal/Others","WS/MP839/2023-2024/33934-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGHMASK LIGHT NEARK R PAPER MILL ROAD GURUDWARA FRONT  SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","07-Mar-2024","243000"
"62","Normal/Others","WS/MP839/2023-2024/33933-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGHMASK LIGHT NEAR MAA PUNA GIRI BATTERY RIKSHAW SHOWROOM SOUTH SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","07-Mar-2024","243000"
"63","Normal/Others","WS/MP839/2023-2024/33932-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGHMASK LIGHT NEAR MAA PUNA GIRI BATTERY RIKSHAW SHOWROOM NORTH SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2024","243000"
"64","Normal/Others","WS/MP839/2023-2024/33931-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGHMASK LIGHT NEAR MAA PUNA GIRI BATTERY RIKSHAW SHOWROOM RIGHT  SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2024","243000"
"65","Normal/Others","WS/MP839/2023-2024/33930-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGHMASK LIGHT NEAR MAA PUNA GIRI BATTERY RIKSHAW SHOWROOM LEFT SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2024","243000"
"66","Normal/Others","WS/MP839/2023-2024/33938-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGHMASK LIGHT NEAR K R PAPER MILL CHAKMARG RIGHT SIDE","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","N/A","07-Mar-2024","243000"
"67","Normal/Others","WS/MP839/2023-2024/33943-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","LED HIGH MASK LIGHT NEAR HOUSE OF  SHIVANSH PANDEY( BANK karmi)","Shri Gulam Ali (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2024","243000"
