"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Jammu And Kashmir","SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Construction of Auditorium at Sher-i-Kashmir Institute of Medical Sciences (SKIMS), Soura, Srinagar.","16-Jul-2026","5000000","NA"
"2","Normal/Others","NA-Construction of common work sheds/ common covered sitting area","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","sitting shed at cremation ground","25-Aug-2026","1500000","NA"
"3","Normal/Others","NA-Construction of common work sheds/ common covered sitting area","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","bathing shed at cremation ground","25-Aug-2026","500000","NA"
"4","Normal/Others","NA-Construction of community centers and community halls","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","community hall near ravi dass temple","25-Aug-2026","1000000","NA"
"5","Normal/Others","WS/MP18440/2026-2027/294464-Installing hand pumps","Jammu And Kashmir","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","mark 2 hand pump at ward no 1 hiranagar","12-Jul-2026","495000","20-Jul-2026"
"6","Normal/Others","WS/MP18440/2026-2027/294465-Installing hand pumps","Jammu And Kashmir","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","mark 2 hand pump near shamshan ghat ward no 6","12-Jul-2026","339000","20-Jul-2026"
"7","Normal/Others","NA-Construction of common work sheds/ common covered sitting area","Jammu And Kashmir","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","AMPHITHEATRE","26-Aug-2026","1845000","NA"
"8","Normal/Others","NA-Improvement of electricity distribution infrastructure","Jammu And Kashmir","KUPWARA(Deputy Commissioner Kupwara_IDA)","Shri Chowdry Mohammad Ramzan (2025-31) (2025-2031)","Elected MP","Procurement and installation of two 100kva electric transformers at Wani Mohalla,Tumina and Kasana Mohalla Near Bala Masjid Shareef Hatchmarg","01-Sep-2026","600000","NA"
"9","Normal/Others","NA-Street lights","Jammu And Kashmir","KUPWARA(Deputy Commissioner Kupwara_IDA)","Shri Chowdry Mohammad Ramzan (2025-31) (2025-2031)","Elected MP","Procurement and installation of solar Street Lights in Block Drugmulla at various places","01-Sep-2026","2000000","NA"
"10","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Construction of Tile Work including pipe drain from Masjid Hasnain to House of Abid Mintoo, Ward 13, Kishtwar.","08-Jul-2026","350000","NA"
"11","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Construction of Tile work including pipe drain from House of Noor Hussain Dev to House of Bashir Mangnoo, ward 13, Kishtwar.","08-Jul-2026","500000","NA"
"12","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Construction of 11 feet wide Road from New Filter Plant Triersar upto Kallamsattar Phanchayat BT Ist.","08-Jul-2026","10000000","NA"
"13","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Construction of Lane and Drain at ward no 12 Bagwan Mohallah from house of Ishtiyaq Ahmed to Gulshan Ahmed Bagwan, Arshad Hussain to Safya Begum.","13-Jul-2026","600000","NA"
"14","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Tile Path from House of Mehraj Ud Din bagwan to Bus Stand Ward No 12.","13-Jul-2026","300000","NA"
"15","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Construction of Protection wall and path from House of Riaz Ahmad to Akther Hussain, Ward 05 Chobdar Gwari, Panchayat Hidyal Kishtwar.","13-Jul-2026","300000","NA"
"16","Normal/Others","NA-Construction of public toilets and bathrooms","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Construction of Bathroom and Protection work near the Gutted house of Sonam Narboo S/O Cholten R/O Dangail, Panchayat Machail, Block Padder.","13-Jul-2026","300000","NA"
"17","Normal/Others","NA-Purchase of mobile sanitation equipment","Jammu And Kashmir","KISHTWAR(Deputy Commissioner Kishtwar_IDA)","Shri Sajjad Ahmad Kichloo (2025-31) (2025-2031)","Elected MP","Procurement of 01 Intra V-30 Hopper-Tipper 1.83 cubic meter for garbage collection including registration and Insurance, for District Hospital Kishtwar.","14-Jul-2026","1200000","NA"
