"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP18440/2026-2027/294457-Installing hand pumps","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","hand pump at mohalla qureshiyain, sora village bhatidar, tehsil mendhar","12-Jul-2026","03-Aug-2026","355365","Sanction"
"2","Normal/Others","WS/MP18440/2026-2027/294464-Installing hand pumps","Jammu And Kashmir","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","mark 2 hand pump at ward no 1 hiranagar","12-Jul-2026","20-Jul-2026","495000","Sanction"
"3","Normal/Others","WS/MP18440/2026-2027/294465-Installing hand pumps","Jammu And Kashmir","KATHUA(DISTRICT DEVELOPMENT COMMISSIONER KATHUA_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","mark 2 hand pump near shamshan ghat ward no 6","12-Jul-2026","20-Jul-2026","339000","Sanction"
"4","Normal/Others","WS/MP18440/2026-2027/294462-Construction of boundary walls of existing public and community buildings","Jammu And Kashmir","UDHAMPUR(Deputy Commissioner Udhampur_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","Boundary wall of community hall at Mahatma Rasila Ram Vedic Vanaprastha Anand Dham","12-Jul-2026","06-Aug-2026","1920000","Sanction"
"5","Normal/Others","WS/MP18440/2026-2027/307845-Construction of common work sheds/ common covered sitting area","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Sat Paul Sharma (2025-31) (2025-2031)","Elected MP","Community bunker","25-Aug-2026","27-Aug-2026","1600000","Sanction"
"6","Normal/Others","WS/MP839/2023-2024/53096-Construction of additional rooms and halls in the existing public and community building","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of wall,floor,etc","25-Nov-2023","14-Feb-2024","442318","Physical Inspection"
"7","Normal/Others","WS/MP839/2025-2026/222782-Construction of boundary walls of existing public and community buildings","Jammu And Kashmir","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of protection wall of MR hasin Mohd R O Khara Mandana panchayat Lower khara mandana block pumandal District  Samba","27-Jul-2025","03-Sep-2025","200000","Work partially Completed"
"8","Normal/Others","WS/MP839/2025-2026/222783-Construction of boundary walls of existing public and community buildings","Jammu And Kashmir","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of retaining wall and tile work at panchayat mean sarkar block bari brahmna District Samba","27-Jul-2025","03-Sep-2025","300000","Sanction"
"9","Normal/Others","WS/MP839/2025-2026/195276-Construction of buildings for community cultural activities","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","construction of floor walls windows and doors of hall at saheedi sathal praja parishad memorial trust village post tehsil jourian","28-Apr-2025","25-Aug-2025","1500000","Sanction"
"10","Repair and Renovation","WS/MP839/2025-2026/252192-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of a drain and tile repair work at GTV Nagar,Bali no.-2, near baba dairy Malik Market ,Block-Satwati District-Jammu","04-Dec-2025","16-Jan-2026","400000","Sanction"
"11","Normal/Others","WS/MP839/2025-2026/252211-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of Brick Path near  the home of Farooq ,w .no 4 panchayat-Bandichechian ,Block NSSB , Punch.","04-Dec-2025","07-Feb-2026","98000","Physical Inspection"
"12","Normal/Others","WS/MP839/2025-2026/257310-Construction of bus-sheds or bus-stops","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Balance work of community Toilet (bathroom)near Masjid at Sunjwan lower(panchayat) Block Satwari.","05-Jan-2026","16-Jan-2026","1200000","Sanction"
"13","Normal/Others","WS/MP839/2023-2024/53097-Installing tube-wells and borewells","Jammu And Kashmir","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Instalation of borewell","25-Nov-2023","12-Dec-2023","221123","Physical Inspection"
"14","Normal/Others","WS/MP839/2025-2026/258710-Installing tube-wells and borewells","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","INSTALLATION OF SUMERSIBLE PUMP AT NEAR OLD SHIV MANDIR NHO ASIF SUNJWAN","11-Jan-2026","07-Feb-2026","600000","Sanction"
"15","Normal/Others","WS/MP839/2025-2026/252209-Installing hand pumps","Jammu And Kashmir","SAMBA(Deputy Commissioner Samba_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Installation of hand pump at Mohalla late Saifudin,ward-6 panchayat Raya Vijaypura Samba availiabity nearly surrounded proposed site","04-Dec-2025","19-Jan-2026","350000","Vendor Identification"
"16","Normal/Others","WS/MP839/2025-2026/258705-Installing hand pumps","Jammu And Kashmir","POONCH(Deputy Commissioner Poonch_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","INSTALLATION OF HAND PUMP AT MOHALLA THAKALLAYAN NEAR ASHRAF KHAN HOUSE WARD NO 3 DHARANA LOWER PLEASE SEE SERIAL NO 3 ENCLOSED LIST","11-Jan-2026","09-Mar-2026","300000","Sanction"
