"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3129","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Oct-2023","SHEKHAR KUMAR","Payment Success","345600"
"2","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3129","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","13-May-2024","SHEKHAR KUMAR","Payment Success","115200"
"3","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3130","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Oct-2023","SHEKHAR KUMAR","Payment Success","345600"
"4","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3130","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","13-May-2024","SHEKHAR KUMAR","Payment Success","115200"
"5","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3131","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Oct-2023","SHEKHAR KUMAR","Payment Success","345600"
"6","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3131","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","12-May-2024","SHEKHAR KUMAR","Payment Success","115200"
"7","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3132","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Oct-2023","SHEKHAR KUMAR","Payment Success","345600"
"8","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3132","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","12-May-2024","SHEKHAR KUMAR","Payment Success","115200"
"9","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3133","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Oct-2023","SHEKHAR KUMAR","Payment Success","345600"
"10","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3133","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Jul-2024","SHEKHAR KUMAR","Payment Success","115200"
"11","Jharkhand","Installing tube-wells and borewells","WS/MP007/2023-2024/3134","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","05-Oct-2023","SHEKHAR KUMAR","Payment Success","345600"
