"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP007/2023-2024/3146-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 15 Baldev Sahay Lane, Ranchi","Smt. Mahua Maji (2022-28) (NaN-NaN)","Elected MP","Images","05-Apr-2025","460800"
"2","Normal/Others","WS/MP007/2023-2024/3129-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 27 Sri Nagar Colony Road No. 3 Near Arjun Verma House , Ranchi","Smt. Mahua Maji (2022-28) (NaN-NaN)","Elected MP","N/A","05-Apr-2025","460800"
"3","Normal/Others","WS/MP007/2023-2024/3135-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 15 Kalal Toli Irakiya School, Ranchi","Smt. Mahua Maji (2022-28) (NaN-NaN)","Elected MP","N/A","05-Apr-2025","460800"
"4","Normal/Others","WS/MP007/2023-2024/3134-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 15 Fatehullah Road Fatehullah Maszid , Ranchi","Smt. Mahua Maji (2022-28) (NaN-NaN)","Elected MP","N/A","05-Apr-2025","460800"
"5","Normal/Others","WS/MP007/2023-2024/3133-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 15 Fatehullah Lane Tahir Gali, Ranchi","Smt. Mahua Maji (2022-28) (NaN-NaN)","Elected MP","N/A","05-Apr-2025","460800"
"6","Normal/Others","WS/MP007/2023-2024/3132-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 18 Line Talaab , Ranchi","Smt. Mahua Maji (2022-28) (NaN-NaN)","Elected MP","N/A","05-Apr-2025","460800"
"7","Normal/Others","WS/MP007/2023-2024/3131-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 18  M Ali Lane , Ranchi","Smt. Mahua Maji (2022-28) (NaN-NaN)","Elected MP","N/A","05-Apr-2025","460800"
"8","Normal/Others","WS/MP007/2023-2024/3130-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 29 Madhukam Behind Sukhdeo Nagar Thana , Ranchi","Smt. Mahua Maji (2022-28) (NaN-NaN)","Elected MP","N/A","05-Apr-2025","460800"
"9","Normal/Others","WS/MP007/2023-2024/3142-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 46 Krishna Puri Road No. 1 Near Sharma Ji House , Ranchi","Smt. Mahua Maji (2022-28) (NaN-NaN)","Elected MP","N/A","05-Apr-2025","460800"
"10","Normal/Others","WS/MP007/2023-2024/3141-Installing tube-wells and borewells","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Boring , Construction Of Platform, Installation Of Water Tank ,Submersible Pump etc in Ward No. 34 Rugri Garh Near Nagar Nigam Sehri Vikash Yojna , Ranchi","Smt. Mahua Maji (2022-28) (NaN-NaN)","Elected MP","N/A","05-Apr-2025","460800"
