"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Purchase of vans and buses for educational institutions","Jharkhand","DEOGHAR(DEPUTY COMMISSIONER DEOGHAR_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","Provision of one school vehicle (bus) to Uma Nalini Brahma Saraswati Vidya Mandir, Kunda, affiliated with Vidya Vikas Samiti, a registered institution in Jharkhand, under Deoghar District.","09-Oct-2025","2600000","NA"
"2","Normal/Others","WS/MP081/2023-2024/7131-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of PCC road from kusum vihar phase-2 main road towards shri Ram Mandir, Dhanbad","30-Jul-2023","1000000","09-Jan-2024"
"3","Normal/Others","WS/MP081/2024-2025/135502-Construction of common work sheds/ common covered sitting area","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Beautification of statue of Binod Bihari Mahto in ramdih village, kandra panchayat of chas block under bokaro district","12-Aug-2024","700000","30-Sep-2024"
"4","Normal/Others","WS/MP081/2023-2024/1811-Construction of community centers and community halls","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of multipurpose hall in M.B.D. college kauria, chandankyari","29-Jun-2023","1000000","16-Feb-2024"
"5","Normal/Others","WS/MP18349/2025-2026/216459-Construction of community centers and community halls","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","Construction of a Shed Bhawan for public use in village Bundu of Panchayat Bundu of Petarwar block under Bokaro District.","30-Jul-2025","1000000","18-Sep-2025"
"6","Normal/Others","WS/MP081/2023-2024/1814-Development of public parks","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of shaheed smarak and wall of honor in surya sarowar sah tiranga park,ward no.-12, sector-1 bokaro steel","29-Jun-2023","1200000","16-Feb-2024"
"7","Normal/Others","WS/MP081/2024-2025/133865-Development of public parks","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of boundary wall and gate of the old pond garden in Kuchu village under Ormanjhi block.","21-Jul-2024","1450000","21-Aug-2024"
"8","Repair and Renovation","WS/MP007/2024-2025/138931-Development of public parks","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Renovation of Saheed Nirmal Mahto Chowk under ward-19","04-Sep-2024","150000","15-Oct-2024"
"9","Repair and Renovation","WS/MP007/2025-2026/219592-Development of public parks","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Beautification work near Sarna Sthal located in Purani Ranchi under  Ward No. 21","17-Jul-2025","315800","06-Oct-2025"
"10","Normal/Others","WS/MP007/2025-2026/240578-Development of public parks","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","Beautification Work near Sarna Sthal in Pahaari Tola under  Ward No. 29","07-Oct-2025","689450","27-Nov-2025"
