"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP084/2024-2025/38107-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","498227"
"2","Normal/Others","WS/MP084/2024-2025/38106-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road work, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","498200"
"3","Normal/Others","WS/MP084/2024-2025/38105-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499200"
"4","Normal/Others","WS/MP084/2024-2025/38104-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road Works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499200"
"5","Normal/Others","WS/MP084/2024-2025/38103-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499223"
"6","Normal/Others","WS/MP084/2024-2025/38083-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road Works, Ward No.6, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Banglaore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499000"
"7","Normal/Others","WS/MP084/2024-2025/38084-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road Works, Ward No.6, Hesaraghatta Grama Panchayat, Yelhanka Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","498452"
"8","Normal/Others","WS/MP084/2024-2025/38085-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Ward No.6, Hesaraghatta Grama Panchayat, Yelahanka Taluk, Banglore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499095"
"9","Normal/Others","WS/MP084/2024-2025/38086-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Kodagi Thirumalapura Village, Hurulichikkanahalli Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","04-Jul-2024","499000"
"10","Normal/Others","WS/MP084/2024-2025/38399-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","11-Jul-2024","499000"
"11","Normal/Others","WS/MP084/2024-2025/38398-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C Road development work, Machohali Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","11-Jul-2024","499000"
"12","Normal/Others","WS/MP084/2024-2025/38465-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C Road development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","18-Jul-2024","476119"
"13","Normal/Others","WS/MP084/2024-2025/38467-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","18-Jul-2024","499327"
"14","Normal/Others","WS/MP084/2024-2025/37999-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works from Gouramma house to Sonnappa house in Ward.No.6,Hesaraghatta Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","05-Sep-2024","499095"
"15","Normal/Others","WS/MP084/2024-2025/38000-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC road works near Mangala House in Rajanukunte Village, Rajanukunte Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","05-Sep-2024","499096"
"16","Normal/Others","WS/MP084/2024-2025/38001-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Drainage work in Journalist's Layout, Rajanukunte Village, Rajanukunte Grama Panchayat, Yelahanka Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","05-Sep-2024","499065"
"17","Normal/Others","WS/MP084/2024-2025/38082-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Rajanukunte Village, Yelahanka Taluk, Banglore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","05-Sep-2024","499096"
"18","Normal/Others","WS/MP084/2024-2025/38072-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction work of Room-2, Basava Residential High School, Huskuru village, Bangalore North Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","18-Sep-2024","496560"
"19","Normal/Others","WS/MP084/2024-2025/38074-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Road Development work.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","18-Sep-2024","499096"
"20","Normal/Others","WS/MP084/2024-2025/38075-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Road Development work from Hesarghatta-Gollahalli Road to Srinivas Murthy House in Gopalpura Village, Bangalore North Taluk.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","18-Sep-2024","499095"
"21","Normal/Others","WS/MP084/2024-2025/38076-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","CC Road works, Hesaraghatta, Yelahanka Taluk, Bangalore Urban","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","18-Sep-2024","499095"
"22","Normal/Others","WS/MP084/2024-2025/38760-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Link road development work, Ramohalli Village, Ramohalli Grama Panchayat, Bangalore South Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","18-Sep-2024","499821"
"23","Normal/Others","WS/MP084/2024-2025/38759-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Road development work, Ramohalli Village, Ramohalli Grama Panchayat, Bangalore South Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","18-Sep-2024","499821"
