"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Karnataka","Construction of community centers and community halls","WS/MP084/2024-2025/24465","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","13-Jun-2025","KRIDL BHUSIRI ACCOUNT WORKS","Payment Success","375000"
"2","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/36823","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","26-Nov-2024","VENUGOPAL","Payment Success","375000"
"3","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/36823","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","05-Jun-2025","VENUGOPAL","Payment Success","123928"
"4","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/37999","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","05-Sep-2024","LAKSHMIKANTH B T","Payment Success","499095"
"5","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP084/2024-2025/38000","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","05-Sep-2024","ABHISHEK CONSTRUCTIONS","Payment Success","499096"
"6","Karnataka","Providing drains and gutters for public drainage","WS/MP084/2024-2025/38001","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","05-Sep-2024","LAKSHMIKANTH B T","Payment Success","499065"
"7","Karnataka","Construction of rooms and halls in school and colleges","WS/MP084/2024-2025/38002","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","24-Dec-2024","LAKSHMIKANTH B T","Payment Success","497300"
"8","Karnataka","Construction of community centers and community halls","WS/MP084/2024-2025/38003","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","04-Dec-2024","ABHISHEK CONSTRUCTIONS","Payment Success","498150"
"9","Karnataka","Construction of rooms and halls in school and colleges","WS/MP084/2024-2025/38072","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","18-Sep-2024","SKS CONSTRUCTION","Payment Success","496560"
"10","Karnataka","Construction of community centers and community halls","WS/MP084/2024-2025/38073","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","09-Dec-2024","LAKSHMIKANTH B T","Payment Success","497100"
