"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP838/2024-2025/80237-Construction of community centers and community halls","Karnataka","Dangs(DISTRICT COLLECTOR DANG_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Construction of Dining Hall","11-Jan-2024","1000000","04-Dec-2024"
"2","Normal/Others","WS/MP18364/2024-2025/146443-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of community hall at Property no.669 of Hallur village,  Bagalkote taluk.","10-Oct-2024","499989","10-Dec-2024"
"3","Normal/Others","WS/MP18364/2025-2026/155261-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall.","30-Nov-2024","400000","09-Jun-2025"
"4","Normal/Others","WS/MP18364/2024-2025/155262-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall.","30-Nov-2024","299526","10-Mar-2025"
"5","Normal/Others","WS/MP18364/2025-2026/166394-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall.","27-Jan-2025","299766","13-Jun-2025"
"6","Trust and Society","WS/MP18364/2025-2026/166584-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall.","27-Jan-2025","300000","09-Jun-2025"
"7","Trust and Society","WS/MP18364/2025-2026/167592-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall.","12-Feb-2025","299792","21-Jul-2025"
"8","Trust and Society","WS/MP18364/2025-2026/172647-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Consruction of Community Hall.","12-Feb-2025","1000000","13-Nov-2025"
"9","Normal/Others","WS/MP18364/2025-2026/177908-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall.","19-Mar-2025","500000","25-Nov-2025"
"10","Normal/Others","WS/MP18364/2025-2026/183008-Construction of community centers and community halls","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Construction of Community Hall.","19-Mar-2025","500000","09-Jan-2026"
