"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP092/2026-2027/275441-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Karnataka","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","Construction of 30 Bedded NICU at Shimoga Institute of Medical Sciences, Shivamogga","23-Mar-2026","19-May-2026","6000000","Sanction"
"2","Normal/Others","WS/MP084/2025-2026/151227-Purchase of hospital equipment","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Supply of Dialysis Machine, Multipara Monitor, ECG Machine and Defibrillator","07-Nov-2024","31-Jul-2025","4990500","Physical Inspection"
"3","Normal/Others","WS/MP092/2026-2027/275442-Purchase of hospital equipment","Karnataka","SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA)","Smt. Nirmala Sitharaman (2022-28) (2022-2028)","Elected MP","Purchase of Medical Equipments for NICU at Shimoga Institute of Medical Sciences, Shivamogga","23-Mar-2026","04-Aug-2026","44000000","Sanction"
"4","Normal/Others","WS/MP833/2025-2026/16241-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jairam Ramesh (2022-28) (2022-2028)","Elected MP","For distribution of Retro fitted motorrised Bicycle for disabled persons.","04-Sep-2023","08-Sep-2025","1000000","Work Completed"
"5","Normal/Others","WS/MP18364/2026-2027/225813-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Providing motorized tricycle to Differently abled person- Sunanda Doddappa Hunagund, Nagar Khan peth, ward no.5, in Guledgudda town.","11-Aug-2025","01-Jul-2026","99990","Vendor Identification"
"6","Normal/Others","WS/MP18364/2026-2027/225814-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Karnataka","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Providing motorized tricycle to Differently abled person- Iravva Kamappa Hulageri, in Alagundi B.K village.","11-Aug-2025","01-Jul-2026","99990","Vendor Identification"
"7","Normal/Others","WS/MP18364/2024-2025/148320-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","Drilling Borewell and Installation of Motor for Drinking water.","29-Oct-2024","23-Dec-2024","500000","Sanction"
"8","Normal/Others","WS/MP086/2025-2026/188706-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","New Bore Drilling Work Near Doddabasti Village Under Sulikere Gram Panchayat, Bangalore Dakshina Taluk","02-Apr-2025","21-Jun-2025","800000","Work partially Completed"
"9","Normal/Others","WS/MP086/2025-2026/188707-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Work of drilling a new bore on the main road of Chikkabasti village under Sulikere Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","21-Jun-2025","400000","Work partially Completed"
"10","Normal/Others","WS/MP086/2025-2026/188710-Installing tube-wells and borewells","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","Re-installation of bore well near Chikkabasti village under Sulikere Gram Panchayat, Bangalore Dakshina Taluk.","02-Apr-2025","21-Jun-2025","265000","Work partially Completed"
