"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Kerala","Purchase of ambulances (Four, three and two wheelers)","WS/MP094/2025-2026/159306","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","14-Jul-2025","FORCE MOTORS LIMITED","Payment Success","1370639"
"2","Kerala","Purchase of ambulances (Four, three and two wheelers)","WS/MP094/2025-2026/159306","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","17-Jul-2025","SPEED AUTOMOBILES","Payment Success","40300"
"3","Kerala","Construction of community centers and community halls","WS/MP094/2024-2025/159307","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-May-2025","Government Contractors Co Operative Society LTD","Payment Success","992209"
"4","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/159372","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","21-Aug-2025","KELTRON","Payment Success","282256"
"5","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/159373","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","21-Aug-2025","KELTRON","Payment Success","282256"
"6","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/159375","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","21-Aug-2025","KELTRON","Payment Success","282256"
"7","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/159376","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","22-Aug-2025","KELTRON","Payment Success","282256"
"8","Kerala","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP094/2025-2026/159378","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","01-Nov-2025","FORCE MOTORS LIMITED","Payment Success","1500241"
"9","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP094/2025-2026/159415","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","17-Mar-2026","V MATHAI","Payment Success","491361"
"10","Kerala","Purchase of ambulances (Four, three and two wheelers)","WS/MP094/2025-2026/166095","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","27-Feb-2026","Mahindra And Mahindra Limited","Payment Success","1158727"
"11","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173236","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"12","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173238","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"13","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173241","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","282256"
"14","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP094/2025-2026/173246","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","06-Jul-2026","KELTRON","Payment Success","176635"
