"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP094/2024-2025/159307-Construction of community centers and community halls","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of building for Arivilanjapoil Samskarika Nilayam in Udayagiri Grama Panchayath","17-Dec-2024","992209","22-Mar-2025"
"2","Normal/Others","WS/MP094/2025-2026/178989-Construction of community centers and community halls","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of Building for Vinoda Vinjana Vikasana Kendram (Community Hall cum Training Centre) in Peravoor GP","04-Mar-2025","30000000","11-Feb-2026"
"3","Normal/Others","WS/MP101/2026-2027/207838-Construction of community centers and community halls","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","Construction of Resting Centre for old age people","10-Jun-2025","2100000","03-Aug-2026"
"4","Normal/Others","WS/MP101/2026-2027/207840-Construction of community centers and community halls","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","Construction Of  Resting Centre for old age people","10-Jun-2025","2500000","04-Aug-2026"
"5","Normal/Others","NA-Construction of community centers and community halls","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Community Center at Valakkai Ambedkar Unnathi, Chengalayi Grama Panchayat, Ward XV, Taliparamba Taluk, Kannur District (S.C)","18-May-2026","5000000","NA"
"6","Normal/Others","NA-Construction of public libraries and reading rooms","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of First Floor Building for Athiyadam Center Vayanasala & Grandhalayam  (Reg No. 13/PNR/7595) in Cheruthazham Grama Panchayath","24-Jun-2026","1500000","NA"
"7","Trust and Society","WS/MP094/2025-2026/265212-Construction of public libraries and reading rooms","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of Building for CH Raman Gurukkal Smaraka Vayanashala and Grandhalayam","03-Feb-2026","3200000","17-Feb-2026"
"8","Trust and Society","NA-Construction of public libraries and reading rooms","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","Construction of building for N E Balaram Public Library","25-Sep-2025","2100000","NA"
"9","Trust and Society","NA-Construction of public libraries and reading rooms","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Purchase and distribution of books to Ezhome Prathibha Vayanasala and Grandhalayam, Reg. No. KNR-8269, Ezhome Grama Panchayat, Ezhome P.O, Kannur District- 670334","25-Apr-2025","50000","NA"
"10","Normal/Others","NA-Construction of public libraries and reading rooms","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Library cum Community Hall with compound wall at Vengara Kuthirummal SC Colony, Ward No. III, Madayi Grama Panchayat, Madayi Village, Payyanur Taluk, Kannur District (SC)","25-Apr-2025","4100000","NA"
"11","Normal/Others","WS/MP096/2025-2026/178440-Construction of public libraries and reading rooms","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Public Library at CHMKSGS School, Ward No. 13, Mattul Panchayat","01-Mar-2025","1000000","14-Jan-2026"
"12","Trust and Society","WS/MP101/2025-2026/142786-Construction of public libraries and reading rooms","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","Construction of Building for N E Balram Public Library in Pinarayi Grama Panchayat","23-Sep-2024","2900000","17-Jan-2026"
"13","Normal/Others","WS/MP099/2025-2026/214223-Purchase of books for public libraries/ digitization of library books","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Purchase and distribution of books to E.M.S Cultural Centre and Library, Reg. No. 13 KNR 9254, Mullanmotta, Thalamunda, Kanhirode P.O, Munderi Grama Panchayat, Kannur District  670592.","15-Oct-2025","50000","11-Mar-2026"
"14","Normal/Others","WS/MP099/2026-2027/272678-Purchase of books for public libraries/ digitization of library books","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Purchase and distribution of books to Kattayal Navachethana Vayanasala and Grandhalayam, Reg. No. 13 TPA 6222, Chapparapadavu Grama Panchayat, Thadikkadavu P.O, Kannur District 670581","06-Mar-2026","50000","20-May-2026"
"15","Normal/Others","NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Setting up of cremator at Ragavan Nagar crematory, Chirakkal Panchayat","19-Feb-2026","1000000","NA"
"16","Normal/Others","NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Renovation of cremation ground at Vengara Kuthirummal SC Colony, Ward No. III, Madayi Grama Panchayat, Madayi Village, Payyanur Taluk, Kannur District (SC)","25-Apr-2025","2000000","NA"
"17","Trust and Society","WS/MP099/2024-2025/132929-Construction of public libraries and reading rooms","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of building for Grameena Vayanasala & Grandhalayam,Parothumneer, Cherupuzha Grama Panchayat.","02-Jul-2024","2000000","11-Jul-2024"
"18","Normal/Others","WS/MP094/2025-2026/159371-Construction of buildings for community cultural activities","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Building for Vinoda Vijnana Vikasana Kendram (V-Kendra)","17-Dec-2024","5500000","09-Jan-2026"
"19","Trust and Society","NA-Construction of buildings for community cultural activities","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Ground Floor of the building of Jwala Charitable Society (Reg. No. 44/ 2011 ), Padappengad, Chapparapadava Grama Panchayat-670581","04-Jul-2024","500000","NA"
"20","Normal/Others","WS/MP099/2025-2026/132947-Construction of bus-sheds or bus-stops","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of a Bus shed in Naduvil Panchayath Bus Stand, Naduvil Grama Panchayat, Kannur Dist.","04-Jul-2024","841700","21-Aug-2025"
"21","Normal/Others","NA-Construction of bus-sheds or bus-stops","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of a modern, hi-tech bus waiting shelter equipped with air-conditioning, CCTV surveillance systems, mobile charging facilities, other commuter-friendly amenities, and solar panels at Nedungome Government Higher Secondary School Bus Stop, Opposite to the old waiting shed in front of Cheriyamma Smaraka Vayanasala, Nedungome Village, Ward No. XV, Sreekandapuram Municipality, Kannur District","19-Jun-2026","1800000","NA"
"22","Normal/Others","NA-Construction of bus-sheds or bus-stops","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of  High-tech Bus Waiting Shed near  Mayyil IMNS Government Higher Secondary School in Mayyil Grama Panchayath","12-May-2026","1500000","NA"
"23","Normal/Others","WS/MP101/2026-2027/207834-Construction of bus-sheds or bus-stops","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","Construction of Bus stop in front of Govt. Higher Secondery School Chittariparamba","10-Jun-2025","540000","19-May-2026"
"24","Normal/Others","NA-Construction of bus-sheds or bus-stops","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of a modern, hi-tech bus shelter equipped with air-conditioning, CCTV surveillance systems, mobile charging facilities, other commuter friendly amenities, and solar panels, designed to provide a safe, comfortable, energy efficient, and technologically advanced Bus waiting facility on the Kannur Thalassery National Highway, opposite Nadal Viknjandayini Vayanashala and in front of old Dinesh Beedi Company premises, Ward No. 35, Alinkal, Kannur Corporation, Kannur Taluk, Kannur Dist","10-Jul-2026","1800000","NA"
"25","Normal/Others","NA-Construction of bus-sheds or bus-stops","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of a modern, hi-tech bus shelter equipped with air-conditioning, CCTV surveillance systems, mobile charging facilities, other commuter-friendly amenities, and solar panels for powering the shelter's electrical and technological infrastructure, designed to provide a safe, comfortable, energy-efficient, and technologically advanced Bus waiting facility at Mathil Bus Stop, Ward No. VI, Kankol - Alappadamba Grama Panchayat, Alappadamba Village, Payyanur Taluk, Kannur District","01-Jul-2026","1800000","NA"
"26","Normal/Others","NA-Construction of bus-sheds or bus-stops","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of a modern, hi tech bus shelter equipped with air conditioning, CCTV surveillance systems, mobile charging facilities, other commuter friendly amenities, and solar panels, designed to provide a safe, comfortable, energy efficient, and technologically advanced Bus waiting facility at Karinkal Kuzhi Town on the Chirakkal Kattampally Chalode PWD Road, Ward No. IV, Kolachery Grama Panchayat, Thaliparamba Taluk, Kannur District","21-Aug-2026","1800000","NA"
"27","Repair and Renovation","WS/MP099/2025-2026/152159-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Repair and renovation (including roofing) of Government L.P School, Thurumbi, Arangu P.O, Naduvil Grama Panchayat, Kannur District","12-Nov-2024","200000","13-Jan-2026"
"28","Normal/Others","WS/MP099/2024-2025/132662-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of building for Areekkamala Government UP School, Eruvessi Grama Panchayat, Kannur District","20-Jun-2024","2615256","23-Aug-2024"
"29","Normal/Others","WS/MP099/2024-2025/132953-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of building for BUDS School & Rehabilitation Centre in Ward no.X (Kandakasseri), Payyavoor Grama Panchayath","04-Jul-2024","2368505","25-Mar-2025"
"30","Normal/Others","WS/MP099/2026-2027/190124-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of a roof over the central courtyard of the Higher Secondary Block at Tagore Vidyaniketan Government Higher Secondary School, Rabeendrapuram, Thaliparamba Municipality, Thaliparamba Village, Kannur District","09-Apr-2025","1200000","06-Aug-2026"
"31","Normal/Others","WS/MP094/2025-2026/178990-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of New Classrooms for Uliyil GUP School","04-Mar-2025","18600000","11-Feb-2026"
"32","Normal/Others","NA-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","Construction of Stage and Open Auditorium In Muzhakkunnu  Goverment U.P. School In.  Muzhakkunnu Grama Panchayath","10-Jun-2025","3200000","NA"
"33","Normal/Others","NA-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","Construction of building for Govt. Higher Secondary School Chittariparamaba","10-Jun-2025","10000000","NA"
"34","Normal/Others","WS/MP094/2025-2026/215265-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of new building for GUPS Nediyanga","05-Jul-2025","10000000","09-Jan-2026"
"35","Normal/Others","NA-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of Building for Kaniyanchal Govt. Higher Secondary School in Naduvil Grama Panchayath","12-May-2026","11600000","NA"
"36","Trust and Society","NA-Construction of toilet blocks","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of Toilet blocks at St. Josephs High School, Pulikurumba, Naduvil Grama Panchayat,  New Naduvil Village,  Thaliparamba Taluk, Kannur District","21-Aug-2026","3000000","NA"
"37","Normal/Others","NA-Construction of toilet blocks","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Bathroom at MMILPS, Kallayi, Vengad Panchayath","19-Feb-2026","1000000","NA"
"38","Normal/Others","NA-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of auditorium for Chavassery Govt.Higher Secondary School in Iritty Municipality","10-Jul-2026","9500000","NA"
