"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP102/2024-2025/174967-Construction of rooms and halls in school and colleges","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of Open stage for GMLP School Kallamoola, Chokkad Grama Panchayath","11-Feb-2025","18-Feb-2025","1301086","Physical Inspection"
"2","Normal/Others","WS/MP102/2024-2025/176274-Construction of rooms and halls in school and colleges","Kerala","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","Construction of School Building - Poovarany Kochukottaram LP School, Ward 10, Meenachil Grama Panchayath Kottayam District","18-Feb-2025","28-Feb-2025","1850000","Work partially Completed"
"3","Normal/Others","WS/MP094/2025-2026/178990-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of New Classrooms for Uliyil GUP School","04-Mar-2025","11-Feb-2026","18600000","Sanction"
"4","Normal/Others","WS/MP095/2025-2026/180174-Construction of rooms and halls in school and colleges","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","open Auditorium, GGhss, Mithirmala, kallara gp","24-Mar-2025","13-Jun-2025","2500000","Physical Inspection"
"5","Normal/Others","WS/MP095/2025-2026/180175-Construction of rooms and halls in school and colleges","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","multipurpose auditorium,ghss pirappancode","24-Mar-2025","13-Jun-2025","5000000","Physical Inspection"
"6","Normal/Others","WS/MP095/2025-2026/180253-Construction of rooms and halls in school and colleges","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","Auditorium in GHS Avananvanchery, Attingal","24-Mar-2025","13-Jun-2025","3000000","Work partially Completed"
"7","Normal/Others","WS/MP095/2025-2026/180254-Construction of rooms and halls in school and colleges","Kerala","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","High-tech Seminar Hall GBHSS Neyyattinkara.","24-Mar-2025","13-Jun-2025","4500000","Vendor Identification"
"8","Normal/Others","WS/MP099/2026-2027/190124-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. John Brittas (2021-27) (2021-2027)","Elected MP","Construction of a roof over the central courtyard of the Higher Secondary Block at Tagore Vidyaniketan Government Higher Secondary School, Rabeendrapuram, Thaliparamba Municipality, Thaliparamba Village, Kannur District","09-Apr-2025","06-Aug-2026","1200000","Sanction"
"9","Normal/Others","WS/MP101/2025-2026/190622-Construction of rooms and halls in school and colleges","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","construction of library building and purchase of related digital accessories t for sree chithira vilasam govt.L.P. school","11-Apr-2025","22-Apr-2025","1116680","Physical Inspection"
"10","Normal/Others","WS/MP101/2025-2026/207848-Construction of rooms and halls in school and colleges","Kerala","WAYANAD(DISTRICT COLLECTOR WAYANAD_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","Construction of roof for GHSS Kavummandam","10-Jun-2025","14-Jan-2026","3500000","Sanction"
"11","Normal/Others","WS/MP094/2025-2026/215265-Construction of rooms and halls in school and colleges","Kerala","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Dr. V. Sivadasan (2021-27) (2021-2027)","Elected MP","Construction of new building for GUPS Nediyanga","05-Jul-2025","09-Jan-2026","10000000","Sanction"
